split,task,method,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
calibration,all,block_rms_innovation,64,31415,0.95,360,8,0.3526086956521739,0.6079106280193237,0.14166666666666666,0.3031823367991436,-0.007826086956521816,-0.006078904991948465,0.013888888888888888,0.003830404998695025
calibration,all,block_rms_innovation,64,271828,0.95,360,8,0.37695652173913036,0.6111211755233494,0.11388888888888889,0.3065760333265072,-0.004347826086956497,-0.0029891304347826153,-0.013888888888888888,-0.013979973138365484
calibration,all,block_rms_innovation,128,42,0.95,360,8,0.3565217391304347,0.609651771336554,0.12222222222222222,0.29117543953172986,-0.00043478260869561636,-0.0015297906602254425,-0.011111111111111112,0.000799432888114921
calibration,all,block_rms_innovation,128,31415,0.95,360,8,0.3782608695652174,0.6113828502415459,0.14166666666666666,0.2999894834833317,-0.00043478260869561636,-0.001821658615136877,0.013888888888888888,-0.0011402522271743432
calibration,all,block_rms_innovation,128,271828,0.95,360,8,0.37173913043478257,0.6134963768115942,0.12777777777777777,0.3035258847440494,-0.00434782608695658,-0.0026167471819645714,-0.013888888888888888,-0.008397235733600687
calibration,all,block_rms_repeated,32,42,0.95,360,8,0.29434782608695653,0.5879428341384862,0.12222222222222222,0.30863551096737696,-0.019999999999999962,-0.014945652173913042,-0.005555555555555556,-0.0202844144445533
calibration,all,block_rms_repeated,32,31415,0.95,360,8,0.30260869565217385,0.5900966183574878,0.08055555555555556,0.3208692798399506,-0.018697637698516803,-0.016364734299516907,-0.05277777777777778,-0.011192676170894724
calibration,all,block_rms_repeated,32,271828,0.95,360,8,0.3421739130434782,0.5979166666666667,0.06111111111111111,0.3387297467428865,-0.019130434782608688,-0.013083735909822867,-0.06388888888888888,-0.04815095310695476
calibration,all,block_rms_repeated,64,42,0.95,360,8,0.2961191976593531,0.5925020128824477,0.1,0.3141091087910588,-0.014784216025093305,-0.01392914653784219,-0.025,-0.017430522511118398
calibration,all,block_rms_repeated,64,31415,0.95,360,8,0.3326086956521739,0.6043880837359099,0.09166666666666666,0.32811223936351486,-0.011304347826086913,-0.009601449275362316,-0.03611111111111111,-0.02109949756567629
calibration,all,block_rms_repeated,64,271828,0.95,360,8,0.3560869565217391,0.6011272141706925,0.09444444444444444,0.31678527324195943,-0.02869565217391301,-0.012983091787439616,-0.03333333333333333,-0.02418921305381773
calibration,all,block_rms_repeated,128,42,0.95,360,8,0.3147826086956521,0.5988425925925926,0.10555555555555556,0.30045874269495076,-0.006957372678246349,-0.012338969404186795,-0.027777777777777776,-0.008483870275105887
calibration,all,block_rms_repeated,128,31415,0.95,360,8,0.34826086956521735,0.6070652173913044,0.11388888888888889,0.30661161245344704,-0.01304347826086949,-0.00613929146537842,-0.013888888888888888,-0.007762381197289693
calibration,all,block_rms_repeated,128,271828,0.95,360,8,0.3521739130434782,0.6042773752012882,0.11388888888888889,0.2985249167789924,-0.013914556258911415,-0.011835748792270527,-0.027777777777777776,-0.003396267768543638
calibration,all,diagonal_rms_action,32,42,0.95,360,8,0.36043478260869566,0.6083937198067633,0.12222222222222222,0.28806860117870886,0.008260869565217398,0.005505233494363929,-0.005555555555555556,0.0002824953441148223
calibration,all,diagonal_rms_action,32,31415,0.95,360,8,0.3843478260869565,0.6137278582930757,0.13333333333333333,0.30064643129847307,0.008695652173913049,0.007266505636070853,0.0,0.009030172370582772
calibration,all,diagonal_rms_action,32,271828,0.95,360,8,0.395260316455306,0.6134158615136875,0.13333333333333333,0.2998712611680125,0.0017391304347825903,0.002415458937198068,0.008333333333333333,-0.009292467532080718
calibration,all,diagonal_rms_action,64,42,0.95,360,8,0.3839549285925218,0.615096618357488,0.13055555555555556,0.30004298468294494,0.013043478260869545,0.008665458937198068,0.005555555555555556,-0.0033643984030045267
calibration,all,diagonal_rms_action,64,31415,0.95,360,8,0.38895535406207976,0.6150563607085348,0.12777777777777777,0.29946433744266776,0.005217391304347813,0.001066827697262485,0.0,0.007548404355170831
calibration,all,diagonal_rms_action,64,271828,0.95,360,8,0.40086956521739125,0.6160728663446055,0.1361111111111111,0.3062794101976699,0.004347826086956441,0.0019625603864734257,0.008333333333333333,-0.013683350009528257
calibration,all,diagonal_rms_action,128,42,0.95,360,8,0.3830434782608695,0.6171900161030596,0.11944444444444445,0.30755979277031187,0.006957278129455707,0.006008454106280195,-0.013888888888888888,-0.015584920350466996
calibration,all,diagonal_rms_action,128,31415,0.95,360,8,0.4000433033461208,0.6164452495974235,0.13055555555555556,0.29910565336963785,0.006086956521739132,0.00324074074074074,0.002777777777777778,-0.0002564221134804337
calibration,all,diagonal_rms_action,128,271828,0.95,360,8,0.4169565217391304,0.6189210950080516,0.125,0.3078926392602713,0.006956521739130427,0.0028079710144927592,-0.016666666666666666,-0.012763990249822573
calibration,all,diagonal_rms_ema,32,42,0.95,360,8,0.338695652173913,0.6089975845410629,0.11944444444444445,0.28549699943640583,0.005652741205787362,0.006109098228663444,-0.008333333333333333,0.0028540970864178406
