sample_id,task,split,anchor,layer,boundary_layer,candidate_id,candidate_source,mask_hash,candidate_seed,history_id,gamma,state_norm,state_workpoint_norm,action_u_norm,action_r_norm,scaled_action_norm,action_to_state_workpoint_ratio,nonlinear_increment_norm,residual_norm,physical_history_kl,controlled_exact_kl,retained_mass_min,retained_mass_median,retained_mass_max,state_action_interaction,state_action_interaction_sign,operating_point_output_max_error,adjacent_method,reference_jvp_method,state_jvp_method,jacobian_drift_cosine,jacobian_drift_relative_l2,jacobian_drift_symmetric_norm_ratio,jacobian_drift_maximum_absolute_error,jacobian_drift_predicted_norm,jacobian_drift_truth_norm,jacobian_drift_error_norm,jacobian_drift_finite,jacobian_drift_low_norm,cosine,relative_l2,symmetric_norm_ratio,maximum_absolute_error,predicted_norm,truth_norm,error_norm,finite,low_norm,projection_coefficient,parallel_error_norm,parallel_relative_error,orthogonal_error_norm,orthogonal_relative_error,fisher_truth_norm,fisher_error_norm,fisher_relative_error,failure_type,large_action
gov_report:84,gov_report,retrospective_r0_r1,64,14,15,selector_05_old_stale_core,old_stale_core,bd38f436becc07317aeec29bee1c6336ff5d098170ecffb2e258bdfea4508a0d,17743776115214276571,H2,1.0,23.857700878303344,55.2482186089693,10.823646246804454,13.595092900621891,13.595092900621891,0.24607296385144964,328.93036243470686,248.70622059470486,0.0001537632900470928,2.1729624593747052e-05,0.0920766070485115,0.8022150695323944,0.9804453850614697,1.8557991704024057e-06,1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.32430849336666007,1.0023392786580307,0.7920953926154717,2.2157087475061417,105.2471608026365,160.4964902369536,160.87193625125374,True,False,0.6828619122727656,0.7561059999259673,0.6558548610924916,3.093846559524536,160.4964902369536,328.93036243470686,248.70622059470486,True,False,0.33319192374048034,219.33342219843348,0.6668080762595198,117.25030519886616,0.35645935611109936,0.003828315847798381,0.004007933749548965,1.0469182556747194,direction,True
gov_report:84,gov_report,retrospective_r0_r1,64,14,15,selector_05_old_stale_core,old_stale_core,bd38f436becc07317aeec29bee1c6336ff5d098170ecffb2e258bdfea4508a0d,17743776115214276571,H1,1.0,22.424880373439706,54.69773090394388,10.823646246804454,13.595092900621891,13.595092900621891,0.2485494859831862,359.55508921700186,268.45925429818277,6.670977129018942e-05,1.7339325490474327e-05,0.0920766070485115,0.8022150695323944,0.9804453850614697,2.695022453239428e-07,1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.3404012469763884,0.9803845079278448,0.7638588861679122,2.397681251168251,105.2471608026365,170.31986527631642,166.9789573092583,True,False,0.7039453650494298,0.7466428993754552,0.642868147784721,3.2597609758377075,170.31986527631642,359.55508921700186,268.45925429818277,True,False,0.3334562166765651,239.6592094798956,0.6665437833234349,120.97038699536313,0.3364446523585542,0.004230654002089585,0.004110628503012011,0.9716295638881621,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_07_random_reference,random_reference,6ed347c930c943268e891d3a8722b46a0957049fa8daf45acad2464fecfbab5e,1532748431032598259,H2,1.0,23.657065516340047,53.30724835061556,13.112304658197036,18.726212140155567,18.726212140155567,0.3512882904213781,317.33317264052187,224.27022261446967,0.003739197489571057,0.000522050384310714,0.0010082868252634788,0.5425280153037564,0.984585953630727,-0.001194907932879416,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.0017215556725231414,1.186314938191432,0.7804567692658068,2.8078993558883667,120.73057773442221,188.6538301886359,223.80285689980852,True,False,0.7182149065027918,0.7067342526730579,0.745686466781967,2.535273253917694,188.6538301886359,317.33317264052187,224.27022261446967,True,False,0.4269770849447676,181.83917963019715,0.5730229150552324,131.26936239260382,0.41366416659284166,0.04966295943536975,0.024110925753883655,0.4854911190957331,direction,True
gov_report:84,gov_report,retrospective_r0_r1,48,14,15,selector_07_random_reference,random_reference,6ed347c930c943268e891d3a8722b46a0957049fa8daf45acad2464fecfbab5e,1532748431032598259,H1,1.0,22.76792972229665,52.119316578513214,13.112304658197036,18.726212140155567,18.726212140155567,0.35929504393915374,317.55471099743113,224.01615775989345,0.004706350363472418,0.0005519668994705695,0.0010082868252634788,0.5425280153037564,0.984585953630727,-0.001344894815753988,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,-0.009108064033716733,1.189152698678316,0.7763468506903235,2.906097173690796,120.73057773442221,190.29168667502108,226.28587274564987,True,False,0.7187781372257758,0.7054411413273148,0.7494064644237343,2.543925940990448,190.29168667502108,317.55471099743113,224.01615775989345,True,False,0.4307210673971991,180.7772069196085,0.5692789326028008,132.29830080490683,0.41661577115124915,0.05149738066297277,0.024905236124088095,0.4836214153702628,direction,True
gov_report:84,gov_report,retrospective_r0_r1,64,14,15,selector_05_old_stale_core,old_stale_core,bd38f436becc07317aeec29bee1c6336ff5d098170ecffb2e258bdfea4508a0d,17743776115214276571,H3,1.0,21.873714845990072,53.71255200239757,10.823646246804454,13.595092900621891,13.595092900621891,0.2531083032512595,406.36427983589016,301.37964607184546,9.06974692592785e-06,2.0204656467586652e-05,0.0920766070485115,0.8022150695323944,0.9804453850614697,-3.0091794183407825e-06,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.33061290858004283,0.9759277639717859,0.733446181017785,2.811748757958412,105.2471608026365,181.74638699002534,177.37134506512632,True,False,0.7266511254672627,0.7416489613544708,0.6180686637463199,3.4071394205093384,181.74638699002534,406.36427983589016,301.37964607184546,True,False,0.32499464940482814,274.2980631799795,0.6750053505951717,124.86097709902053,0.307263662912118,0.004810159901947287,0.0038095628984683824,0.7919825902099772,direction,True
gov_report:84,gov_report,retrospective_r0_r1,64,14,15,selector_07_random_reference,random_reference,9e446dd6225d9d163173fdff79adf47bf73f8fe74f4ff8bfbbadcfaf0845fac5,18253220019189302757,H2,1.0,23.857700878303344,55.2482186089693,10.981660383787569,13.3804531835608,13.3804531835608,0.24218795683284786,332.8448571865256,234.90715683457947,0.0001537632900470928,1.8196849822617784e-05,0.08989295363426208,0.6223901158274094,0.967171418727657,-1.0714633527889723e-06,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.38084711151620565,0.947468155538528,0.7402246902112578,2.172498494386673,99.27701811492572,168.9578014682805,160.08213652099653,True,False,0.7481859042057803,0.7057557049858155,0.6734033730359642,2.9438972771167755,168.9578014682805,332.8448571865256,234.90715683457947,True,False,0.37979209452926954,206.43301172235942,0.6202079054707305,112.101668155914,0.33679855865428754,0.003996824496908932,0.0036295075048994544,0.9080977930620788,direction,True
gov_report:84,gov_report,retrospective_r0_r1,64,14,15,selector_03_v_ridge,v_ridge,f655e26dfc7cd5ecbcc34d0c38801cd30f52c0d4407635e5532c22f80dbc03cf,1944744635256368843,H2,1.0,23.857700878303344,55.2482186089693,11.099685584347641,13.41593535394501,13.41593535394501,0.24283018876860207,333.26742589836925,235.67498178019085,0.0001537632900470928,1.8101019196215596e-05,0.08806004375219345,0.6278253767982322,0.9677278386029271,-1.2154804486572866e-06,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.4126662444199697,0.9293808317965441,0.7477862582392039,2.1027615070343018,98.76286201181681,165.38444190995247,153.70513018847885,True,False,0.7518199647595487,0.7071647675883587,0.6633262706378755,2.9601355493068695,165.38444190995247,333.26742589836925,235.67498178019085,True,False,0.3730917444251982,208.92810060985119,0.6269082555748018,109.0492815779294,0.3272125419517726,0.004006317071830723,0.0036042532974011167,0.8996425477013281,direction,True
gov_report:84,gov_report,retrospective_r0_r1,64,14,15,selector_07_random_reference,random_reference,9e446dd6225d9d163173fdff79adf47bf73f8fe74f4ff8bfbbadcfaf0845fac5,18253220019189302757,H1,1.0,22.424880373439706,54.69773090394388,10.981660383787569,13.3804531835608,13.3804531835608,0.24462537956206198,375.4580139793805,266.11604675161135,6.670977129018942e-05,1.542384367891478e-05,0.08989295363426208,0.6223901158274094,0.967171418727657,-1.4988115813609406e-06,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.38704772460464504,0.9363167452780929,0.7095280055726757,2.3625743687152863,99.27701811492572,180.56258605911123,169.06377289786258,True,False,0.7578422695400323,0.7087771118030417,0.6494816416751876,3.212950214743614,180.56258605911123,375.4580139793805,266.11604675161135,True,False,0.36445609074299623,238.62005396632625,0.6355439092570038,117.80585801996314,0.3137657304777435,0.004439832656603807,0.003850202384863249,0.8671953838477353,direction,True
gov_report:84,gov_report,retrospective_r0_r1,64,14,15,selector_03_v_ridge,v_ridge,f655e26dfc7cd5ecbcc34d0c38801cd30f52c0d4407635e5532c22f80dbc03cf,1944744635256368843,H1,1.0,22.424880373439706,54.69773090394388,11.099685584347641,13.41593535394501,13.41593535394501,0.24527407503439377,377.3093403041013,267.8527596164538,6.670977129018942e-05,1.4306651786289019e-05,0.08806004375219345,0.6278253767982322,0.9677278386029271,-1.9955793278010967e-06,-1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.41568598603603074,0.9198994864920641,0.7126361927700046,2.2938613891601562,98.76286201181681,178.41324274909147,164.12225038827322,True,False,0.7609411339166529,0.7099022764731231,0.6420946284704578,3.1818792819976807,178.41324274909147,377.3093403041013,267.8527596164538,True,False,0.35981609979180523,241.54736506086059,0.6401839002081948,115.75824491715457,0.30679930908642894,0.004520382317503363,0.003837786408218133,0.8489959783617966,direction,True
gov_report:85,gov_report,retrospective_r0_r1,64,14,15,selector_03_v_ridge,v_ridge,8158c30a14ab8995a3783ab711369d957bda92af4004717a2ec1245fde59ddc5,15151638273009533011,H1,1.0,20.55227695867521,53.840032225315426,13.633697040250578,14.2322485063068,14.2322485063068,0.2643432390000472,94.4776477544136,59.58532054968931,0.7914304130361298,0.025938790238025672,0.0012966722698029018,0.5977886041302203,0.9868206714398589,0.0008633513492041771,1,0.0,mx.vjp_of_vjp,mx.vjp_of_vjp,mx.vjp_of_vjp,0.14521940367468833,1.2408216958597247,0.9440541822874068,1.0035391449928284,62.47787734739675,69.8829098184739,86.712230672571,True,False,0.7769355564597814,0.6306816687961596,0.8503610702036413,0.9607607126235962,69.8829098184739,94.4776477544136,59.58532054968931,True,False,0.5746810882504039,40.183130327568854,0.425318911749596,43.99689150477577,0.46568572091402877,0.11236702219090844,0.11262193723006818,1.0022685929927613,direction,True
