policy,baseline,metric,task_bucket,paired_samples,mean_delta_policy_minus_baseline,delta_ci95_low,delta_ci95_high,wins,ties,losses
qk_pool,qk_tiered_v,mean_trajectory_exact_kl,all,2,4.111025333468886e-06,-1.973061785415708e-07,8.419356845479342e-06,1,0,1
qk_pool,qk_tiered_v,rouge_l,GovReport,1,0.0,0.0,0.0,0,1,0
qk_pool,qk_tiered_v,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
qk_pool,token_rarity,official_score,all,2,0.32785,0.0,0.6557,1,1,0
qk_pool,token_rarity,mean_trajectory_exact_kl,all,2,-0.2870874607853574,-0.5741731718639755,-1.749706739320278e-06,0,0,2
qk_pool,token_rarity,rouge_l,GovReport,1,0.006557377049180328,0.006557377049180328,0.006557377049180328,1,0,0
qk_pool,token_rarity,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
qk_tiered_v,token_rarity,official_score,all,2,0.32785,0.0,0.6557,1,1,0
qk_tiered_v,token_rarity,mean_trajectory_exact_kl,all,2,-0.2870915718106909,-0.574181591220821,-1.5524005607787071e-06,0,0,2
qk_tiered_v,token_rarity,rouge_l,GovReport,1,0.006557377049180328,0.006557377049180328,0.006557377049180328,1,0,0
qk_tiered_v,token_rarity,needle_retrieval_accuracy,NIAH,1,0.0,0.0,0.0,0,1,0
