regime,policy,task,churn_mean,recovered_fraction_mean,universe_mean,scoring_forward_s_mean
s1_3072_256_mk,uniform,niah,110.0,0.4921875,4853.5,0.0
s1_3072_256_reasoning_af,qk_pool,reasoning,45.97905643738977,0.20573015309343434,3138.0,0.3387219100937455
s1_3072_256_reasoning_af,quest_like,reasoning,42.86904761904762,0.19181463068181817,3138.0,0.46091430139063094
s1_3072_256_reasoning_af,uniform,reasoning,110.0,0.4921875,3138.0,0.0
s1_3072_256_qwen25_7b,qk_pool,govreport,71.37925170068027,0.31938159496753243,3540.5,0.1643480603437458
s1_3072_256_qwen25_7b,qk_pool,niah,51.006802721088434,0.22822646103896105,4750.5,0.21358298419791164
s1_3072_256_qwen25_7b,qk_pool,reasoning,41.80612244897959,0.18705864448051948,3163.0,0.1668432776640678
s1_3072_256_qwen25_7b,uniform,govreport,110.0,0.4921875,3540.5,0.0
s1_3072_256_qwen25_7b,uniform,niah,110.0,0.4921875,4750.5,0.0
s1_3072_256_qwen25_7b,uniform,reasoning,110.0,0.4921875,3163.0,0.0
