sample_id,sample_cluster,task,anchor,future_step,global_generation_index,strategy,target_horizon,layer,head,attention_output_relative_error,delta_nll,approx_kl
gov_report:0,gov_report::gov_report:0,gov_report,0,10,9,attention_weighted_v_ridge_leverage,64,14,0,0.19780488312244415,-0.26202691764417807,0.2612458318135772
gov_report:0,gov_report::gov_report:0,gov_report,0,10,9,attention_weighted_v_ridge_leverage,64,14,11,0.5368891954421997,-0.26202691764417807,0.2612458318135772
gov_report:0,gov_report::gov_report:0,gov_report,0,10,9,attention_weighted_v_ridge_leverage,64,27,0,0.12835867702960968,-0.26202691764417807,0.2612458318135772
gov_report:0,gov_report::gov_report:0,gov_report,0,10,9,attention_weighted_v_ridge_leverage,64,27,11,0.22149088978767395,-0.26202691764417807,0.2612458318135772
gov_report:0,gov_report::gov_report:0,gov_report,0,11,10,attention_weighted_v_ridge_leverage,64,0,0,0.08581528067588806,0.2335799237494598,0.07467096364735655
gov_report:0,gov_report::gov_report:0,gov_report,0,11,10,attention_weighted_v_ridge_leverage,64,0,11,0.03623645752668381,0.2335799237494598,0.07467096364735655
gov_report:0,gov_report::gov_report:0,gov_report,0,11,10,attention_weighted_v_ridge_leverage,64,14,0,0.6813387870788574,0.2335799237494598,0.07467096364735655
gov_report:0,gov_report::gov_report:0,gov_report,0,11,10,attention_weighted_v_ridge_leverage,64,14,11,0.2065386325120926,0.2335799237494598,0.07467096364735655
gov_report:0,gov_report::gov_report:0,gov_report,0,11,10,attention_weighted_v_ridge_leverage,64,27,0,0.14105619490146637,0.2335799237494598,0.07467096364735655
gov_report:0,gov_report::gov_report:0,gov_report,0,11,10,attention_weighted_v_ridge_leverage,64,27,11,0.31862539052963257,0.2335799237494598,0.07467096364735655
gov_report:0,gov_report::gov_report:0,gov_report,0,12,11,attention_weighted_v_ridge_leverage,64,0,0,0.11946555972099304,-0.007999900357631873,0.003919324790986928
gov_report:0,gov_report::gov_report:0,gov_report,0,12,11,attention_weighted_v_ridge_leverage,64,0,11,0.14217910170555115,-0.007999900357631873,0.003919324790986928
gov_report:0,gov_report::gov_report:0,gov_report,0,12,11,attention_weighted_v_ridge_leverage,64,14,0,0.6876215934753418,-0.007999900357631873,0.003919324790986928
gov_report:0,gov_report::gov_report:0,gov_report,0,12,11,attention_weighted_v_ridge_leverage,64,14,11,0.3563719391822815,-0.007999900357631873,0.003919324790986928
gov_report:0,gov_report::gov_report:0,gov_report,0,12,11,attention_weighted_v_ridge_leverage,64,27,0,0.19858849048614502,-0.007999900357631873,0.003919324790986928
gov_report:0,gov_report::gov_report:0,gov_report,0,12,11,attention_weighted_v_ridge_leverage,64,27,11,0.194134920835495,-0.007999900357631873,0.003919324790986928
gov_report:0,gov_report::gov_report:0,gov_report,0,13,12,attention_weighted_v_ridge_leverage,64,0,0,0.10091502964496613,-0.0008167536997945035,0.0006131908737003736
gov_report:0,gov_report::gov_report:0,gov_report,0,13,12,attention_weighted_v_ridge_leverage,64,0,11,0.03797242417931557,-0.0008167536997945035,0.0006131908737003736
gov_report:0,gov_report::gov_report:0,gov_report,0,13,12,attention_weighted_v_ridge_leverage,64,14,0,0.8547269701957703,-0.0008167536997945035,0.0006131908737003736
gov_report:0,gov_report::gov_report:0,gov_report,0,13,12,attention_weighted_v_ridge_leverage,64,14,11,0.7791032791137695,-0.0008167536997945035,0.0006131908737003736
gov_report:0,gov_report::gov_report:0,gov_report,0,13,12,attention_weighted_v_ridge_leverage,64,27,0,0.20601491630077362,-0.0008167536997945035,0.0006131908737003736
gov_report:0,gov_report::gov_report:0,gov_report,0,13,12,attention_weighted_v_ridge_leverage,64,27,11,0.20357300341129303,-0.0008167536997945035,0.0006131908737003736
gov_report:0,gov_report::gov_report:0,gov_report,0,14,13,attention_weighted_v_ridge_leverage,64,0,0,0.1641535460948944,0.001976407539487468,0.0007744413898046704
gov_report:0,gov_report::gov_report:0,gov_report,0,14,13,attention_weighted_v_ridge_leverage,64,0,11,0.09134996682405472,0.001976407539487468,0.0007744413898046704
gov_report:0,gov_report::gov_report:0,gov_report,0,14,13,attention_weighted_v_ridge_leverage,64,14,0,0.4494342505931854,0.001976407539487468,0.0007744413898046704
gov_report:0,gov_report::gov_report:0,gov_report,0,14,13,attention_weighted_v_ridge_leverage,64,14,11,0.5193219184875488,0.001976407539487468,0.0007744413898046704
gov_report:0,gov_report::gov_report:0,gov_report,0,14,13,attention_weighted_v_ridge_leverage,64,27,0,0.13008372485637665,0.001976407539487468,0.0007744413898046704
gov_report:0,gov_report::gov_report:0,gov_report,0,14,13,attention_weighted_v_ridge_leverage,64,27,11,0.22410163283348083,0.001976407539487468,0.0007744413898046704
gov_report:0,gov_report::gov_report:0,gov_report,0,15,14,attention_weighted_v_ridge_leverage,64,0,0,0.14098656177520752,-0.0001717679053001575,9.835677362733016e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,15,14,attention_weighted_v_ridge_leverage,64,0,11,0.089174784719944,-0.0001717679053001575,9.835677362733016e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,15,14,attention_weighted_v_ridge_leverage,64,14,0,0.2675677537918091,-0.0001717679053001575,9.835677362733016e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,15,14,attention_weighted_v_ridge_leverage,64,14,11,0.5075908899307251,-0.0001717679053001575,9.835677362733016e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,15,14,attention_weighted_v_ridge_leverage,64,27,0,0.15370838344097137,-0.0001717679053001575,9.835677362733016e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,15,14,attention_weighted_v_ridge_leverage,64,27,11,0.2523000240325928,-0.0001717679053001575,9.835677362733016e-05
gov_report:0,gov_report::gov_report:0,gov_report,0,16,15,attention_weighted_v_ridge_leverage,64,0,0,0.14396356046199799,2.0560292490756638e-05,9.418933826185751e-06
gov_report:0,gov_report::gov_report:0,gov_report,0,16,15,attention_weighted_v_ridge_leverage,64,0,11,0.046805575489997864,2.0560292490756638e-05,9.418933826185751e-06
gov_report:0,gov_report::gov_report:0,gov_report,0,16,15,attention_weighted_v_ridge_leverage,64,14,0,0.32814696431159973,2.0560292490756638e-05,9.418933826185751e-06
gov_report:0,gov_report::gov_report:0,gov_report,0,16,15,attention_weighted_v_ridge_leverage,64,14,11,0.5381748080253601,2.0560292490756638e-05,9.418933826185751e-06
