sample_id,sample_cluster,task,anchor,horizon_left,horizon_right,mean_jaccard,mean_retention,availability,scope
gov_report:4,gov_report::gov_report:4,gov_report,48,1,16,0.5373940299321408,0.6943181818181818,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,48,1,64,0.4781043035692845,0.6410714285714285,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,48,4,16,0.6318375344856222,0.7701298701298703,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,48,4,64,0.5116318948627171,0.6728896103896104,available,selected_core_all_28_layers
gov_report:4,gov_report::gov_report:4,gov_report,48,16,64,0.6001224246464231,0.7438311688311688,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0,1,4,0.8460338231094126,0.9159090909090909,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0,1,16,0.8292222019935664,0.9056818181818181,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0,1,64,0.6987195270945756,0.821103896103896,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0,4,16,0.8998247615676954,0.9469155844155844,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0,4,64,0.7450344819669306,0.8532467532467533,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,0,16,64,0.7811801579757758,0.8762987012987012,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16,1,4,0.7948884145559246,0.8845779220779221,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16,1,16,0.7137913123115706,0.8321428571428571,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16,1,64,0.7277710234364957,0.8413961038961039,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16,4,16,0.805654084833651,0.8917207792207791,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16,4,64,0.8175157900351284,0.8978896103896102,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,16,16,64,0.865418069694578,0.9272727272727274,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,48,1,4,0.7523581204478014,0.85762987012987,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,48,1,16,0.5749380279027833,0.7279220779220781,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,48,1,64,0.6082433398873828,0.7550324675324676,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,48,4,16,0.7292769767617003,0.8417207792207791,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,48,4,64,0.7489299692385174,0.8550324675324675,available,selected_core_all_28_layers
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,48,16,64,0.8765092701704299,0.9337662337662337,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0,1,4,0.8421090047005697,0.9136363636363638,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0,1,16,0.8104004581079405,0.8944805194805197,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0,1,64,0.6679966473768495,0.7990259740259741,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0,4,16,0.8964132182728423,0.9449675324675325,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0,4,64,0.7133345229138612,0.8318181818181818,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,0,16,64,0.7414274546947747,0.8506493506493508,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16,1,4,0.8082024695357817,0.8930194805194805,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16,1,16,0.6997626666414929,0.8211038961038961,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16,1,64,0.6288036905525736,0.7694805194805195,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16,4,16,0.8053289952324202,0.8910714285714285,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16,4,64,0.7112273233492097,0.82987012987013,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,16,16,64,0.8105238326170484,0.8946428571428572,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,48,1,4,0.8016585210801234,0.8884740259740261,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,48,1,16,0.6953721143029726,0.8178571428571428,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,48,1,64,0.6559104905622737,0.7899350649350649,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,48,4,16,0.7633651345274128,0.8642857142857142,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,48,4,64,0.7069050047085259,0.826948051948052,available,selected_core_all_28_layers
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,48,16,64,0.8266348865040086,0.9042207792207793,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0,1,4,0.8408091877808511,0.9126623376623378,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0,1,16,0.8215886705375185,0.9009740259740261,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0,1,64,0.6599965010907655,0.7936688311688312,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0,4,16,0.9067648194300305,0.9508116883116884,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0,4,64,0.7186795700612565,0.8350649350649351,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,0,16,64,0.7510595025526694,0.8568181818181817,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16,1,4,0.8270692222287611,0.9047077922077922,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16,1,16,0.7507840535242857,0.856168831168831,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16,1,64,0.7679465332187325,0.8678571428571429,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16,4,16,0.8202230990953983,0.900487012987013,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16,4,64,0.8144689486027025,0.8970779220779219,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,16,16,64,0.8530659617598934,0.9202922077922079,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,48,1,4,0.7339015176705941,0.8452922077922077,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,48,1,16,0.673704568839164,0.8032467532467532,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,48,1,64,0.6796065550308559,0.8069805194805194,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,48,4,16,0.7923747859968876,0.8834415584415584,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,48,4,64,0.7401499879649356,0.8495129870129873,available,selected_core_all_28_layers
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,48,16,64,0.8113797293293172,0.8948051948051947,available,selected_core_all_28_layers
