policy,feature,label,n,n_positive,spearman,rank_auc,precision_at_0.05,benefit_alerted_at_0.05,benefit_nonalerted_at_0.05,benefit_lift_at_0.05,precision_at_0.1,benefit_alerted_at_0.1,benefit_nonalerted_at_0.1,benefit_lift_at_0.1,precision_at_0.25,benefit_alerted_at_0.25,benefit_nonalerted_at_0.25,benefit_lift_at_0.25
attention,score_tv_mean,any_benefit,252,129,0.04665471372556077,0.5529085523413374,0.5384615384615384,-0.05773206174705719,-0.0036088966089595814,-0.054123165138097604,0.68,-0.029952115496184834,-0.0038072255720196587,-0.026144889924165176,0.5396825396825397,-0.019832036948406684,-0.0019239405529283711,-0.01790809639547831
attention,boundary_margin_mean,tail_event,256,4,0.049414284973551506,0.4652777777777778,0.0,-0.00012246017548259586,-0.006631486049266706,0.00650902587378411,0.0,-0.0006571482149721763,-0.006938944515929595,0.006281796300957419,0.015625,-0.002442576155125087,-0.007587074053776447,0.0051444978986513595
attention,boundary_margin_mean,any_benefit,256,129,0.049414284973551506,0.555026551913569,0.6153846153846154,-0.00012246017548259586,-0.006631486049266706,0.00650902587378411,0.5769230769230769,-0.0006571482149721763,-0.006938944515929595,0.006281796300957419,0.59375,-0.002442576155125087,-0.007587074053776447,0.0051444978986513595
attention,coverage_mass_mean,tail_event,256,4,0.07057119508765268,0.31845238095238093,0.0,0.0010009668040934698,-0.006691587081095879,0.0076925538851893484,0.0,0.00241316655106797,-0.007286023576438481,0.009699190127506451,0.0,0.000953120305006827,-0.008718972873820419,0.009672093178827246
attention,coverage_mass_mean,any_benefit,256,129,0.07057119508765268,0.5682719892571568,0.6153846153846154,0.0010009668040934698,-0.006691587081095879,0.0076925538851893484,0.6538461538461539,0.00241316655106797,-0.007286023576438481,0.009699190127506451,0.625,0.000953120305006827,-0.008718972873820419,0.009672093178827246
attention,stale_action_l1_lag4,tail_event,256,4,-0.03904683073388888,0.5243055555555556,0.0,0.003802000082599474,-0.006841436598052989,0.010643436680652464,0.0,0.003486255965649332,-0.007407329336347679,0.010893585301997011,0.0,-0.00991344134374067,-0.005096785657571252,-0.004816655686169418
attention,stale_action_l1_lag4,any_benefit,256,129,-0.03904683073388888,0.4794909357260575,0.6923076923076923,0.003802000082599474,-0.006841436598052989,0.010643436680652464,0.5769230769230769,0.003486255965649332,-0.007407329336347679,0.010893585301997011,0.5,-0.00991344134374067,-0.005096785657571252,-0.004816655686169418
attention,stale_action_l1_lag16,tail_event,256,4,-0.03904683073388888,0.5243055555555556,0.0,0.003802000082599474,-0.006841436598052989,0.010643436680652464,0.0,0.003486255965649332,-0.007407329336347679,0.010893585301997011,0.0,-0.00991344134374067,-0.005096785657571252,-0.004816655686169418
attention,stale_action_l1_lag16,any_benefit,256,129,-0.03904683073388888,0.4794909357260575,0.6923076923076923,0.003802000082599474,-0.006841436598052989,0.010643436680652464,0.5769230769230769,0.003486255965649332,-0.007407329336347679,0.010893585301997011,0.5,-0.00991344134374067,-0.005096785657571252,-0.004816655686169418
attention,compressed_margin,tail_event,256,4,-0.034282076637437216,0.09523809523809523,0.0,-1.7882527756929018e-11,-0.006638037415722677,0.006638037397840149,0.0,2.301567733923801e-09,-0.007013231096060193,0.007013233397627927,0.0,-0.004141901864045681,-0.007020632150802915,0.0028787302867572338
attention,compressed_margin,any_benefit,256,129,-0.034282076637437216,0.5022279191845206,0.5384615384615384,-1.7882527756929018e-11,-0.006638037415722677,0.006638037397840149,0.5384615384615384,2.301567733923801e-09,-0.007013231096060193,0.007013233397627927,0.5,-0.004141901864045681,-0.007020632150802915,0.0028787302867572338
attention,compressed_entropy,tail_event,256,4,0.03164130743830061,0.9097222222222222,0.0,-0.02030049479351594,-0.005552002715791672,-0.014748492077724266,0.07692307692307693,0.0036037930359060946,-0.007420616135594095,0.01102440917150019,0.0625,-0.009263675252441317,-0.005313374354671037,-0.0039503008977702795
attention,compressed_entropy,any_benefit,256,129,0.03164130743830061,0.4958188365989135,0.46153846153846156,-0.02030049479351594,-0.005552002715791672,-0.014748492077724266,0.5769230769230769,0.0036037930359060946,-0.007420616135594095,0.01102440917150019,0.515625,-0.009263675252441317,-0.005313374354671037,-0.0039503008977702795
attention,churn_x_1minus_margin,tail_event,252,4,-0.07200409729424107,0.5181451612903226,0.0,0.0008168886224321636,-0.00679356754955942,0.007610456171991584,0.0,0.0005922019228947037,-0.007171137182050445,0.007763339104945149,0.015873015873015872,-0.0025478669025643264,-0.007685330568209158,0.005137463665644832
attention,churn_x_1minus_margin,any_benefit,252,129,-0.07200409729424107,0.4353059809667864,0.46153846153846156,0.0008168886224321636,-0.00679356754955942,0.007610456171991584,0.52,0.0005922019228947037,-0.007171137182050445,0.007763339104945149,0.4444444444444444,-0.0025478669025643264,-0.007685330568209158,0.005137463665644832
attention,tv_x_churn,tail_event,252,4,0.01688109223186306,0.6532258064516129,0.0,-0.05772856435990001,-0.0036090868434074603,-0.05411947751649255,0.0,-0.029949114332487703,-0.003807556096655907,-0.026141558235831797,0.031746031746031744,-0.018077316315180735,-0.002508847430670355,-0.01556846888451038
attention,tv_x_churn,any_benefit,252,129,0.01688109223186306,0.5202621793659797,0.5384615384615384,-0.05772856435990001,-0.0036090868434074603,-0.05411947751649255,0.64,-0.029949114332487703,-0.003807556096655907,-0.026141558235831797,0.5238095238095238,-0.018077316315180735,-0.002508847430670355,-0.01556846888451038
b2_uniform,churn_jaccard_mean,tail_event,252,6,0.008242904082174459,0.5020325203252033,0.0,0.003756804922144592,0.0005502858402917315,0.0032065190818528605,0.0,0.002410594773218406,0.0005290392532473277,0.0018815555199710782,0.0,-0.0025185643657705285,0.0017937901315404595,-0.004312354497310988
