task,horizon,strategy,mean_avg_delta_nll,median_avg_delta_nll,mean_avg_approx_kl,mean_oracle_overlap,n_samples,n_rows,loss_rank,kl_rank
niah_single_1,4,future_attention_oracle,0.0006617560497610124,-8.965011447870097e-06,0.0009963274307681661,,5,15,1.0,1.0
niah_single_1,4,snapkv,0.00787110608259128,-6.678907444879201e-06,0.011982166381467112,0.46821425466375804,5,15,4.0,4.0
niah_single_1,4,v_ridge_leverage,0.006209595737047202,0.0011987994221218656,0.0015974144806821427,0.4849577939248731,5,15,3.0,3.0
niah_single_1,16,attention_weighted_v_ridge_leverage,0.02288976806462116,-0.004840908446713366,0.045572672539956935,0.5226618217416525,5,15,2.0,3.0
niah_single_1,16,future_attention_oracle,0.024869890860350897,-0.004996164903819045,0.045541199340703976,,5,15,3.0,2.0
niah_single_1,16,snapkv,0.0363595734895567,0.0005710310299962273,0.05313962844310446,0.48090232657540305,5,15,4.0,4.0
niah_single_1,16,v_ridge_leverage,0.0223436641155339,-0.004434528277247773,0.04536505218460914,0.5036667073648433,5,15,1.0,1.0
niah_single_1,64,attention_weighted_v_ridge_leverage,0.12814441746293265,0.09762052719557596,0.14222017194902853,0.568604998134928,5,15,2.0,3.0
niah_single_1,64,future_attention_oracle,0.1290960705048965,0.10141349949472805,0.14021872482820005,,5,15,3.0,1.0
niah_single_1,64,snapkv,0.13377022759461266,0.10502955254767038,0.14662810658379788,0.5038715780659715,5,15,4.0,4.0
niah_single_1,64,v_ridge_leverage,0.12789611182294494,0.09545775156108166,0.1418830381879918,0.5475946176190678,5,15,1.0,2.0
reasoning_long_generation,1,attention_weighted_v_ridge_leverage,0.008142128446307595,8.570376053285145e-06,0.004482580887973587,0.49045162347888216,5,15,3.0,3.0
reasoning_long_generation,1,future_attention_oracle,-0.0004035628786724033,3.181614015801415e-05,0.00029386222906607,,5,15,2.0,1.0
reasoning_long_generation,1,snapkv,-0.026060465087029173,-0.0007190384712387754,0.0033752924821191517,0.48892838136824857,5,15,1.0,2.0
reasoning_long_generation,1,v_ridge_leverage,0.015084824978682814,-0.00019179911416600248,0.02414601131600162,0.44097844158755645,5,15,4.0,4.0
reasoning_long_generation,4,attention_weighted_v_ridge_leverage,0.02519228337168998,0.014347503414776419,0.014688949270564735,0.5009146647479361,5,15,4.0,4.0
reasoning_long_generation,4,future_attention_oracle,0.012540957796379893,0.006852052777653661,0.0040779845256143235,,5,15,3.0,1.0
reasoning_long_generation,4,snapkv,0.009159447154859456,0.006764593530717455,0.006597539392866555,0.4910665043322822,5,15,2.0,2.0
reasoning_long_generation,4,v_ridge_leverage,0.008472269850457851,-0.006868741953346635,0.014447746805815669,0.4496806686458188,5,15,1.0,3.0
reasoning_long_generation,16,attention_weighted_v_ridge_leverage,0.031623871690528695,0.017882559561235523,0.028033386370103115,0.5023809378377468,5,15,3.0,3.0
reasoning_long_generation,16,future_attention_oracle,0.00714189291252274,0.001776861531405327,0.008139305730011075,,5,15,2.0,1.0
reasoning_long_generation,16,snapkv,0.0069554966820971394,0.00986482134027411,0.012706949739961414,0.48656413335808857,5,15,1.0,2.0
reasoning_long_generation,16,v_ridge_leverage,0.039506666394730196,0.021988846243380378,0.03816155053937587,0.4499538852894465,5,15,4.0,4.0
reasoning_long_generation,64,attention_weighted_v_ridge_leverage,0.17870099757917485,0.10863151028142842,0.16474434261735268,0.5195366196953615,5,15,4.0,3.0
reasoning_long_generation,64,future_attention_oracle,0.14972918149296177,0.10845613382504254,0.1424793706478147,,5,15,2.0,1.0
reasoning_long_generation,64,snapkv,0.14397312275696247,0.11101455737664395,0.1433345051044819,0.4931554450962656,5,15,1.0,2.0
reasoning_long_generation,64,v_ridge_leverage,0.16854000032879704,0.11343488133014518,0.16747119588178067,0.46718182526779867,5,15,3.0,4.0
ALL,1,attention_weighted_v_ridge_leverage,0.009279584398479477,7.320383384978868e-05,0.004650419062399349,0.41562518740140325,15,45,3.0,2.0
ALL,1,future_attention_oracle,0.0036555760500012486,3.181614015801415e-05,0.0007265225290654478,,15,45,2.0,1.0
ALL,1,snapkv,-0.005745273276047808,-0.00020596732449362776,0.009038545472971456,0.41359712350242106,15,45,1.0,3.0
ALL,1,v_ridge_leverage,0.2234477546133058,0.0008383861932586001,0.23317364713287975,0.35590386633215226,15,45,4.0,4.0
ALL,4,attention_weighted_v_ridge_leverage,0.030311132133118906,0.00886332998200956,0.02574906497259356,0.4263331790161811,15,45,3.0,3.0
ALL,4,future_attention_oracle,0.0018243749723633703,2.6417675895729076e-06,0.0029672419675520886,,15,45,1.0,1.0
ALL,4,snapkv,0.00410036590188544,1.0505116899928169e-05,0.01624235383353739,0.42261501987552486,15,45,2.0,2.0
ALL,4,v_ridge_leverage,0.17086423278141522,0.0054216491717751225,0.1552848261905397,0.3617285105148476,15,45,4.0,4.0
ALL,16,attention_weighted_v_ridge_leverage,0.08199426996618656,0.017882559561235523,0.07601447284026078,0.4364727120438587,15,45,3.0,3.0
ALL,16,future_attention_oracle,0.013046389168540026,-0.0005474099949829281,0.021483150412311223,,15,45,1.0,1.0
ALL,16,snapkv,0.03465300636766257,0.0025341573841188847,0.052250246076756324,0.42660002765803434,15,45,2.0,2.0
ALL,16,v_ridge_leverage,0.3177971047234949,0.022312721889296006,0.2771766153345642,0.3641931266644156,15,45,4.0,4.0
ALL,64,attention_weighted_v_ridge_leverage,0.2371628985693982,0.23043668163581427,0.21465935321296206,0.4587243129010166,15,45,2.0,2.0
ALL,64,future_attention_oracle,0.11035735213348562,0.07685757335793036,0.11972145999755725,,15,45,1.0,1.0
ALL,64,snapkv,0.3182282802819161,0.21809241526565615,0.3045953436766347,0.4290248658859424,15,45,3.0,3.0
ALL,64,v_ridge_leverage,0.47447456284511047,0.2403453360859089,0.4183545040492272,0.3840409247624532,15,45,4.0,4.0
