sample_id,sample_cluster,task,anchor,strategy,layer,lag,top_core_jaccard,selection_boundary_margin_anchor,selection_boundary_margin_future,selected_core_retention,selected_core_turnover,selected_core_replacements_estimate,sink_jaccard,recent_jaccard,whole_cache_jaccard,set_scope,unavailable_metrics
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,14,64,0.864406779661017,0.0001612156629562378,0.00011208653450012207,0.9272727272727274,0.07272727272727264,15.99999999999998,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27,1,1.0,0.0011714845895767212,0.0013761520385742188,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27,4,1.0,0.0011714845895767212,0.0012476146221160889,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27,8,1.0,0.0011714845895767212,0.0007406026124954224,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27,16,0.9909502262443439,0.0011714845895767212,0.0011362731456756592,0.9954545454545455,0.004545454545454519,0.9999999999999942,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27,32,0.9819819819819819,0.0011714845895767212,0.0018433928489685059,0.9909090909090909,0.00909090909090915,2.000000000000013,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,v_ridge_leverage,27,64,0.9555555555555556,0.0011714845895767212,0.0005317628383636475,0.9772727272727273,0.022727272727272707,4.999999999999996,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,0,1,0.9909502262443439,0.000247761607170105,0.00019656121730804443,0.9954545454545455,0.004545454545454519,0.9999999999999942,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,0,4,0.9819819819819819,0.000247761607170105,0.0003910362720489502,0.9909090909090909,0.00909090909090915,2.000000000000013,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,0,8,0.9642857142857143,0.000247761607170105,0.00013811886310577393,0.9818181818181818,0.018181818181818188,4.000000000000002,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,0,16,0.9730941704035875,0.000247761607170105,0.0001160651445388794,0.9863636363636364,0.013636363636363558,2.9999999999999827,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,0,32,0.9642857142857143,0.000247761607170105,0.0015184134244918823,0.9818181818181818,0.018181818181818188,4.000000000000002,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,0,64,0.9555555555555556,0.000247761607170105,0.00034897029399871826,0.9772727272727273,0.022727272727272707,4.999999999999996,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,14,1,1.0,4.4912099838256836e-05,7.429718971252441e-05,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,14,4,0.9730941704035875,4.4912099838256836e-05,9.676814079284668e-05,0.9863636363636364,0.013636363636363558,2.9999999999999827,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
