sample_id,sample_cluster,task,anchor,strategy,layer,head,lag,x_value,y_value,relationship,x_metric,y_metric
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,0.0,,8.0,9.027322960264428e-07,0.029541288432901068,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,0.0,,16.0,8.937381323903537e-07,0.05237179552932139,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,0.0,,32.0,7.910286683454615e-07,0.06959628240280126,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,0.0,,64.0,7.910286683454615e-07,0.08991519887379176,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,14.0,,1.0,9.160181662082323e-07,0.005668467431352089,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,14.0,,4.0,8.39869016999728e-07,0.011864974758540616,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,14.0,,8.0,8.586960973389068e-07,0.02532539412279246,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,14.0,,16.0,8.941820794916566e-07,0.042499730425428976,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,14.0,,32.0,8.832898856780957e-07,0.058493111215628335,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,14.0,,64.0,8.36586480090773e-07,0.09464422566911407,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,27.0,,1.0,9.00158397598716e-07,0.004016946475217028,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,27.0,,4.0,8.334903895956813e-07,0.006040184472932291,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,27.0,,8.0,9.579030404438527e-07,0.009817932828380723,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,27.0,,16.0,8.805760387531336e-07,0.015577896308067074,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,27.0,,32.0,8.69244132672975e-07,0.021326331748097345,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,attention_weighted_v_ridge_leverage,27.0,,64.0,8.686853050221544e-07,0.03650851712479997,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0.0,,1.0,0.0004744752077385783,0.07934541531738212,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0.0,,4.0,0.43627698719501495,0.18841822512383585,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0.0,,8.0,0.000778981251642108,0.2898917225225416,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0.0,,16.0,0.42493487894535065,0.5282105897140974,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0.0,,32.0,0.0003879371506627649,0.805563066141697,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0.0,,64.0,0.0003879371506627649,0.9008243795480466,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14.0,,1.0,8.538482063613628e-07,0.021662104136288624,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14.0,,4.0,8.374678941436287e-07,0.04461984996775973,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14.0,,8.0,8.981484995729261e-07,0.09822381083322833,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14.0,,16.0,9.031224408317939e-07,0.21597663352449914,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14.0,,32.0,8.169695320248138e-07,0.21348858605711443,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14.0,,64.0,9.037361792252341e-07,0.18180036780493497,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27.0,,1.0,8.11318670912442e-07,0.02833020590675778,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27.0,,4.0,9.258170337034244e-07,0.11668068702206588,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27.0,,8.0,8.758577223488828e-07,0.17246037071720563,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27.0,,16.0,9.330820773811865e-07,0.31728703311002415,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27.0,,32.0,7.473287553239061e-07,0.5285693245793646,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27.0,,64.0,7.269552781963284e-07,0.6140843874755033,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0.0,,1.0,9.498071165126021e-07,0.013677507193255913,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0.0,,4.0,9.298496479459573e-07,0.028352112262575287,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0.0,,8.0,9.515161991657806e-07,0.03330843311732829,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0.0,,16.0,9.156642875041143e-07,0.05944440210618955,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0.0,,32.0,9.63153638622316e-07,0.0780418433643636,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0.0,,64.0,9.63153638622316e-07,0.09865239408925684,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,14.0,,1.0,8.304657228563883e-07,0.0027394222964129034,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,14.0,,4.0,7.909395378646877e-07,0.009051744225801649,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,14.0,,8.0,8.070752244293544e-07,0.014155389609871985,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
