record_scope,sample_id,sample_cluster,task,strategy,stale_anchor,refresh_anchor,refresh_lag,stale_future_step,global_generation_index,target_horizon_condition,same_reference_token_verified,reference_token_id,reference_token_position,stale_loss,refreshed_loss,refresh_benefit,stale_approx_kl,refreshed_approx_kl,refresh_benefit_approx_kl,stale_attention_output_error,refreshed_attention_output_error,refresh_benefit_attention_output_error,layer,head,metric,counterfactual_scope
global_output,reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,v_ridge_leverage,0,16,16,17,16,64,True,24308.0,504.0,-8.691216882894537e-05,-0.00019179911416600248,0.00010488694533705711,2.213879779195087e-05,2.0755734571662687e-05,1.383063220288183e-06,0.18250431368748346,0.08753903458515803,0.09496527910232543,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,attention_weighted_v_ridge_leverage,0,16,16,17,16,64,True,13.0,501.0,0.009611314508333635,8.570376053285145e-06,0.00960274413228035,0.0029537323716625,1.4019587928159785e-06,0.002952330412869684,0.14284255324552456,0.10486950849493344,0.037973044750591115,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,future_attention_oracle,0,16,16,17,16,64,True,13.0,501.0,0.0032523436203746314,-0.0008464135497661118,0.004098757170140743,0.00045748241536691984,3.995218992902318e-05,0.00041753022543789664,0.08479917297760646,0.014301587517062822,0.07049758546054363,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,snapkv,0,16,16,17,16,64,True,13.0,501.0,0.0014174975186733718,-0.0019721906900258546,0.0033896882086992264,0.00010424379785673466,0.00023939944193905285,-0.0001351556440823182,0.10213686929394801,0.03711494353289405,0.06502192576105395,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,v_ridge_leverage,0,16,16,17,16,64,True,13.0,501.0,0.004958473491683435,-0.0002861857682319169,0.005244659259915352,0.0009656039072367838,6.147298636729402e-06,0.0009594566086000545,0.17917883830765882,0.1309284490222732,0.04825038928538561,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,attention_weighted_v_ridge_leverage,0,16,16,17,16,64,True,279.0,503.0,0.011354983151299791,-3.762327100531593e-05,0.011392606422305107,0.0038569822728222037,0.000683389295891601,0.0031735929769306026,0.18962368369102478,0.1726229644070069,0.01700071928401789,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,future_attention_oracle,0,16,16,17,16,64,True,279.0,503.0,0.00081416621838315,7.225498897867055e-06,0.0008069407194852829,0.0001626479242887124,6.951784690949854e-06,0.00015569613959776256,0.07403885138531525,0.02809721635033687,0.04594163503497839,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,snapkv,0,16,16,17,16,64,True,279.0,503.0,-0.0029177979376484586,-0.0007190384712387754,-0.0021987594664096832,0.0005248929148086237,9.958919100463035e-05,0.00042530372380399333,0.09104444521168868,0.06759356055408716,0.02345088465760152,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,v_ridge_leverage,0,16,16,17,16,64,True,279.0,503.0,-0.001099835782902403,0.0008383861932586001,-0.0019382219761610031,0.00025286623007499793,0.0003676280852256304,-0.0001147618551506325,0.17156403698027134,0.14718173568447432,0.02438230129579702,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,attention_weighted_v_ridge_leverage,0,16,16,17,16,64,True,279.0,513.0,0.006948424341931769,-0.0005644766363950282,0.0075129009783267975,0.002670599101789678,0.001109607223648614,0.0015609918781410638,0.2019045203924179,0.1871050906678041,0.014799429724613816,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,future_attention_oracle,0,16,16,17,16,64,True,279.0,513.0,0.001370085242047736,0.0006519070145039052,0.0007181782275438309,0.00025897701249071275,1.4589127880931395e-05,0.00024438788460978136,0.07258016926546891,0.028048768173903227,0.044531401091565684,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,snapkv,0,16,16,17,16,64,True,279.0,513.0,-0.0032948983583303004,-0.0009092317644210368,-0.0023856665939092636,0.0004933877081743073,6.109016355393984e-05,0.0004322975446203674,0.09314526990056038,0.05966041671733061,0.03348485318322977,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
global_output,reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,v_ridge_leverage,0,16,16,17,16,64,True,279.0,513.0,-0.002900934008106759,-0.0014881791297050029,-0.0014127548784017563,0.001082556778325762,0.0005837615131741355,0.0004987952651516266,0.15257250517606735,0.1315523919959863,0.02102011318008104,,,delta_nll_and_approx_kl,sparse_saved_cross_anchor_same_token;oracle_is_H64_conditioned
