sample_id,cycle,layer,pool,mass_k28,mass_k92,mass_k156,mass_k220,mass_k284
gov_report:86,58,31,969,0.8315897518913891,0.9252362407873681,0.9578126185047068,0.9727422958754343,0.981349622875131
gov_report:86,58,32,969,0.9044815756689473,0.9608549133880283,0.9783228053114668,0.9853888222573571,0.9895622099009065
gov_report:86,58,33,969,0.8239352303952691,0.9160221978384323,0.9494332209360443,0.9675434401069182,0.9777465383787731
gov_report:86,58,34,969,0.8301442053809897,0.9199721444424214,0.9559550537756252,0.9715293363267679,0.9797530141518008
gov_report:86,58,35,969,0.8047599034137486,0.8914404067824327,0.9131595582904016,0.9281132637895695,0.9398125887789094
gov_report:86,59,0,970,0.6492375250978057,0.7883010788429731,0.8477900333821919,0.8825521762922647,0.9079513022957093
gov_report:86,59,1,970,0.44591610132883613,0.6926856391455692,0.8072811576639974,0.8600943415308708,0.8903867272328702
gov_report:86,59,2,970,0.525322200938879,0.7650633073446523,0.8225323753905144,0.855728565202522,0.880805828764882
gov_report:86,59,3,970,0.6792900162326458,0.8700314432665966,0.9086848083113487,0.9292556135424225,0.9428875881279455
gov_report:86,59,4,970,0.6375283469271262,0.7930173780699263,0.8514608703441748,0.8868650259948702,0.9122284884802198
gov_report:86,59,5,970,0.6531239194432198,0.8156842709175915,0.8676237068383307,0.9000819923772446,0.9224356764360155
gov_report:86,59,6,970,0.5697155989484162,0.7423284707892078,0.8055895290846383,0.8459404909930017,0.876139818417922
gov_report:86,59,7,970,0.8842770384741995,0.9320361814397313,0.9505186702618763,0.9612238102997612,0.9690198025349162
gov_report:86,59,8,970,0.748294502030551,0.8571900824804141,0.8986255673275602,0.923629097839314,0.9406949258554074
gov_report:86,59,9,970,0.7377601509481376,0.8571703265087318,0.9017185470386935,0.9285229667720477,0.9464899726225845
gov_report:86,59,10,970,0.8054468757873472,0.8999893450484995,0.9319143164143664,0.9488323508721007,0.9596728428752563
gov_report:86,59,11,970,0.7170121701833817,0.8506946467034615,0.9014655272284707,0.9311157161205978,0.949771092935676
gov_report:86,59,12,970,0.6910772907617849,0.845392474774886,0.9039813645394448,0.9329535874358725,0.9511779969830106
gov_report:86,59,13,970,0.7077120774489754,0.8553485234271759,0.9094996213120959,0.9402322804220521,0.9588979689228072
gov_report:86,59,14,970,0.7218971055098473,0.8724121200532966,0.9243143570648287,0.9505042554772555,0.9654243880379583
gov_report:86,59,15,970,0.664204639676403,0.8365946469274216,0.9029574970004195,0.9357210780281131,0.9552936825094377
gov_report:86,59,16,970,0.5683749730196417,0.7898419809036266,0.8761911240277855,0.920398250427046,0.9455463039515007
gov_report:86,59,17,970,0.5855685751872277,0.8137814900223643,0.9047044518432723,0.946216840364823,0.9664634266290991
gov_report:86,59,18,970,0.5178046225881222,0.7743051317159195,0.8780474775957678,0.9280171518944408,0.9564014817967047
