sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,7,6,0.9859105199089452,0.9921145914037536,0.4318181818181818,0.006204071494808394
synthetic_niah_86,niah_single_1,0,7,7,0.9844062793576193,0.9960510681123256,0.37727272727272726,0.011644788754706314
synthetic_niah_86,niah_single_1,0,8,0,0.9904274375624429,0.9922068271560597,0.6454545454545455,0.001779389593616787
synthetic_niah_86,niah_single_1,0,8,1,0.9799230580564743,0.9811015806605379,0.8954545454545455,0.001178522604063592
synthetic_niah_86,niah_single_1,0,8,2,0.9979878777840532,0.9986339945942465,0.5363636363636364,0.0006461168101933312
synthetic_niah_86,niah_single_1,0,8,3,0.9928117010289751,0.996182847712545,0.39545454545454545,0.003371146683569859
synthetic_niah_86,niah_single_1,0,8,4,0.9984876730488521,0.9986696469693758,0.759090909090909,0.00018197392052365924
synthetic_niah_86,niah_single_1,0,8,5,0.9967687603036521,0.9974699450715623,0.5863636363636363,0.0007011847679101457
synthetic_niah_86,niah_single_1,0,8,6,0.9945504169908918,0.9951552355619443,0.7954545454545454,0.0006048185710525456
synthetic_niah_86,niah_single_1,0,8,7,0.9992510082930626,0.999380839378992,0.6954545454545454,0.00012983108592945491
synthetic_niah_86,niah_single_1,0,9,0,0.9964206885953881,0.9969593931733867,0.6454545454545455,0.0005387045779985389
synthetic_niah_86,niah_single_1,0,9,1,0.9981302212456609,0.9989936278760135,0.37272727272727274,0.00086340663035267
synthetic_niah_86,niah_single_1,0,9,2,0.9920457616398537,0.9935244218531526,0.5409090909090909,0.001478660213298899
synthetic_niah_86,niah_single_1,0,9,3,0.9982770440356793,0.9985090073510816,0.8454545454545455,0.00023196331540231707
synthetic_niah_86,niah_single_1,0,9,4,0.9970516068559891,0.9976208062883716,0.9,0.0005691994323824279
synthetic_niah_86,niah_single_1,0,9,5,0.9957155286212508,0.996174743131299,0.8227272727272728,0.00045921451004815594
synthetic_niah_86,niah_single_1,0,9,6,0.9960410687346354,0.996213898405397,0.9409090909090909,0.00017282967076159839
synthetic_niah_86,niah_single_1,0,9,7,0.9997923980574492,0.9998199346472916,0.9181818181818182,2.7536589842336312e-05
synthetic_niah_86,niah_single_1,0,10,0,0.9895302055352014,0.9933896465708554,0.6045454545454545,0.0038594410356539433
synthetic_niah_86,niah_single_1,0,10,1,0.9877129708283958,0.990220188259241,0.7090909090909091,0.0025072174308451434
synthetic_niah_86,niah_single_1,0,10,2,0.9947893161694028,0.9959460249690191,0.6863636363636364,0.0011567087996162684
synthetic_niah_86,niah_single_1,0,10,3,0.9807179141616233,0.9839023910143894,0.6636363636363637,0.003184476852766016
synthetic_niah_86,niah_single_1,0,10,4,0.9942562864809328,0.9953466318417811,0.6863636363636364,0.0010903453608482883
synthetic_niah_86,niah_single_1,0,10,5,0.9981460134973874,0.9986594017072317,0.6545454545454545,0.0005133882098442566
synthetic_niah_86,niah_single_1,0,10,6,0.994179494485907,0.9964292080198374,0.4909090909090909,0.002249713533930331
