sample_id,sample_cluster,task,anchor,strategy,layer,head,singular_value_rank,singular_value,spectrum_scope
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,2,78.2449951171875,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,3,64.39104461669922,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,4,58.81930923461914,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,5,57.167930603027344,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,6,55.40362548828125,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,7,50.87303924560547,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,0,8,49.807533264160156,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,1,98.56652069091797,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,2,67.28675079345703,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,3,61.72831726074219,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,4,58.83515167236328,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,5,53.58922576904297,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,6,49.33091354370117,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,7,47.71653366088867,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,8,44.660152435302734,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,1,289.5865173339844,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,2,198.44142150878906,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,3,165.7153778076172,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,4,154.3682403564453,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,5,150.2537384033203,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,6,140.4868621826172,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,7,136.65750122070312,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,0,8,130.98716735839844,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,1,267.83270263671875,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,2,221.67906188964844,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,3,193.16232299804688,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,4,175.99034118652344,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,5,174.23809814453125,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,6,155.2264404296875,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,7,148.95883178710938,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,8,140.465576171875,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,1,85.8519058227539,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,2,39.33211898803711,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,3,24.224937438964844,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,4,21.378381729125977,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,5,19.663427352905273,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,6,18.888275146484375,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,7,17.924917221069336,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,0,8,17.538349151611328,selected_core_at_anchor_first_8_values
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,1,1,42.64251708984375,selected_core_at_anchor_first_8_values
