rule,held_out_sample,threshold,alert_rate,auc,precision,recall,benefit_alerted,benefit_nonalerted,lift_positive
rankprod:score_tv_mean*tv_x_churn,synthetic_niah_96,0.5211628608558433,0.28125,,0.0,,-0.017697777926115384,-0.0017664599930142762,False
and:score_tv_mean&compressed_entropy,gov_report:96,0.2677331349206349,0.515625,0.9596774193548387,0.06060606060606061,1.0,0.004352854178057786,0.00038027444195794393,True
and:score_tv_mean&compressed_entropy,gov_report:97,0.38027882205513763,0.328125,,0.0,,-0.02083407959331193,-0.0026857349966165917,False
and:score_tv_mean&compressed_entropy,gov_report:98,0.6776114766081874,0.1171875,0.6352459016393442,0.06666666666666667,0.16666666666666666,-0.03146259797116121,0.005610850825702009,False
and:score_tv_mean&compressed_entropy,synthetic_niah_96,0.7063492063492064,0.0625,,0.0,,-0.03620674356352538,-0.004249836468243867,False
rankprod:score_tv_mean*compressed_entropy,gov_report:96,0.19429002192982453,0.4765625,0.9576612903225806,0.06557377049180328,1.0,0.008449237733090784,-0.0030528076203780816,True
rankprod:score_tv_mean*compressed_entropy,gov_report:97,0.19500248015873017,0.4609375,,0.0,,-0.01417611448129981,-0.003907446351180276,False
rankprod:score_tv_mean*compressed_entropy,gov_report:98,0.5690611946533,0.125,0.703551912568306,0.0625,0.16666666666666666,-0.03423279779963195,0.006337606594026965,False
rankprod:score_tv_mean*compressed_entropy,synthetic_niah_96,0.2589075227130325,0.3671875,,0.0,,-0.011053073843829631,-0.00345851671651203,False
and:stale_action_l1_lag4&stale_action_l1_lag16,gov_report:96,0.59765625,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag4&stale_action_l1_lag16,gov_report:97,0.59765625,0.0,,,,,-0.00864066056740725,False
and:stale_action_l1_lag4&stale_action_l1_lag16,gov_report:98,0.5859375,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
and:stale_action_l1_lag4&stale_action_l1_lag16,synthetic_niah_96,0.59765625,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag4*stale_action_l1_lag16,gov_report:96,0.3571929931640625,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
rankprod:stale_action_l1_lag4*stale_action_l1_lag16,gov_report:97,0.3571929931640625,0.0,,,,,-0.00864066056740725,False
rankprod:stale_action_l1_lag4*stale_action_l1_lag16,gov_report:98,0.34332275390625,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
rankprod:stale_action_l1_lag4*stale_action_l1_lag16,synthetic_niah_96,0.3571929931640625,0.0,,,,,-0.006247143161698962,False
and:stale_action_l1_lag4&churn_jaccard_mean,gov_report:96,0.5912698412698413,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag4&churn_jaccard_mean,gov_report:97,0.5912698412698413,0.0,,,,,-0.00864066056740725,False
and:stale_action_l1_lag4&churn_jaccard_mean,gov_report:98,0.5793650793650794,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
and:stale_action_l1_lag4&churn_jaccard_mean,synthetic_niah_96,0.5912698412698413,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag4*churn_jaccard_mean,gov_report:96,0.3533761160714286,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
rankprod:stale_action_l1_lag4*churn_jaccard_mean,gov_report:97,0.3533761160714286,0.0,,,,,-0.00864066056740725,False
rankprod:stale_action_l1_lag4*churn_jaccard_mean,gov_report:98,0.3394717261904762,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
rankprod:stale_action_l1_lag4*churn_jaccard_mean,synthetic_niah_96,0.3533761160714286,0.0,,,,,-0.006247143161698962,False
and:stale_action_l1_lag4&churn_jaccard_min,gov_report:96,0.5912698412698413,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag4&churn_jaccard_min,gov_report:97,0.5912698412698413,0.0,,,,,-0.00864066056740725,False
and:stale_action_l1_lag4&churn_jaccard_min,gov_report:98,0.5793650793650794,0.8125,0.5184426229508197,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
and:stale_action_l1_lag4&churn_jaccard_min,synthetic_niah_96,0.5912698412698413,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag4*churn_jaccard_min,gov_report:96,0.3533761160714286,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
rankprod:stale_action_l1_lag4*churn_jaccard_min,gov_report:97,0.3533761160714286,0.0,,,,,-0.00864066056740725,False
rankprod:stale_action_l1_lag4*churn_jaccard_min,gov_report:98,0.3394717261904762,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
rankprod:stale_action_l1_lag4*churn_jaccard_min,synthetic_niah_96,0.3533761160714286,0.0,,,,,-0.006247143161698962,False
and:stale_action_l1_lag4&churn_x_1minus_margin,gov_report:96,0.59765625,0.0,0.5524193548387096,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag4&churn_x_1minus_margin,gov_report:97,0.5625,0.4375,,0.0,,-0.003949514295809388,-0.012289329889761141,True
and:stale_action_l1_lag4&churn_x_1minus_margin,gov_report:98,0.5625,0.4375,0.6639344262295083,0.08928571428571429,0.8333333333333334,0.004170350079284083,-0.0009923948708749982,True
and:stale_action_l1_lag4&churn_x_1minus_margin,synthetic_niah_96,0.5625,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag4*churn_x_1minus_margin,gov_report:96,0.3441422893170426,0.3828125,0.5544354838709677,0.04081632653061224,0.5,0.005597166756098516,0.0004633445582832795,True
rankprod:stale_action_l1_lag4*churn_x_1minus_margin,gov_report:97,0.5494337406015037,0.0625,,0.0,,-0.003336646672909893,-0.008994261493707073,True
rankprod:stale_action_l1_lag4*churn_x_1minus_margin,gov_report:98,0.3963371318922306,0.3359375,0.6092896174863388,0.06976744186046512,0.5,-0.0047827309018080005,0.00432640708840768,False
rankprod:stale_action_l1_lag4*churn_x_1minus_margin,synthetic_niah_96,0.5468316788063909,0.0,,,,,-0.006247143161698962,False
and:stale_action_l1_lag4&tv_x_churn,gov_report:96,0.59765625,0.0,0.8064516129032258,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag4&tv_x_churn,gov_report:97,0.5625,0.359375,,0.0,,-0.013928986974370254,-0.005674038436671905,False
and:stale_action_l1_lag4&tv_x_churn,gov_report:98,0.5625,0.3515625,0.5252732240437159,0.044444444444444446,0.3333333333333333,-0.009945387956222644,0.007344935322493106,False
and:stale_action_l1_lag4&tv_x_churn,synthetic_niah_96,0.47619047619047616,0.4921875,,0.0,,-0.011370912885156756,-0.0012810278912706388,False
rankprod:stale_action_l1_lag4*tv_x_churn,gov_report:96,0.581650855654762,0.0,0.8729838709677419,,0.0,,0.0024286358683844253,False
rankprod:stale_action_l1_lag4*tv_x_churn,gov_report:97,0.32713008106203006,0.359375,,0.0,,-0.013928986974370254,-0.005674038436671905,False
rankprod:stale_action_l1_lag4*tv_x_churn,gov_report:98,0.5396522556390977,0.0859375,0.5150273224043715,0.0,0.0,-0.0446442851274611,0.005582686411444283,False
rankprod:stale_action_l1_lag4*tv_x_churn,synthetic_niah_96,0.41423284774436087,0.21875,,0.0,,-0.0241358976339098,-0.0012382919094799274,False
and:stale_action_l1_lag4&compressed_entropy,gov_report:96,0.59765625,0.0,0.8024193548387097,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag4&compressed_entropy,gov_report:97,0.5499712171052629,0.40625,,0.0,,-0.018249697910505347,-0.0020660560694980247,False
and:stale_action_l1_lag4&compressed_entropy,gov_report:98,0.5625,0.375,0.7547814207650273,0.10416666666666667,0.8333333333333334,0.0016569715153309517,0.0010319067625127894,True
and:stale_action_l1_lag4&compressed_entropy,synthetic_niah_96,0.59765625,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag4*compressed_entropy,gov_report:96,0.5326026354337994,0.0546875,0.8870967741935484,0.14285714285714285,0.25,0.0282539107969829,0.0009346116989613725,True
rankprod:stale_action_l1_lag4*compressed_entropy,gov_report:97,0.5274578054327714,0.0859375,,0.0,,-0.0015957170928066428,-0.009303005680403887,True
rankprod:stale_action_l1_lag4*compressed_entropy,gov_report:98,0.5417597399259868,0.078125,0.8073770491803278,0.2,0.3333333333333333,0.0369726613163948,-0.001759656266330841,True
rankprod:stale_action_l1_lag4*compressed_entropy,synthetic_niah_96,0.5248205566406251,0.03125,,0.0,,-0.08549364283680916,-0.0036908044625018586,False
and:stale_action_l1_lag16&churn_jaccard_mean,gov_report:96,0.5912698412698413,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag16&churn_jaccard_mean,gov_report:97,0.5912698412698413,0.0,,,,,-0.00864066056740725,False
and:stale_action_l1_lag16&churn_jaccard_mean,gov_report:98,0.5793650793650794,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
and:stale_action_l1_lag16&churn_jaccard_mean,synthetic_niah_96,0.5912698412698413,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag16*churn_jaccard_mean,gov_report:96,0.3533761160714286,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
rankprod:stale_action_l1_lag16*churn_jaccard_mean,gov_report:97,0.3533761160714286,0.0,,,,,-0.00864066056740725,False
rankprod:stale_action_l1_lag16*churn_jaccard_mean,gov_report:98,0.3394717261904762,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
rankprod:stale_action_l1_lag16*churn_jaccard_mean,synthetic_niah_96,0.3533761160714286,0.0,,,,,-0.006247143161698962,False
and:stale_action_l1_lag16&churn_jaccard_min,gov_report:96,0.5912698412698413,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag16&churn_jaccard_min,gov_report:97,0.5912698412698413,0.0,,,,,-0.00864066056740725,False
and:stale_action_l1_lag16&churn_jaccard_min,gov_report:98,0.5793650793650794,0.8125,0.5184426229508197,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
and:stale_action_l1_lag16&churn_jaccard_min,synthetic_niah_96,0.5912698412698413,0.0,,,,,-0.006247143161698962,False
