regime,policy,task,n_samples,prompt_tokens_mean,retained_fraction_mean,traj_kl_mean,traj_kl_median,step_kl_mean,step_kl_p95,niah_retrieval,govreport_rouge_l,official_score,repetition_4gram
s0_768_64_h4,full_cache,govreport,5,930.0,1.0,0.0,0.0,,,,0.06270969200728427,6.2709600000000005,0.00909090909090908
s0_768_64_h4,full_cache,niah,5,1246.6,1.0,0.0,0.0,,,1.0,,100.0,0.00941306755260244
s0_768_64_h4,qk_pool,govreport,5,930.0,0.0688620865310912,0.25571483428408215,0.2667150937504626,0.2557148342840822,1.1981021165847794,,0.060590983084919836,6.05908,0.00930232558139534
s0_768_64_h4,qk_pool,niah,5,1246.6,0.051339717803427574,0.49642199119392527,0.5214207312856681,0.49642199119392527,2.2311094284057655,0.2,,20.0,0.0
s0_768_64_h4,uniform,govreport,5,930.0,0.0688620865310912,1.6325886083523358,1.462024010831224,1.6325886083523358,7.431765651702884,,0.05714950282075132,5.7149399999999995,0.0
s0_768_64_h4,uniform,niah,5,1246.6,0.051339717803427574,2.013857575538964,1.973876433565921,2.0138575755389634,12.302790451049809,0.0,,0.0,0.2948056282474305
s0_768_64_h16,full_cache,govreport,5,930.0,1.0,0.0,0.0,,,,0.06270969200728427,6.2709600000000005,0.00909090909090908
s0_768_64_h16,full_cache,niah,5,1246.6,1.0,0.0,0.0,,,1.0,,100.0,0.00941306755260244
s0_768_64_h16,qk_pool,govreport,5,930.0,0.0688620865310912,0.6459032936506878,0.702613889522343,0.6459032936506878,3.764019250869751,,0.05466351856036937,5.46634,0.01406926406926406
s0_768_64_h16,qk_pool,niah,5,1246.6,0.051339717803427574,1.0418487515107862,1.049416270323673,1.0418487515107862,5.831236886978154,0.0,,0.0,0.00909090909090908
s0_768_64_h16,uniform,govreport,5,930.0,0.0688620865310912,1.650138737651543,1.6246729790636727,1.650138737651543,8.184479999542237,,0.04894367488740502,4.89438,0.0186046511627907
s0_768_64_h16,uniform,niah,5,1246.6,0.051339717803427574,2.0842324807462234,2.280659730747857,2.0842324807462234,10.753530406951917,0.0,,0.0,0.00926315789473682
