sample_id,task,cycle,offset,inside_position,outside_position,inside_attn,outside_attn,attn_margin,layers_swapped,base_kl,swap_kl,swap_regret,inside_delta_l0,inside_delta_mean,inside_pv_l0,inside_pv_mean,inside_vn_l0,inside_vn_mean,outside_delta_l0,outside_delta_mean,outside_pv_l0,outside_pv_mean,outside_vn_l0,outside_vn_mean,delta_diff,pv_diff,vn_diff,regret_negative,regret_positive
synthetic_niah_86,niah_single_1,12,4,3970,4575,0.0002698451280593872,0.00026344507932662964,6.400048732757568e-06,4,5.397140512286569e-08,5.392699975459436e-08,-4.440536827132746e-11,8.391413996022834e-05,9.364429218836377e-05,0.4395107217133045,18.253193462267518,0.24894455075263977,10.543372553255823,0.00012804955956369213,0.00019951297271022148,0.4823289141058922,19.05011182030042,0.27979615330696106,11.026189246111446,-0.00010586868052185771,-0.7969183580329009,-0.48281669285562323,False,False
synthetic_niah_86,niah_single_1,12,8,2951,4199,0.00027598440647125244,0.0002592355012893677,1.6748905181884766e-05,2,5.397140512286569e-08,5.39818607592224e-08,1.0455636356709874e-11,0.00010245755856885808,5.089519321918898e-05,0.4823289141058922,18.47112112450931,0.27979615330696106,10.723430801596907,7.70029624233004e-05,9.38963357758708e-05,0.3838724456727505,14.823292614685165,0.21148130297660828,8.766559944384628,-4.3001142556681815e-05,3.6478285098241443,1.9568708572122784,False,False
synthetic_niah_86,niah_single_1,12,16,2960,3979,0.00028670579195022583,0.0002505257725715637,3.618001937866211e-05,1,5.397140512286569e-08,5.398775115850185e-08,1.6346035636161105e-11,9.709336143259861e-05,4.4144051390551356e-05,0.4823289141058922,18.599296919794547,0.27979615330696106,10.775903065171507,7.773875606087444e-05,3.512183381329217e-05,0.4395107217133045,17.937296852572924,0.24894455075263977,10.36820831646522,9.022217577259184e-06,0.6620000672216229,0.4076947487062874,False,False
synthetic_niah_86,niah_single_1,12,32,1300,2967,0.0003015473484992981,0.00023809820413589478,6.344914436340332e-05,1,5.397140512286569e-08,5.396178792693718e-08,-9.617195928512956e-12,0.0001738879085451117,2.047954350540652e-05,0.514636792242527,21.974299450508422,0.298468679189682,12.604597971671158,8.710158272151602e-05,4.1506068294511816e-05,0.45141787081956863,15.556540712300274,0.2641216218471527,9.090573807557425,-2.1026524789105294e-05,6.417758738208148,3.5140241641137333,False,False
synthetic_niah_86,niah_single_1,16,1,4483,2980,0.00021778792142868042,0.00021713227033615112,6.556510925292969e-07,1,4.8319002132757305e-09,4.83216755498006e-09,2.673417043297377e-13,7.060836190930786e-05,7.56052832635332e-05,0.4395107217133045,17.961537394879592,0.24894455075263977,10.39525898049275,7.974019987910808e-05,4.0691848921710814e-05,0.4395107217133045,18.293824615991777,0.24894455075263977,10.565727883742916,3.4913434341822385e-05,-0.33228722111218545,-0.17046890325016584,False,False
synthetic_niah_86,niah_single_1,16,2,4451,3044,0.0002178102731704712,0.00021645426750183105,1.3560056686401367e-06,10,4.8319002132757305e-09,4.831786082348799e-09,-1.141309269314661e-13,7.14316162770956e-05,0.0002469533269894421,0.3838724456727505,14.863049023370776,0.21148130297660828,8.787706647482183,0.00010956367356129704,5.9811497126786385e-05,0.5666481330990791,21.774256436361206,0.3228532373905182,12.536071102652285,0.00018714182986265571,-6.91120741299043,-3.748364455170101,False,False
synthetic_niah_86,niah_single_1,16,4,4010,2969,0.00021827220916748047,0.00021520256996154785,3.069639205932617e-06,2,4.8319002132757305e-09,4.832127586951174e-09,2.2737367544323206e-13,7.079316604219343e-05,8.158673946192765e-05,0.3838724456727505,14.832701495331195,0.21148130297660828,8.77564074844122,7.647267744914643e-05,9.315354378383291e-05,0.4823289141058922,18.505325994971727,0.27979615330696106,10.72871518548992,-1.1566804321905266e-05,-3.6726244996405324,-1.9530744370487003,False,False
synthetic_niah_86,niah_single_1,16,8,4570,4327,0.00022092461585998535,0.00021357834339141846,7.3462724685668945e-06,7,4.8319002132757305e-09,4.833664135617255e-09,1.7639223415244487e-12,0.00010459297799947365,0.0003752742313666167,0.514636792242527,22.056619524127907,0.298468679189682,12.67379158652491,9.765895606506092e-05,0.00024468538661409015,0.514636792242527,22.250591556231182,0.298468679189682,12.778829919795195,0.00013058884475252656,-0.19397203210327518,-0.10503833327028467,False,False
synthetic_niah_86,niah_single_1,16,16,4001,4287,0.00022406131029129028,0.00021047145128250122,1.3589859008789062e-05,2,4.8319002132757305e-09,4.8323887114065656e-09,4.884981308350689e-13,6.955127140884088e-05,7.782703984663779e-05,0.3838724456727505,14.868747536092997,0.21148130297660828,8.796400443547302,0.0001036104511058511,0.00020757560919494445,0.4823289141058922,17.694277560752298,0.27979615330696106,10.27637914982107,-0.00012974856934830668,-2.825530024659301,-1.4799787062737675,False,False
synthetic_niah_86,niah_single_1,16,32,4612,4447,0.00023636966943740845,0.0001983940601348877,3.797560930252075e-05,3,4.8319002132757305e-09,4.825756239057455e-09,-6.143974218275616e-12,0.00011875369176550521,0.0003344651293697925,0.5504622384905815,20.07392300354938,0.31137970089912415,11.509853805932734,6.689556406058728e-05,9.717994678704045e-05,0.4395107217133045,18.002944653853774,0.24894455075263977,10.376020659175184,0.00023728518258275203,2.0709783496956042,1.1338331467575493,False,False
