sample_id,task,anchor,lag,global_generation_index,layer,head,strategy,event_signal,signal_magnitude,robust_z,percentile_rank,event_by_mad,event_by_top_quantile,selected_set_turnover,oracle_overlap,token_text,token_text_availability,event_thresholds,stale_loss,refreshed_loss,refresh_benefit
gov_report:0,gov_report,0,29,28.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.039422954818292e-06,1.0804581526936154,0.9699263932702419,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,32,31.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.1158158486068714e-06,1.887936516174812,0.997055730809674,False,True,0.00909090909090915,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,37,36.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.1117647318314994e-06,1.8451159214595259,0.9968454258675079,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,44,43.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.087036594071833e-06,1.5837377327320015,0.9926393270241851,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,46,45.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.045801923282852e-06,1.147884306632963,0.9751840168243954,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,49,48.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0741931646407465e-06,1.4479817629790883,0.9892744479495268,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,58,57.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0905059752985835e-06,1.6204093409973208,0.9934805467928496,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,62,61.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0787739483930636e-06,1.4964009756092458,0.9907465825446898,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,71,70.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0769711025204742e-06,1.4773447655010623,0.9901156677181914,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,81,80.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0727569588198094e-06,1.4328009644990354,0.9888538380651946,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,85,84.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0337176945540705e-06,1.0201531427258341,0.9634069400630915,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,91,90.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.042343683366198e-06,1.1113304628140177,0.9732912723449001,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,97,96.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0379632158219465e-06,1.0650286068625476,0.968664563617245,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,106,105.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.1056619086957653e-06,1.7806086434410247,0.9960042060988433,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,108,107.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0934916190308286e-06,1.6519678092695564,0.9939011566771819,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,121,120.0,27,0.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0763343425423955e-06,1.4706141668873698,0.9896950578338591,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,1,0.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.068097503775789e-06,1.2362485240443852,0.9600420609884333,False,True,0.0,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,6,5.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.074977490134188e-06,1.320006598160382,0.9674027339642481,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,10,9.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0763432101157377e-06,1.3366330955802057,0.9684542586750788,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
