strategy,horizon,task,scope,metric,mean,median,q10,q25,q75,q90,cluster_bootstrap_mean_ci_low,cluster_bootstrap_mean_ci_high,n_rows,n_samples
snapkv,4,niah_single_1,task,attention_output_error_mean,0.07472466134366049,0.07246008639534315,0.03609804523875937,0.060311122942948714,0.10074248908635278,0.10549251960280041,0.06039645339026012,0.08938870194262953,15,5
snapkv,4,niah_single_1,task,oracle_overlap,0.468214254663758,0.4609297262434829,0.41186363749445626,0.4308835238698894,0.5040072354863477,0.5124394129976002,0.4512502438605942,0.4944384715158699,15,5
snapkv,4,reasoning_long_generation,task,avg_delta_nll,0.009159447154859456,0.006764593530717455,-0.023047935596215652,-0.007488328719998716,0.013460691135896763,0.049224406147141034,-0.013832510016118486,0.028904064025057075,15,5
snapkv,4,reasoning_long_generation,task,max_delta_nll,0.0844044429820831,0.042746529156470814,0.0016624694655376973,0.014126413442289376,0.10844169602223452,0.20725017602438808,0.03452116632580912,0.14543548311536134,15,5
snapkv,4,reasoning_long_generation,task,avg_approx_kl,0.006597539392866556,0.002694053298741829,0.0002639735864908538,0.0006308353298508608,0.0055819493371089286,0.013141074508156513,0.002601728489442455,0.012270332369838717,15,5
snapkv,4,reasoning_long_generation,task,attention_output_error_mean,0.07325879148362827,0.0710417147881041,0.06079984242872645,0.06439576695750779,0.08032732397744742,0.09327200314340492,0.06763506880081775,0.0783523975351515,15,5
snapkv,4,reasoning_long_generation,task,oracle_overlap,0.4910665043322822,0.5097051667117362,0.4098008265968287,0.48017930645334705,0.5205760033337472,0.5363430004907555,0.4758091153983075,0.5058405989217101,15,5
snapkv,16,gov_report,task,avg_delta_nll,0.06064394893133387,0.024530824688011377,-0.03222309916371815,-0.006122567554237013,0.06426449934738565,0.2260973320968154,-0.0006400560613602391,0.15909913950419294,15,5
snapkv,16,gov_report,task,max_delta_nll,0.9753486435719769,0.36589105840650404,0.12590348294642553,0.33641125029512153,1.1672435114629014,2.557881766289976,0.3161615886235436,1.9901496526667444,15,5
snapkv,16,gov_report,task,avg_approx_kl,0.0909041600472031,0.06675016194298208,0.019159106378784114,0.03978397455257226,0.103489058735103,0.20031719313595753,0.0463954738592409,0.16770042933323276,15,5
snapkv,16,gov_report,task,attention_output_error_mean,0.21798783801870408,0.20765419203869348,0.1701477014075891,0.18978912947457854,0.24145675165345892,0.2583899746319124,0.192439212553076,0.24938287416519814,15,5
snapkv,16,gov_report,task,oracle_overlap,0.3123336230406114,0.31576914418406277,0.24538354968618867,0.25854470660969225,0.34426418623759214,0.3788239181182291,0.2823714240508103,0.3423150276420905,15,5
snapkv,16,niah_single_1,task,avg_delta_nll,0.0363595734895567,0.0005710310299962273,-0.028719144734569067,-0.022049616178625553,0.012133037761237642,0.10658983468407085,-0.010769478032995867,0.10379468992164646,15,5
snapkv,16,niah_single_1,task,max_delta_nll,0.4512912997874809,0.0584809817665537,0.024428410469673166,0.043628298951629674,0.16661791822060934,0.5538903395515682,0.10379495380108304,1.052622382268114,15,5
snapkv,16,niah_single_1,task,avg_approx_kl,0.053139628443104464,0.004362012451342248,0.00029700577032850203,0.0020476481732648573,0.044335795581868204,0.13349890416634352,0.007965386000897795,0.10674319806481876,15,5
snapkv,16,niah_single_1,task,attention_output_error_mean,0.09597936663207807,0.08182582036048795,0.0672859572499874,0.0724935958860442,0.10660574475089865,0.13924497634896985,0.08105010820763978,0.11297476304490142,15,5
snapkv,16,niah_single_1,task,oracle_overlap,0.480902326575403,0.45955769047351963,0.4398208907475418,0.44908047431822373,0.501311728568991,0.523661422248896,0.4560658356850702,0.510694296289016,15,5
snapkv,16,reasoning_long_generation,task,avg_delta_nll,0.0069554966820971394,0.00986482134027411,-0.018415850157600833,-0.006435301463346477,0.01939537236390987,0.02419140125928183,-0.0028415689765449057,0.019216171330548183,15,5
snapkv,16,reasoning_long_generation,task,max_delta_nll,0.2076549644751656,0.22578408594107913,0.07350578558111209,0.11070512836670865,0.2620159086617626,0.38080184741268325,0.14819268641585998,0.2786117819597317,15,5
snapkv,16,reasoning_long_generation,task,avg_approx_kl,0.01270694973996141,0.010590035196796625,0.005265894335387711,0.008782051720204404,0.012513443217918068,0.022841495174270355,0.009147403431247016,0.017177235955541346,15,5
snapkv,16,reasoning_long_generation,task,attention_output_error_mean,0.0949673020138264,0.08405153481483771,0.07610975278472955,0.07969274910283275,0.10305007999451643,0.12923490488222644,0.08619282368549157,0.10504842006212275,15,5
snapkv,16,reasoning_long_generation,task,oracle_overlap,0.48656413335808846,0.4784384836784931,0.43067752707488527,0.4618201198472339,0.523006403545166,0.5332046971310015,0.47547218354426884,0.4978353877581568,15,5
snapkv,64,gov_report,task,avg_delta_nll,0.676941490494173,0.6398569599148869,0.26050284522713835,0.3544095268160154,0.9304553368607799,1.0603925365334024,0.4613745604195664,0.9405890670929347,15,5
snapkv,64,gov_report,task,max_delta_nll,6.419025578844187,6.154867731628439,2.870698131135386,4.473056935045037,7.678811291835666,10.575950512657437,5.1809378477300605,7.863416940401678,15,5
snapkv,64,gov_report,task,avg_approx_kl,0.6238234193416243,0.6384194093547697,0.2344980833183735,0.3311032201928326,0.830100595765958,0.9713649112053705,0.44389276438840714,0.8580918360101096,15,5
snapkv,64,gov_report,task,attention_output_error_mean,0.3569681018905092,0.3618100712771669,0.29462823165262386,0.31474353849485404,0.3838534832796038,0.4218787953000477,0.32601573256486444,0.3953957605164899,15,5
snapkv,64,gov_report,task,oracle_overlap,0.29004757449559015,0.2902857867846163,0.22259765816382976,0.2511698371640442,0.3248181929814515,0.3485584389993218,0.2612498158601947,0.3106889231366499,15,5
snapkv,64,niah_single_1,task,avg_delta_nll,0.13377022759461263,0.10502955254767038,0.048343004728495655,0.08643748960134767,0.21023503733131207,0.2355601635980359,0.11413419244201581,0.1502199910178394,15,5
snapkv,64,niah_single_1,task,max_delta_nll,2.621250038865474,2.3098767737666392,1.1264627341891618,1.4764525499830032,3.7026574376603296,4.251835849687906,2.1107093210304435,3.157713088842997,15,5
snapkv,64,niah_single_1,task,avg_approx_kl,0.14662810658379788,0.12363240492830661,0.057644255607730316,0.07112354362754408,0.2189107860929554,0.26756656061459,0.12864059129173527,0.17166775833823875,15,5
snapkv,64,niah_single_1,task,attention_output_error_mean,0.18598303948328357,0.1850319736416471,0.15352280442275856,0.17234272597733824,0.19982588131133622,0.21414246014823018,0.17963882634045703,0.19169523879878272,15,5
snapkv,64,niah_single_1,task,oracle_overlap,0.5038715780659715,0.49954339281392157,0.46038355424336275,0.4833743635406032,0.5169894499049827,0.53615542559709,0.48776708348727926,0.5263745463930063,15,5
snapkv,64,reasoning_long_generation,task,avg_delta_nll,0.14397312275696247,0.11101455737664395,0.0015556683889651184,0.030804991240187207,0.25502977997170184,0.3367728503002935,0.03940880371255095,0.24853744180137402,15,5
snapkv,64,reasoning_long_generation,task,max_delta_nll,3.4808417490987718,1.8498849713039327,0.527413958176215,0.6942479503107801,6.199723864300836,8.038115347121634,0.930328977495938,6.288195968568755,15,5
