sample_id,cycle,layer,recall_p4,recall_p8,recall_p16,recall_p32
synthetic_niah_86,2,8,0.6545454545454545,0.6181818181818182,0.6045454545454545,0.6090909090909091
synthetic_niah_86,2,9,0.6590909090909091,0.6181818181818182,0.6136363636363636,0.6090909090909091
synthetic_niah_86,2,10,0.7045454545454546,0.6545454545454545,0.65,0.6545454545454545
synthetic_niah_86,2,11,0.6863636363636364,0.6636363636363637,0.6454545454545455,0.6272727272727273
synthetic_niah_86,2,12,0.7181818181818181,0.6954545454545454,0.6954545454545454,0.6772727272727272
synthetic_niah_86,2,13,0.7272727272727273,0.7272727272727273,0.7136363636363636,0.7045454545454546
synthetic_niah_86,2,14,0.759090909090909,0.7454545454545455,0.7181818181818181,0.7272727272727273
synthetic_niah_86,2,15,0.7136363636363636,0.6772727272727272,0.6863636363636364,0.6818181818181818
synthetic_niah_86,2,16,0.6909090909090909,0.6772727272727272,0.6681818181818182,0.6590909090909091
synthetic_niah_86,2,17,0.6181818181818182,0.6045454545454545,0.6272727272727273,0.6136363636363636
synthetic_niah_86,2,18,0.5681818181818182,0.5181818181818182,0.5454545454545454,0.4590909090909091
synthetic_niah_86,2,19,0.6181818181818182,0.55,0.5772727272727273,0.6
synthetic_niah_86,2,20,0.6272727272727273,0.5954545454545455,0.5727272727272728,0.5818181818181818
synthetic_niah_86,2,21,0.5772727272727273,0.5272727272727272,0.55,0.5590909090909091
synthetic_niah_86,2,22,0.6272727272727273,0.5909090909090909,0.5909090909090909,0.5909090909090909
synthetic_niah_86,2,23,0.65,0.5863636363636363,0.5818181818181818,0.5909090909090909
synthetic_niah_86,2,24,0.6636363636363637,0.6,0.5681818181818182,0.5909090909090909
synthetic_niah_86,2,25,0.6909090909090909,0.6,0.5954545454545455,0.6181818181818182
synthetic_niah_86,2,26,0.6409090909090909,0.5954545454545455,0.5636363636363636,0.5863636363636363
synthetic_niah_86,2,27,0.6636363636363637,0.6227272727272727,0.6181818181818182,0.6181818181818182
synthetic_niah_86,2,28,0.6818181818181818,0.6227272727272727,0.5818181818181818,0.5636363636363636
synthetic_niah_86,2,29,0.759090909090909,0.7318181818181818,0.6954545454545454,0.6136363636363636
synthetic_niah_86,2,30,0.6363636363636364,0.5863636363636363,0.5863636363636363,0.5909090909090909
synthetic_niah_86,2,31,0.6272727272727273,0.6090909090909091,0.6090909090909091,0.6090909090909091
synthetic_niah_86,2,32,0.6590909090909091,0.6227272727272727,0.5909090909090909,0.5863636363636363
synthetic_niah_86,2,33,0.6863636363636364,0.6409090909090909,0.6272727272727273,0.5954545454545455
synthetic_niah_86,2,34,0.6954545454545454,0.6545454545454545,0.6272727272727273,0.6
synthetic_niah_86,2,35,0.740909090909091,0.7045454545454546,0.6954545454545454,0.6727272727272727
synthetic_niah_86,3,0,0.7363636363636363,0.740909090909091,0.7318181818181818,0.7136363636363636
synthetic_niah_86,3,1,0.6,0.5409090909090909,0.5136363636363637,0.5
synthetic_niah_86,3,2,0.6954545454545454,0.6772727272727272,0.6545454545454545,0.6181818181818182
synthetic_niah_86,3,3,0.6590909090909091,0.6454545454545455,0.65,0.6454545454545455
synthetic_niah_86,3,4,0.6363636363636364,0.5954545454545455,0.5772727272727273,0.5909090909090909
synthetic_niah_86,3,5,0.5318181818181819,0.4863636363636364,0.4863636363636364,0.4863636363636364
synthetic_niah_86,3,6,0.6090909090909091,0.5636363636363636,0.5636363636363636,0.5636363636363636
synthetic_niah_86,3,7,0.6181818181818182,0.5727272727272728,0.5727272727272728,0.5727272727272728
synthetic_niah_86,3,8,0.6772727272727272,0.6454545454545455,0.6409090909090909,0.6272727272727273
synthetic_niah_86,3,9,0.6318181818181818,0.5909090909090909,0.5863636363636363,0.5818181818181818
synthetic_niah_86,3,10,0.7681818181818182,0.7,0.6818181818181818,0.6590909090909091
synthetic_niah_86,3,11,0.6772727272727272,0.6454545454545455,0.6181818181818182,0.6227272727272727
synthetic_niah_86,3,12,0.7272727272727273,0.6954545454545454,0.6909090909090909,0.6863636363636364
synthetic_niah_86,3,13,0.7045454545454546,0.7,0.6954545454545454,0.6818181818181818
synthetic_niah_86,3,14,0.759090909090909,0.740909090909091,0.7272727272727273,0.7227272727272728
synthetic_niah_86,3,15,0.65,0.6181818181818182,0.6181818181818182,0.6136363636363636
synthetic_niah_86,3,16,0.6681818181818182,0.6545454545454545,0.6409090909090909,0.6318181818181818
synthetic_niah_86,3,17,0.5909090909090909,0.5772727272727273,0.5772727272727273,0.5681818181818182
synthetic_niah_86,3,18,0.5727272727272728,0.5227272727272727,0.5409090909090909,0.5363636363636364
synthetic_niah_86,3,19,0.6181818181818182,0.5727272727272728,0.5909090909090909,0.5863636363636363
synthetic_niah_86,3,20,0.6363636363636364,0.5772727272727273,0.5590909090909091,0.5772727272727273
synthetic_niah_86,3,21,0.6045454545454545,0.5772727272727273,0.5772727272727273,0.5818181818181818
synthetic_niah_86,3,22,0.5818181818181818,0.5681818181818182,0.5772727272727273,0.5818181818181818
synthetic_niah_86,3,23,0.6181818181818182,0.5681818181818182,0.5409090909090909,0.5409090909090909
synthetic_niah_86,3,24,0.65,0.6318181818181818,0.6181818181818182,0.5772727272727273
synthetic_niah_86,3,25,0.6545454545454545,0.6318181818181818,0.6318181818181818,0.5818181818181818
synthetic_niah_86,3,26,0.6681818181818182,0.6636363636363637,0.6409090909090909,0.6136363636363636
synthetic_niah_86,3,27,0.6727272727272727,0.6363636363636364,0.6545454545454545,0.6363636363636364
synthetic_niah_86,3,28,0.6727272727272727,0.6318181818181818,0.6,0.6227272727272727
synthetic_niah_86,3,29,0.7136363636363636,0.6909090909090909,0.6818181818181818,0.6318181818181818
synthetic_niah_86,3,30,0.6409090909090909,0.6090909090909091,0.5909090909090909,0.5590909090909091
synthetic_niah_86,3,31,0.5454545454545454,0.5227272727272727,0.5681818181818182,0.5318181818181819
synthetic_niah_86,3,32,0.7,0.6636363636363637,0.6318181818181818,0.6272727272727273
synthetic_niah_86,3,33,0.6818181818181818,0.6409090909090909,0.6363636363636364,0.6363636363636364
synthetic_niah_86,3,34,0.6045454545454545,0.5454545454545454,0.5590909090909091,0.5772727272727273
synthetic_niah_86,3,35,0.7454545454545455,0.6954545454545454,0.7045454545454546,0.6954545454545454
synthetic_niah_86,4,0,0.7090909090909091,0.7136363636363636,0.7181818181818181,0.7045454545454546
synthetic_niah_86,4,1,0.6136363636363636,0.5727272727272728,0.5454545454545454,0.5363636363636364
synthetic_niah_86,4,2,0.6818181818181818,0.6818181818181818,0.6681818181818182,0.6454545454545455
synthetic_niah_86,4,3,0.6681818181818182,0.6227272727272727,0.6181818181818182,0.6272727272727273
synthetic_niah_86,4,4,0.6545454545454545,0.6,0.6045454545454545,0.6136363636363636
synthetic_niah_86,4,5,0.5545454545454546,0.509090909090909,0.5045454545454545,0.5045454545454545
synthetic_niah_86,4,6,0.6,0.55,0.55,0.5454545454545454
synthetic_niah_86,4,7,0.6318181818181818,0.5727272727272728,0.5727272727272728,0.5636363636363636
synthetic_niah_86,4,8,0.6818181818181818,0.6545454545454545,0.6454545454545455,0.65
synthetic_niah_86,4,9,0.5772727272727273,0.5363636363636364,0.5318181818181819,0.5272727272727272
synthetic_niah_86,4,10,0.7454545454545455,0.6818181818181818,0.65,0.6590909090909091
synthetic_niah_86,4,11,0.6454545454545455,0.5863636363636363,0.5909090909090909,0.5863636363636363
synthetic_niah_86,4,12,0.6772727272727272,0.6409090909090909,0.6409090909090909,0.6227272727272727
synthetic_niah_86,4,13,0.6818181818181818,0.6636363636363637,0.6590909090909091,0.6454545454545455
synthetic_niah_86,4,14,0.7454545454545455,0.6954545454545454,0.6681818181818182,0.6363636363636364
synthetic_niah_86,4,15,0.6363636363636364,0.6045454545454545,0.5863636363636363,0.5772727272727273
synthetic_niah_86,4,16,0.6272727272727273,0.5818181818181818,0.5909090909090909,0.5954545454545455
synthetic_niah_86,4,17,0.5863636363636363,0.5727272727272728,0.5318181818181819,0.5727272727272728
synthetic_niah_86,4,18,0.6090909090909091,0.5818181818181818,0.5636363636363636,0.5545454545454546
synthetic_niah_86,4,19,0.6772727272727272,0.6636363636363637,0.6545454545454545,0.6409090909090909
synthetic_niah_86,4,20,0.7318181818181818,0.7090909090909091,0.6772727272727272,0.6454545454545455
synthetic_niah_86,4,21,0.6863636363636364,0.6590909090909091,0.6363636363636364,0.6227272727272727
synthetic_niah_86,4,22,0.6954545454545454,0.6318181818181818,0.6272727272727273,0.6136363636363636
synthetic_niah_86,4,23,0.6863636363636364,0.6681818181818182,0.6636363636363637,0.6090909090909091
synthetic_niah_86,4,24,0.7045454545454546,0.6363636363636364,0.6454545454545455,0.5772727272727273
synthetic_niah_86,4,25,0.6954545454545454,0.6590909090909091,0.65,0.6227272727272727
synthetic_niah_86,4,26,0.7363636363636363,0.6772727272727272,0.6318181818181818,0.6
synthetic_niah_86,4,27,0.6909090909090909,0.6863636363636364,0.6681818181818182,0.6227272727272727
synthetic_niah_86,4,28,0.7363636363636363,0.7,0.6727272727272727,0.6090909090909091
synthetic_niah_86,4,29,0.75,0.75,0.7181818181818181,0.6590909090909091
synthetic_niah_86,4,30,0.6454545454545455,0.6454545454545455,0.6090909090909091,0.5863636363636363
synthetic_niah_86,4,31,0.65,0.6363636363636364,0.6454545454545455,0.6090909090909091
synthetic_niah_86,4,32,0.7363636363636363,0.7,0.6545454545454545,0.6545454545454545
synthetic_niah_86,4,33,0.7181818181818181,0.6909090909090909,0.6636363636363637,0.65
synthetic_niah_86,4,34,0.6636363636363637,0.6136363636363636,0.5954545454545455,0.5818181818181818
synthetic_niah_86,4,35,0.7818181818181819,0.7454545454545455,0.7181818181818181,0.7363636363636363
synthetic_niah_86,5,0,0.6954545454545454,0.7318181818181818,0.6818181818181818,0.6954545454545454
synthetic_niah_86,5,1,0.6136363636363636,0.5818181818181818,0.5409090909090909,0.5136363636363637
synthetic_niah_86,5,2,0.6590909090909091,0.6454545454545455,0.6318181818181818,0.6045454545454545
synthetic_niah_86,5,3,0.6318181818181818,0.6090909090909091,0.6090909090909091,0.5954545454545455
synthetic_niah_86,5,4,0.6409090909090909,0.5818181818181818,0.5772727272727273,0.5818181818181818
synthetic_niah_86,5,5,0.5363636363636364,0.4818181818181818,0.4681818181818182,0.4681818181818182
synthetic_niah_86,5,6,0.5909090909090909,0.5454545454545454,0.5318181818181819,0.5272727272727272
synthetic_niah_86,5,7,0.6363636363636364,0.5727272727272728,0.5681818181818182,0.5409090909090909
synthetic_niah_86,5,8,0.6772727272727272,0.6318181818181818,0.6181818181818182,0.6136363636363636
synthetic_niah_86,5,9,0.6227272727272727,0.5818181818181818,0.5681818181818182,0.5590909090909091
synthetic_niah_86,5,10,0.7318181818181818,0.6681818181818182,0.6409090909090909,0.6409090909090909
synthetic_niah_86,5,11,0.6772727272727272,0.6409090909090909,0.6272727272727273,0.6136363636363636
synthetic_niah_86,5,12,0.6636363636363637,0.6454545454545455,0.6363636363636364,0.5863636363636363
synthetic_niah_86,5,13,0.6772727272727272,0.6772727272727272,0.6681818181818182,0.6045454545454545
