rule,kind,split,precision,recall,f1,feature_auc,alert_rate,n_alert,mean_benefit_alerted,mean_benefit_not_alerted,benefit_lift
top_reused_one_midpoint_shift_gt_0.0371001,single,evaluation,0.6666666666666666,1.0,0.8,0.6817129629629629,0.8571428571428571,72,0.27013355990860655,0.0,0.27013355990860655
top_reused_one_midpoint_shift_gt_0.0371001,single,replication,0.7571428571428571,0.9814814814814815,0.8548387096774194,0.6246913580246913,0.8333333333333334,70,0.23621115053400057,0.0399837162775873,0.19622743425641326
query_norm_drift_gt_0.000249287,single,calibration,0.7916666666666666,1.0,0.8837209302325582,0.6309291747888239,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
query_norm_drift_gt_0.000249287,single,evaluation,0.676056338028169,1.0,0.8067226890756303,0.5700231481481481,0.8452380952380952,71,0.27393825793548837,0.0,0.27393825793548837
query_norm_drift_gt_0.000249287,single,replication,0.75,1.0,0.8571428571428571,0.6493827160493827,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
action_to_compressed_state_ratio_gt_0.00168489,single,calibration,0.6746987951807228,0.9824561403508771,0.7999999999999999,0.396361273554256,0.9880952380952381,83,0.32964665943528476,1.0,-0.6703533405647153
action_to_compressed_state_ratio_gt_0.00168489,single,evaluation,0.5569620253164557,0.9166666666666666,0.6929133858267716,0.3929398148148148,0.9404761904761905,79,0.2427527285135764,0.054430152169427225,0.18832257634414917
action_to_compressed_state_ratio_gt_0.00168489,single,replication,0.6296296296296297,0.9444444444444444,0.7555555555555556,0.49691358024691357,0.9642857142857143,81,0.20760399643392483,0.09287628470611807,0.11472771172780676
cheap_rank_disagreement_gt_0.549356,single,calibration,0.6746987951807228,0.9824561403508771,0.7999999999999999,0.48473034437946716,0.9880952380952381,83,0.34091574354897247,0.06466601856392369,0.2762497249850488
cheap_rank_disagreement_gt_0.549356,single,evaluation,0.5555555555555556,0.9375,0.6976744186046512,0.3744212962962963,0.9642857142857143,81,0.22284843051705536,0.4662978138460636,-0.24344938332900826
cheap_rank_disagreement_gt_0.549356,single,replication,0.6341463414634146,0.9629629629629629,0.7647058823529412,0.4981481481481482,0.9761904761904762,82,0.20539047007861708,0.12626700940983135,0.07912346066878573
key_query_alignment_mean_le_0.287031,single,calibration,0.7162162162162162,0.9298245614035088,0.8091603053435115,0.341130604288499,0.8809523809523809,74,0.3502467698859859,0.2442411761565681,0.10600559372941781
key_query_alignment_mean_le_0.287031,single,evaluation,0.5897435897435898,0.9583333333333334,0.7301587301587301,0.28530092592592593,0.9285714285714286,78,0.23617738340749644,0.1712967346058252,0.06488064880167124
key_query_alignment_mean_le_0.287031,single,replication,0.6216216216216216,0.8518518518518519,0.7187499999999999,0.4228395061728395,0.8809523809523809,74,0.17465007014152492,0.41704473747934195,-0.24239466733781703
"AND(compressed_sketch_l2_gt_18.2819,retained_overlap_le_0.992248)",and,calibration,0.8208955223880597,0.9649122807017544,0.8870967741935484,,0.7976190476190477,67,0.39901579100070317,0.0956832197695015,0.30333257123120166
"AND(compressed_sketch_l2_gt_18.2819,retained_overlap_le_0.992248)",and,evaluation,0.6818181818181818,0.9375,0.7894736842105263,,0.7857142857142857,66,0.27948770977271686,0.0557459704677976,0.22374173930491925
"AND(compressed_sketch_l2_gt_18.2819,retained_overlap_le_0.992248)",and,replication,0.746268656716418,0.9259259259259259,0.8264462809917356,,0.7976190476190477,67,0.21820464973091866,0.14557888431145377,0.07262576541946489
"AND(compressed_sketch_l2_gt_18.2819,recent_window_exits_gt_0.015625)",and,calibration,0.8208955223880597,0.9649122807017544,0.8870967741935484,,0.7976190476190477,67,0.39901579100070317,0.0956832197695015,0.30333257123120166
"AND(compressed_sketch_l2_gt_18.2819,recent_window_exits_gt_0.015625)",and,evaluation,0.6818181818181818,0.9375,0.7894736842105263,,0.7857142857142857,66,0.27948770977271686,0.0557459704677976,0.22374173930491925
"AND(compressed_sketch_l2_gt_18.2819,recent_window_exits_gt_0.015625)",and,replication,0.746268656716418,0.9259259259259259,0.8264462809917356,,0.7976190476190477,67,0.21820464973091866,0.14557888431145377,0.07262576541946489
