layer,task,var_log_attn,var_log_vn,var_log_pv,var_log_delta,rows
11,gov_report,2.6602061010116453,0.018382207833966328,0.020085146778361818,2.630754806958913,669600
11,niah_single_1,2.1269075105096045,0.01483300067428482,0.013541760031006059,2.2117727526605466,901920
11,reasoning_long_generation,2.6033742464520317,0.021020843822056476,0.022033345544189866,2.615551092355436,398080
12,gov_report,2.6359890737847294,0.010714925821597674,0.0116558344120774,2.5639508517208545,669600
12,niah_single_1,1.9584078478316533,0.008753244063353247,0.009025130193624935,1.8868563079731058,901920
12,reasoning_long_generation,2.536131593689694,0.009041081634626453,0.009458735376088545,2.423988774539279,398080
13,gov_report,2.8684316852787295,0.013783344257103355,0.016076950616944703,2.843753055399209,669600
13,niah_single_1,2.3626855964076663,0.011603725834662796,0.012391312155507879,2.26056826779734,901920
13,reasoning_long_generation,2.89553032330809,0.015764119506559204,0.01888811295054195,2.8979826113669884,398080
14,gov_report,2.5338317202949114,0.012791315875225891,0.014174602998614474,2.481813285452979,669600
14,niah_single_1,2.445859350629822,0.016606416828398862,0.01859972761874142,2.4248522266956276,901920
14,reasoning_long_generation,2.6691102500341874,0.015226770195878224,0.016476533062594393,2.567733083119615,398080
15,gov_report,3.1473393522606,0.013078180841386547,0.01463777004821904,3.1194925646939025,669600
15,niah_single_1,2.2712732197756225,0.016703889072227102,0.01835266445797702,2.2061029554582707,901920
15,reasoning_long_generation,3.3776598019603195,0.018905477099637757,0.020133932618988264,3.278408578345243,398080
16,gov_report,3.1790229433050046,0.014410231075988275,0.01550519745066904,3.206210322479309,669600
16,niah_single_1,2.334390163478658,0.033436921658602084,0.03585109035792565,2.542228001375289,901920
16,reasoning_long_generation,3.2332435840886604,0.016863084276838348,0.01766597640711535,3.3206597589160722,398080
17,gov_report,4.508033832737199,0.012501667155976797,0.015895653691904266,4.557662310614327,669600
17,niah_single_1,3.6090495949821477,0.028519903723305418,0.03165357183133362,3.6698881995016284,901920
17,reasoning_long_generation,4.302272332291192,0.01689266573352053,0.019373602428046647,4.245961233533416,398080
18,gov_report,4.2004839254222635,0.01667410509489893,0.018934170499720678,3.996321075548759,669600
18,niah_single_1,4.333774730839948,0.05064697319300876,0.05459492983109204,4.602498289301788,901920
18,reasoning_long_generation,3.8637423820133243,0.02509513037031423,0.027356789435930593,3.742303045003054,398080
19,gov_report,2.674334032793787,0.01003606154437126,0.011355834029715782,2.5549289575534204,669600
19,niah_single_1,3.215136835620024,0.019062358385135023,0.024940006717398332,3.3468088293020397,901920
19,reasoning_long_generation,3.399683304245542,0.009492351326590506,0.010715724258371037,3.20724569304592,398080
20,gov_report,3.380283356250137,0.0077307162498140205,0.008674209638990555,3.2602380930546007,669600
20,niah_single_1,4.539207906823522,0.017113626528191882,0.01727079996619136,4.607826817538808,901920
20,reasoning_long_generation,3.898099155517883,0.00855548018615177,0.009457607875661675,3.6342310969924663,398080
21,gov_report,3.8835240568162206,0.009366443545797886,0.009969384156720749,3.8287001084679115,669600
21,niah_single_1,5.45047976592415,0.01912212407671027,0.021470635546809422,5.699553367701087,901920
21,reasoning_long_generation,4.306220563685912,0.011239574344560353,0.012012277405195343,4.3357243811601105,398080
22,gov_report,2.39768686818458,0.00777427066267324,0.008550715982525067,2.3722633935399497,669600
22,niah_single_1,3.3754426383176783,0.013868566955825804,0.015346436809191398,3.5070987722280442,901920
22,reasoning_long_generation,3.7050316601001954,0.009635007958918468,0.009568540223365075,3.687738211040194,398080
23,gov_report,3.8505473157386993,0.013246043323593004,0.014700147504324898,3.9001392689295775,669600
23,niah_single_1,4.537624203408137,0.02517479852707789,0.027950429773231856,4.783910508743018,901920
23,reasoning_long_generation,3.9665618301527106,0.020916587574583402,0.022522253810621663,4.0879697283836585,398080
24,gov_report,3.4907590815233682,0.023340065706230786,0.027262003478122826,3.6460615280681123,669600
24,niah_single_1,4.379557349476455,0.024014737277337817,0.027028207244782707,4.418418538497854,901920
24,reasoning_long_generation,4.463458281747504,0.02584961251766962,0.02966300946058261,4.445493827309474,398080
25,gov_report,2.757689365832477,0.014678296927734901,0.016434139911713164,2.7569066058513405,669600
25,niah_single_1,4.132267913049239,0.01696287672657543,0.019686390284636143,4.314707885160503,901920
25,reasoning_long_generation,3.234142623214386,0.018059371507083956,0.01977429071856781,3.198928398418261,398080
26,gov_report,2.789860421424237,0.02872315151120481,0.030544310814145614,2.8478418838710504,669600
26,niah_single_1,4.138616687944906,0.029141834386138953,0.03197231563161498,4.191599636339167,901920
26,reasoning_long_generation,4.06869971685207,0.03565579658533616,0.03862047775650946,4.232644632239953,398080
27,gov_report,2.5495600208512035,0.020356645260609464,0.021726718281352086,2.5870211382885593,669600
27,niah_single_1,3.306050617438864,0.018757384297582228,0.021148308192183135,3.3791019797661597,901920
27,reasoning_long_generation,3.300950207056019,0.01951211785814722,0.020829585416736303,3.4746434147008207,398080
28,gov_report,3.462396399062512,0.02461177097202837,0.02517552730155363,3.478831764393919,669600
28,niah_single_1,4.079105151730704,0.023719101082748356,0.02604621363797487,4.048543233011398,901920
28,reasoning_long_generation,3.9084621190721816,0.0302262195660338,0.03190879046049519,4.080674123321497,398080
29,gov_report,2.7786346809599975,0.0936703782797959,0.10400951799303326,2.919363659438534,669600
29,niah_single_1,3.493513903994601,0.04912938098318246,0.0563862444119054,3.3060574202278126,901920
29,reasoning_long_generation,3.701271457663427,0.08324822958588166,0.09196782537966446,3.8504029528752453,398080
30,gov_report,3.374454099257145,0.030890442400313068,0.033765947869489256,3.672729837977037,669600
30,niah_single_1,9.734283584616948,0.017659649441624584,0.020908590828451167,13.14965735588321,901920
30,reasoning_long_generation,4.335697933805943,0.045648319033711277,0.05097343710897075,4.756920741524779,398080
31,gov_report,2.838726166880371,0.058928040752653475,0.06584141224273053,3.1777050602383294,669600
31,niah_single_1,2.950250427479447,0.038854507927411436,0.04491611427776118,3.0294504656645387,901920
31,reasoning_long_generation,3.154571855040499,0.0626138994121644,0.07342696822705194,3.5361368308631724,398080
32,gov_report,2.181431591370976,0.05752231126654968,0.062185431669775006,2.533435812843092,669600
32,niah_single_1,2.9937926051900074,0.03688193941120084,0.041115681942834936,3.002603237443494,901920
32,reasoning_long_generation,2.5881722588055536,0.05113471642476137,0.05553954028572989,2.8502124702516984,398080
33,gov_report,3.039965086732812,0.10493663050855288,0.10133522052545745,3.556632719319304,669600
33,niah_single_1,3.529203956517706,0.061734886053447915,0.06262651378889258,3.669395357972187,901920
33,reasoning_long_generation,3.6716209792801564,0.09025754666363381,0.09130311198782352,4.097111834379064,398080
34,gov_report,2.448323299332982,0.033524859988206285,0.037065944808074736,2.636243047879279,669600
34,niah_single_1,3.611231354089521,0.02456449883649469,0.026929849116767407,3.5455569198565606,901920
34,reasoning_long_generation,2.360863004890659,0.02267607824989265,0.02533570215445456,2.4474582866972616,398080
35,gov_report,1.0233579696309447,0.02672222560144546,0.033329883161988934,1.0746715311047124,669600
35,niah_single_1,1.4884488418198556,0.016756326196913578,0.01971072300713036,1.4906780542061302,901920
35,reasoning_long_generation,1.4479712148614048,0.03105380062808583,0.0378206387975782,1.4262181260705653,398080
