scope,n_events,staleness_mean,staleness_median,staleness_p90,selector_mean,selector_median,selector_p90,frac_staleness_positive,frac_staleness_exceeds_selector,frac_stale_worse_than_worst,split,horizon,task
p24:attention_mean_w1_shared,24.0,0.58176458936736,0.047317593583670714,1.7384320145465604,0.0900174329282611,7.422581467153577e-05,0.23302180637813297,0.875,0.7916666666666666,0.875,by_horizon,4.0,
p24:attention_mean_w1_shared,24.0,0.4972847882368859,0.0683308860263736,1.525581518698345,0.08876468159054156,0.0008132744862310304,0.3098852169675409,0.8333333333333334,0.7916666666666666,0.8333333333333334,by_horizon,8.0,
p24:attention_mean_w1_shared,24.0,0.2779429360956694,0.09205853141318698,1.2876019261305274,0.11523293575448468,0.002916352751610507,0.39768231356141664,0.75,0.7083333333333334,0.7083333333333334,by_horizon,16.0,
p24:attention_mean_w1_shared,48.0,0.2738932630845114,0.08821409364463761,0.9596324178302899,0.11739426437491679,0.002110076051252463,0.43299992557191047,0.7916666666666666,0.75,0.7708333333333334,by_task,,gov_report
p24:attention_mean_w1_shared,48.0,0.594045598947177,0.03007841579074011,2.113235242017749,0.04013057941580019,0.0,0.04857613750500607,0.8958333333333334,0.8333333333333334,0.8958333333333334,by_task,,niah_single_1
p24:ALL,192.0,0.42479423945481926,0.0464767599478364,1.4695363699824904,0.04363059985476231,8.28868849112041e-08,0.04809270573987306,0.859375,0.8333333333333334,0.8489583333333334,pooled,,
p24:ALL,48.0,0.3011747443752058,0.02287885989062488,0.689703489048407,0.01119845018981458,8.28868849112041e-08,0.002795167453587059,0.9583333333333334,0.9375,0.9583333333333334,by_horizon,1.0,
p24:ALL,48.0,0.5607653407164483,0.05964439773666186,2.000930643462255,0.046545000821071714,1.1916697530978126e-06,0.04667566528068719,0.875,0.8333333333333334,0.8541666666666666,by_horizon,4.0,
p24:ALL,48.0,0.5266836098614643,0.08996329238289036,1.7229713660827657,0.04705038875043088,1.9704800942932366e-05,0.09951458519908005,0.8541666666666666,0.8333333333333334,0.8541666666666666,by_horizon,8.0,
p24:ALL,48.0,0.31055326286615875,0.10749591914353118,1.2857869356657048,0.06972855965773204,4.896656131592181e-05,0.21034034931290102,0.75,0.7291666666666666,0.7291666666666666,by_horizon,16.0,
p24:ALL,96.0,0.3325585459745086,0.09444628638448194,1.1195265343878873,0.0634847477716587,2.99304062423289e-07,0.12845363161525825,0.8125,0.7916666666666666,0.7916666666666666,by_task,,gov_report
p24:ALL,96.0,0.51702993293513,0.034443736216417165,1.9580583322482994,0.02377645193786591,8.28868849112041e-08,0.013524112234463814,0.90625,0.875,0.90625,by_task,,niah_single_1
