sample_id,cycle,layer,jaccard_attn_delta,jaccard_attn_apv,recall_future_attn,recall_future_delta,recall_future_apv
gov_report:86,0,32,0.8636363636363636,0.8636363636363636,0.7227272727272728,0.7090909090909091,0.7090909090909091
gov_report:86,0,33,0.8590909090909091,0.8636363636363636,0.7090909090909091,0.7045454545454546,0.7045454545454546
gov_report:86,0,34,0.8454545454545455,0.8454545454545455,0.7045454545454546,0.7090909090909091,0.7090909090909091
gov_report:86,0,35,0.8590909090909091,0.8681818181818182,0.6909090909090909,0.6681818181818182,0.6636363636363637
gov_report:86,1,0,0.6863636363636364,0.8454545454545455,0.75,0.6363636363636364,0.7045454545454546
gov_report:86,1,1,0.5636363636363636,0.6318181818181818,0.7909090909090909,0.5454545454545454,0.6090909090909091
gov_report:86,1,2,0.8045454545454546,0.8045454545454546,0.7136363636363636,0.6454545454545455,0.6409090909090909
gov_report:86,1,3,0.7772727272727272,0.8136363636363636,0.6227272727272727,0.6136363636363636,0.6136363636363636
gov_report:86,1,4,0.8318181818181818,0.8227272727272728,0.6181818181818182,0.65,0.6363636363636364
gov_report:86,1,5,0.9090909090909091,0.9,0.5954545454545455,0.5727272727272728,0.5681818181818182
gov_report:86,1,6,0.6863636363636364,0.6772727272727272,0.7318181818181818,0.6818181818181818,0.6727272727272727
gov_report:86,1,7,0.8863636363636364,0.8818181818181818,0.6590909090909091,0.6363636363636364,0.6363636363636364
gov_report:86,1,8,0.8818181818181818,0.8727272727272727,0.6363636363636364,0.6272727272727273,0.6272727272727273
gov_report:86,1,9,0.8727272727272727,0.8727272727272727,0.6090909090909091,0.6045454545454545,0.6181818181818182
gov_report:86,1,10,0.9045454545454545,0.9045454545454545,0.6590909090909091,0.6227272727272727,0.6272727272727273
gov_report:86,1,11,0.9272727272727272,0.9318181818181818,0.7772727272727272,0.75,0.7454545454545455
gov_report:86,1,12,0.9318181818181818,0.9363636363636364,0.7954545454545454,0.7909090909090909,0.7909090909090909
gov_report:86,1,13,0.9454545454545454,0.9409090909090909,0.7772727272727272,0.7681818181818182,0.7681818181818182
gov_report:86,1,14,0.9318181818181818,0.9318181818181818,0.759090909090909,0.75,0.75
gov_report:86,1,15,0.9636363636363636,0.9636363636363636,0.7954545454545454,0.8,0.7863636363636364
gov_report:86,1,16,0.9681818181818181,0.9636363636363636,0.8181818181818182,0.8090909090909091,0.8045454545454546
gov_report:86,1,17,0.95,0.9409090909090909,0.7818181818181819,0.7681818181818182,0.7727272727272727
gov_report:86,1,18,0.9545454545454546,0.9454545454545454,0.740909090909091,0.7363636363636363,0.7318181818181818
gov_report:86,1,19,0.9590909090909091,0.9590909090909091,0.7636363636363637,0.7545454545454545,0.7545454545454545
gov_report:86,1,20,0.9363636363636364,0.9363636363636364,0.7227272727272728,0.7,0.7045454545454546
gov_report:86,1,21,0.9545454545454546,0.95,0.7681818181818182,0.7772727272727272,0.7863636363636364
gov_report:86,1,22,0.9545454545454546,0.9545454545454546,0.7818181818181819,0.7818181818181819,0.7727272727272727
gov_report:86,1,23,0.9363636363636364,0.9318181818181818,0.8545454545454545,0.8681818181818182,0.8727272727272727
gov_report:86,1,24,0.9136363636363637,0.9181818181818182,0.8454545454545455,0.8181818181818182,0.8181818181818182
gov_report:86,1,25,0.9045454545454545,0.9045454545454545,0.8318181818181818,0.8181818181818182,0.8181818181818182
gov_report:86,1,26,0.9409090909090909,0.9409090909090909,0.8090909090909091,0.7863636363636364,0.7863636363636364
gov_report:86,1,27,0.9136363636363637,0.9090909090909091,0.8090909090909091,0.7909090909090909,0.7909090909090909
gov_report:86,1,28,0.9409090909090909,0.9363636363636364,0.8045454545454546,0.8045454545454546,0.8045454545454546
gov_report:86,1,29,0.8863636363636364,0.8818181818181818,0.8090909090909091,0.7818181818181819,0.7818181818181819
gov_report:86,1,30,0.9181818181818182,0.9090909090909091,0.7818181818181819,0.759090909090909,0.7545454545454545
gov_report:86,1,31,0.9,0.9,0.7545454545454545,0.7181818181818181,0.7227272727272728
gov_report:86,1,32,0.85,0.85,0.759090909090909,0.740909090909091,0.740909090909091
gov_report:86,1,33,0.8681818181818182,0.8681818181818182,0.7636363636363637,0.7318181818181818,0.7318181818181818
gov_report:86,1,34,0.8545454545454545,0.8590909090909091,0.7545454545454545,0.7136363636363636,0.7181818181818181
gov_report:86,1,35,0.8818181818181818,0.8727272727272727,0.8090909090909091,0.7363636363636363,0.7227272727272728
gov_report:86,2,0,0.8227272727272728,0.8863636363636364,0.7045454545454546,0.55,0.6136363636363636
gov_report:86,2,1,0.7272727272727273,0.5909090909090909,0.7954545454545454,0.5818181818181818,0.45454545454545453
gov_report:86,2,2,0.8272727272727273,0.8181818181818182,0.7636363636363637,0.65,0.6363636363636364
gov_report:86,2,3,0.8818181818181818,0.8318181818181818,0.7727272727272727,0.7318181818181818,0.7
gov_report:86,2,4,0.8181818181818182,0.7909090909090909,0.7681818181818182,0.7272727272727273,0.7181818181818181
gov_report:86,2,5,0.8590909090909091,0.8227272727272728,0.6909090909090909,0.6318181818181818,0.6045454545454545
gov_report:86,2,6,0.7,0.6909090909090909,0.7909090909090909,0.7090909090909091,0.7
gov_report:86,2,7,0.9045454545454545,0.8954545454545455,0.7,0.6954545454545454,0.6863636363636364
gov_report:86,2,8,0.9181818181818182,0.9136363636363637,0.7636363636363637,0.7727272727272727,0.7636363636363637
gov_report:86,2,9,0.9181818181818182,0.9136363636363637,0.8181818181818182,0.7818181818181819,0.7772727272727272
gov_report:86,2,10,0.8909090909090909,0.8863636363636364,0.7954545454545454,0.759090909090909,0.759090909090909
gov_report:86,2,11,0.9272727272727272,0.9272727272727272,0.8045454545454546,0.7727272727272727,0.7772727272727272
gov_report:86,2,12,0.9409090909090909,0.9454545454545454,0.8227272727272728,0.8363636363636363,0.8318181818181818
gov_report:86,2,13,0.95,0.95,0.8090909090909091,0.8045454545454546,0.8090909090909091
gov_report:86,2,14,0.9363636363636364,0.9318181818181818,0.8045454545454546,0.7954545454545454,0.7909090909090909
gov_report:86,2,15,0.9409090909090909,0.9409090909090909,0.7545454545454545,0.7636363636363637,0.7636363636363637
gov_report:86,2,16,0.9636363636363636,0.9590909090909091,0.8136363636363636,0.8227272727272728,0.8136363636363636
gov_report:86,2,17,0.9409090909090909,0.9409090909090909,0.7272727272727273,0.7181818181818181,0.7227272727272728
gov_report:86,2,18,0.95,0.95,0.7136363636363636,0.7090909090909091,0.7090909090909091
gov_report:86,2,19,0.95,0.9454545454545454,0.7681818181818182,0.7681818181818182,0.7545454545454545
gov_report:86,2,20,0.9636363636363636,0.9681818181818181,0.6772727272727272,0.6636363636363637,0.6681818181818182
gov_report:86,2,21,0.9454545454545454,0.9454545454545454,0.7772727272727272,0.7818181818181819,0.7727272727272727
gov_report:86,2,22,0.9454545454545454,0.9454545454545454,0.7227272727272728,0.7227272727272728,0.7181818181818181
gov_report:86,2,23,0.9363636363636364,0.9363636363636364,0.7181818181818181,0.7454545454545455,0.75
gov_report:86,2,24,0.9363636363636364,0.9409090909090909,0.6909090909090909,0.7045454545454546,0.7
gov_report:86,2,25,0.8909090909090909,0.8909090909090909,0.6181818181818182,0.6636363636363637,0.6681818181818182
gov_report:86,2,26,0.9272727272727272,0.9227272727272727,0.5409090909090909,0.5409090909090909,0.5363636363636364
gov_report:86,2,27,0.9318181818181818,0.9318181818181818,0.5409090909090909,0.5636363636363636,0.5590909090909091
gov_report:86,2,28,0.9227272727272727,0.9272727272727272,0.5863636363636363,0.5863636363636363,0.5818181818181818
gov_report:86,2,29,0.8272727272727273,0.8272727272727273,0.4954545454545455,0.55,0.55
gov_report:86,2,30,0.8909090909090909,0.8863636363636364,0.5227272727272727,0.55,0.55
gov_report:86,2,31,0.8863636363636364,0.8863636363636364,0.5863636363636363,0.5954545454545455,0.5954545454545455
gov_report:86,2,32,0.8227272727272728,0.8227272727272728,0.4818181818181818,0.5181818181818182,0.5181818181818182
gov_report:86,2,33,0.8,0.8045454545454546,0.4636363636363636,0.5409090909090909,0.5409090909090909
