rule,n_folds,threshold_median,threshold_min,threshold_max,auc_mean,auc_min,precision_mean,recall_mean,alert_rate_mean,benefit_alerted_mean,benefit_nonalerted_mean,lift_positive_folds,lift_fold_frac
rankprod:churn_jaccard_mean*tv_x_churn,4,0.4714393788704566,0.3235732353370198,0.5751792013101538,0.6946886567953463,0.5163934426229508,0.0,0.0,0.1640625,-0.027867701521663363,0.00027781391080855365,0,0.0
rankprod:stale_action_l1_lag4*tv_x_churn,4,0.4769425516917293,0.32713008106203006,0.581650855654762,0.6940055966860568,0.5150273224043715,0.0,0.0,0.166015625,-0.027569723245247053,0.0002747479834192189,0,0.0
rankprod:stale_action_l1_lag16*tv_x_churn,4,0.4769425516917293,0.32713008106203006,0.581650855654762,0.6940055966860568,0.5150273224043715,0.0,0.0,0.166015625,-0.027569723245247053,0.0002747479834192189,0,0.0
rankprod:score_tv_mean*churn_jaccard_mean,4,0.4735069983158956,0.29100708119505114,0.5732971151423534,0.6926394764674775,0.5122950819672131,0.0,0.0,0.169921875,-0.03495788543624501,0.00014729421109884637,0,0.0
rankprod:score_tv_mean*stale_action_l1_lag16,4,0.47880174067982456,0.2946481437969925,0.5794893973214287,0.6919564163581879,0.5109289617486339,0.0,0.0,0.169921875,-0.03495788543624501,0.00014729421109884637,0,0.0
rankprod:score_tv_mean*stale_action_l1_lag4,4,0.47880174067982456,0.2946481437969925,0.5794893973214287,0.6919564163581879,0.5109289617486339,0.0,0.0,0.169921875,-0.03495788543624501,0.00014729421109884637,0,0.0
rankprod:churn_jaccard_min*tv_x_churn,4,0.4714393788704566,0.3235732353370198,0.5751792013101538,0.6905902961396087,0.5081967213114754,0.0,0.0,0.1640625,-0.027867701521663363,0.00027781391080855365,0,0.0
rankprod:score_tv_mean*churn_jaccard_min,4,0.4735069983158956,0.29100708119505114,0.5732971151423534,0.689907236030319,0.5068306010928961,0.0,0.0,0.169921875,-0.03495788543624501,0.00014729421109884637,0,0.0
and:score_tv_mean&stale_action_l1_lag16,4,0.5625,0.4226566416040101,0.59765625,0.6820575533227569,0.5334699453551912,0.015503875968992248,0.16666666666666666,0.30078125,-0.012044869599695985,0.000804205823325256,0,0.0
and:score_tv_mean&stale_action_l1_lag4,4,0.5625,0.4226566416040101,0.59765625,0.6820575533227569,0.5334699453551912,0.015503875968992248,0.16666666666666666,0.30078125,-0.012044869599695985,0.000804205823325256,0,0.0
and:score_tv_mean&churn_jaccard_mean,4,0.5476190476190477,0.4226566416040101,0.5912698412698413,0.680008372994888,0.5293715846994536,0.014814814814814815,0.16666666666666666,0.306640625,-0.011856240012539822,0.000860883310659406,0,0.0
rankprod:score_tv_mean*churn_x_1minus_margin,4,0.7177161156860408,0.3874302157510178,0.8582545981355512,0.6792481931958398,0.5601092896174863,0.022727272727272728,0.08333333333333333,0.099609375,-0.01285361072930634,-0.0018194708301519477,2,0.5
rankprod:churn_x_1minus_margin*tv_x_churn,4,0.7230582076885339,0.44882387847926686,0.8582545981355512,0.6748909307244844,0.5614754098360656,0.022727272727272728,0.08333333333333333,0.091796875,-0.013161129781896767,-0.0016949838225229523,1,0.25
and:score_tv_mean&tv_x_churn,4,0.6666666666666667,0.5793650793650794,0.9854761904761906,0.672929887184911,0.4849726775956284,0.037541528239202655,0.6666666666666666,0.251953125,-0.029049788441953453,-0.0015577968112375502,1,0.25
single:tv_x_churn,4,0.004351592935314614,0.004256896967349523,0.009565176595175416,0.6725718314824608,0.4822404371584699,0.014285714285714285,0.25,0.35546875,-0.01028052098819353,0.0011879189280089898,0,0.0
and:score_tv_mean&churn_jaccard_min,4,0.5476190476190477,0.4226566416040101,0.5912698412698413,0.6704455314648334,0.5102459016393442,0.014814814814814815,0.16666666666666666,0.306640625,-0.011856240012539822,0.000860883310659406,0,0.0
rankprod:score_tv_mean*tv_x_churn,4,0.44024833910172256,0.35379162191192265,0.5211628608558433,0.6661323373876256,0.47540983606557374,0.03489702517162471,0.6666666666666666,0.3359375,-0.0076958518090021345,-0.0008046957544773933,1,0.25
and:stale_action_l1_lag4&tv_x_churn,4,0.5625,0.47619047619047616,0.59765625,0.6658624184734708,0.5252732240437159,0.014814814814814815,0.16666666666666666,0.30078125,-0.011748429271916551,0.0007046262157337469,0,0.0
and:stale_action_l1_lag16&tv_x_churn,4,0.5625,0.47619047619047616,0.59765625,0.6658624184734708,0.5252732240437159,0.014814814814814815,0.16666666666666666,0.30078125,-0.011748429271916551,0.0007046262157337469,0,0.0
and:score_tv_mean&churn_x_1minus_margin,4,0.6539014202172095,0.6111111111111112,0.8015873015873016,0.6618026176626124,0.5635245901639344,0.025,0.08333333333333333,0.095703125,-0.013229968099724003,-0.002328570223684574,2,0.5
and:churn_jaccard_mean&tv_x_churn,4,0.5555555555555556,0.47619047619047616,0.5912698412698413,0.6617971091133439,0.5211748633879781,0.014492753623188406,0.16666666666666666,0.3046875,-0.01157335237270408,0.0007077336445618612,0,0.0
and:churn_jaccard_min&tv_x_churn,4,0.5555555555555556,0.47619047619047616,0.5912698412698413,0.6539419178565133,0.505464480874317,0.014492753623188406,0.16666666666666666,0.3046875,-0.01157335237270408,0.0007077336445618612,0,0.0
and:churn_x_1minus_margin&tv_x_churn,4,0.7521345029239768,0.5855806182121969,0.8015873015873016,0.6536086506257712,0.5683060109289617,0.025,0.08333333333333333,0.091796875,-0.015835528170260883,-0.0016847980558141404,1,0.25
single:score_tv_mean,4,0.20911233739079832,0.19556639373577284,0.4073719622696372,0.6431396527410541,0.4576502732240437,0.014705882352941176,0.25,0.3125,-0.025483537775396616,0.00011025147855590715,1,0.25
and:stale_action_l1_lag16&churn_x_1minus_margin,4,0.5625,0.5625,0.59765625,0.608176890534109,0.5524193548387096,0.044642857142857144,0.4166666666666667,0.21875,0.00011041789173734783,-0.004275058013487669,2,0.5
and:stale_action_l1_lag4&churn_x_1minus_margin,4,0.5625,0.5625,0.59765625,0.608176890534109,0.5524193548387096,0.044642857142857144,0.4166666666666667,0.21875,0.00011041789173734783,-0.004275058013487669,2,0.5
and:churn_jaccard_mean&churn_x_1minus_margin,4,0.5674603174603174,0.5555555555555556,0.5793650793650794,0.6058027057994007,0.5504032258064516,0.043859649122807015,0.4166666666666667,0.22265625,-0.0036951107205876574,-0.002795030896371684,1,0.25
and:churn_jaccard_min&churn_x_1minus_margin,4,0.5674603174603174,0.5555555555555556,0.5793650793650794,0.6051196456901111,0.5504032258064516,0.043859649122807015,0.4166666666666667,0.22265625,-0.0036951107205876574,-0.002795030896371684,1,0.25
rankprod:churn_jaccard_mean*churn_x_1minus_margin,4,0.4662107069923487,0.3402769489862222,0.5429178767023378,0.5818625506786532,0.5544354838709677,0.03686125613035912,0.5,0.1953125,-0.0008407369395397926,-0.002612913252178769,2,0.5
rankprod:stale_action_l1_lag16*churn_x_1minus_margin,4,0.4715844053493108,0.3441422893170426,0.5494337406015037,0.5818625506786532,0.5544354838709677,0.03686125613035912,0.5,0.1953125,-0.0008407369395397926,-0.002612913252178769,2,0.5
single:churn_x_1minus_margin,4,0.02150393107138287,0.02150388501212153,0.021504274398880436,0.5818625506786532,0.5544354838709677,0.0,0.0,0.15625,-0.0010379967381711603,-0.003313003768630043,3,0.75
rankprod:churn_jaccard_min*churn_x_1minus_margin,4,0.4662107069923487,0.3402769489862222,0.5429178767023378,0.5818625506786532,0.5544354838709677,0.03686125613035912,0.5,0.1953125,-0.0008407369395397926,-0.002612913252178769,2,0.5
rankprod:stale_action_l1_lag4*churn_x_1minus_margin,4,0.4715844053493108,0.3441422893170426,0.5494337406015037,0.5818625506786532,0.5544354838709677,0.03686125613035912,0.5,0.1953125,-0.0008407369395397926,-0.002612913252178769,2,0.5
rankprod:stale_action_l1_lag4*stale_action_l1_lag16,4,0.3571929931640625,0.34332275390625,0.3571929931640625,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
rankprod:stale_action_l1_lag4*churn_jaccard_min,4,0.3533761160714286,0.3394717261904762,0.3533761160714286,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
rankprod:stale_action_l1_lag16*churn_jaccard_min,4,0.3533761160714286,0.3394717261904762,0.3533761160714286,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
rankprod:stale_action_l1_lag4*churn_jaccard_mean,4,0.3533761160714286,0.3394717261904762,0.3533761160714286,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
rankprod:stale_action_l1_lag16*churn_jaccard_mean,4,0.3533761160714286,0.3394717261904762,0.3533761160714286,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
and:stale_action_l1_lag16&churn_jaccard_mean,4,0.5912698412698413,0.5793650793650794,0.5912698412698413,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
and:stale_action_l1_lag4&churn_jaccard_mean,4,0.5912698412698413,0.5793650793650794,0.5912698412698413,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
and:stale_action_l1_lag4&stale_action_l1_lag16,4,0.59765625,0.5859375,0.59765625,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
rankprod:churn_jaccard_mean*churn_jaccard_min,4,0.3496000251952633,0.3356638951877048,0.3496000251952633,0.5411708972325049,0.5218579234972678,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
and:churn_jaccard_mean&churn_jaccard_min,4,0.5912698412698413,0.5793650793650794,0.5912698412698413,0.5401463070685705,0.519808743169399,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
and:stale_action_l1_lag16&churn_jaccard_min,4,0.5912698412698413,0.5793650793650794,0.5912698412698413,0.5394632469592808,0.5184426229508197,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
and:stale_action_l1_lag4&churn_jaccard_min,4,0.5912698412698413,0.5793650793650794,0.5912698412698413,0.5394632469592808,0.5184426229508197,0.04807692307692308,0.4166666666666667,0.203125,0.0006741502669483603,-0.002156713361281704,0,0.0
single:churn_jaccard_mean,4,,,,,,,,,,,0,0.0
single:churn_jaccard_min,4,,,,,,,,,,,0,0.0
single:stale_action_l1_lag16,4,,,,,,,,,,,0,0.0
single:stale_action_l1_lag4,4,,,,,,,,,,,0,0.0
