sample_id,task,cycle,generated_token_id,pool_scoring_forward_time_s,exact_kl,js,full_nll,perturbed_nll,delta_nll,logit_l2_sq,fisher_quadratic
gov_report:86,gov_report,47,11871,0.11942449999992277,0.00016265420708805323,3.6136741982772946e-05,0.00112160702701658,0.0006332775810733438,-0.0004883294459432364,13827.4189453125,0.0001989018201129511
synthetic_niah_87,niah_single_1,7,271,0.14056079199997384,0.00015258316125255078,3.78784752683714e-05,0.0024639980401843786,0.0022966694086790085,-0.00016732863150537014,25660.982421875,0.0001549581647850573
gov_report:86,gov_report,48,311,0.1199968749999698,0.00014845532132312655,3.308985469629988e-05,0.6904374957084656,0.6912054419517517,0.0007679462432861328,16491.560546875,0.00018189904221799225
synthetic_niah_88,niah_single_1,8,785,0.13024358299998084,0.00014596448454540223,3.543441926012747e-05,0.0034645316191017628,0.002663637977093458,-0.0008008936420083046,11169.3076171875,0.00015422023716382682
gov_report:90,gov_report,31,4512,0.12423462499987181,0.00014462032413575798,3.727330476976931e-05,0.013312620110809803,0.015195794403553009,0.001883174292743206,1725.522705078125,0.0001358448207611218
synthetic_niah_89,niah_single_1,31,358,0.13617504199999075,0.00013957868213765323,3.406473479117267e-05,0.01595539227128029,0.013938231393694878,-0.002017160877585411,7504.9619140625,0.00014588276098947972
synthetic_niah_90,niah_single_1,13,281,0.13437679100002242,0.0001360504684271291,3.0905513995094225e-05,0.0011628062929958105,0.000687958556227386,-0.0004748477367684245,23820.546875,0.0001612345949979499
gov_report:87,gov_report,45,3281,0.12521170799993797,0.00012989886454306543,3.2694428227841854e-05,0.022167284041643143,0.024468567222356796,0.0023012831807136536,10613.0810546875,0.0001282840530620888
synthetic_niah_86,niah_single_1,27,24523,0.12706912500000556,0.00012874799722339958,2.855530328815803e-05,0.0008013612823560834,0.00043442347669042647,-0.0003669378056656569,30049.90625,0.000158116381498985
gov_report:89,gov_report,12,56177,0.12176675000000614,0.00012865386088378727,2.8997928893659264e-05,0.0009946642676368356,0.0005722792120650411,-0.0004223850555717945,3416.8173828125,0.00015403208089992404
