strategy,lag,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
attention_weighted_v_ridge_leverage,61,future_new_token_residual,9.179257745017821e-07,8.978394085090713e-07,9.372416961639374e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,62,future_new_token_residual,9.155880320577126e-07,9.007708520414326e-07,9.328642249784025e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,63,future_new_token_residual,9.104328171360976e-07,8.964326170257664e-07,9.347563718620222e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,64,future_new_token_residual,9.171361341486772e-07,9.036939779605291e-07,9.458914576043753e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,65,future_new_token_residual,9.180841971101472e-07,8.946520111408063e-07,9.349758158805344e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,66,future_new_token_residual,9.162626213310432e-07,8.962112474364403e-07,9.324965766666082e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,67,future_new_token_residual,9.166216159428586e-07,8.91280465964428e-07,9.339374855699134e-07,15,270,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,68,future_new_token_residual,9.298400129864604e-07,9.105685876420466e-07,9.448971667325168e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,69,future_new_token_residual,9.16811956130914e-07,8.941096325543185e-07,9.400394475278517e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,70,future_new_token_residual,9.122755102453084e-07,8.921271380302187e-07,9.37600816541817e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,71,future_new_token_residual,9.254679582682002e-07,9.067214101321497e-07,9.427354825675138e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,72,future_new_token_residual,9.181499933674786e-07,9.069069335509994e-07,9.435850643058075e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,73,future_new_token_residual,9.194052381644724e-07,9.007198684685136e-07,9.270238479075488e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,74,future_new_token_residual,9.136187486546987e-07,8.843990144669078e-07,9.400974079198932e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,75,future_new_token_residual,9.28982984760296e-07,8.987484022782155e-07,9.473445743424236e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,76,future_new_token_residual,9.244373870842537e-07,8.941048101007709e-07,9.490192461214519e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,77,future_new_token_residual,9.121937409872771e-07,8.878214998730982e-07,9.280273751244294e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,78,future_new_token_residual,9.083421730338159e-07,8.920335972106841e-07,9.307001391789527e-07,15,264,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,79,future_new_token_residual,9.093821802252933e-07,8.848604693412199e-07,9.382947041558509e-07,15,258,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,80,future_new_token_residual,9.117095771671302e-07,8.93266928869707e-07,9.282975952373818e-07,15,258,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,81,future_new_token_residual,9.13411810188336e-07,9.000269756143098e-07,9.393903646071067e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,82,future_new_token_residual,9.041324346981128e-07,8.887838873761211e-07,9.276256321300024e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,83,future_new_token_residual,9.292576521602314e-07,9.146451702690683e-07,9.512757621621404e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,84,future_new_token_residual,9.197113399750378e-07,8.964540967326684e-07,9.456434725052532e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,85,future_new_token_residual,9.083623808692209e-07,8.809106759599672e-07,9.335457491488341e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,86,future_new_token_residual,9.304119146236189e-07,9.138382779383392e-07,9.561048841533193e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,87,future_new_token_residual,9.207049629367248e-07,8.940197062656807e-07,9.487447719891406e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,88,future_new_token_residual,9.325606526999763e-07,8.967393227976572e-07,9.515126180303923e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,89,future_new_token_residual,9.128043814143894e-07,8.881138334970728e-07,9.417956334800692e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,90,future_new_token_residual,9.219033643148578e-07,8.990616279902497e-07,9.460871410738037e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,91,future_new_token_residual,9.17701640901214e-07,8.993937129275764e-07,9.449472599953879e-07,15,180,95% sample-cluster bootstrap CI
