sample_id,sample_cluster,task,future_step,delta_nll,record_type,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,10,0.04575938571006214,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,10,-0.01938635824466554,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,10,0.056868872572518825,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,10,0.0008740889709623426,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,10,0.5010447648593086,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,11,-0.03383048540737832,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,11,0.012962093591368054,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,11,-0.015844367885249493,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,11,-0.013030958796363734,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,11,-0.0004243336484286431,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,11,-0.0069878772396603965,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,11,0.00033221192391745075,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,11,0.10203521331138769,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,11,0.24633152706231223,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,11,-0.0008344007766017588,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,11,-0.049561734117779345,sample_trajectory,,,,,,,
