stratum_type,stratum_json,method,jvp_cost,row_count,median_cosine,median_relative_l2,median_fisher_relative_error,row_cosine_pass_fraction,large_action_row_count,large_action_median_cosine,large_action_median_relative_l2,all_finite,large_action_threshold,task,sample_id,layer,history_id
sequence,"{""sample_id"": ""gov_report:86"", ""task"": ""gov_report""}",midpoint_k4,4,36,0.9999999276569489,0.000366976055427748,0.00029436259319193703,1.0,12,0.999997558036698,0.0016972625587334093,True,8.019732342170407,gov_report,gov_report:86,,
sequence,"{""sample_id"": ""gov_report:86"", ""task"": ""gov_report""}",midpoint_k8,8,36,0.999999958687178,0.00028478272846472384,0.00023554681964298586,1.0,12,0.9999998540879326,0.0003973693073709052,True,8.019732342170407,gov_report,gov_report:86,,
sequence,"{""sample_id"": ""gov_report:86"", ""task"": ""gov_report""}",single_jvp,1,36,0.9967695486053529,0.08036980186261648,0.06290991055248848,0.8333333333333334,12,0.9598639548687369,0.2589090106413175,True,8.019732342170407,gov_report,gov_report:86,,
sequence,"{""sample_id"": ""gov_report:86"", ""task"": ""gov_report""}",trapezoidal,2,36,0.999996389564049,0.0031412852501138825,0.004153486118145451,0.9166666666666666,12,0.9973956550451613,0.0554407818079418,True,8.019732342170407,gov_report,gov_report:86,,
sequence,"{""sample_id"": ""gov_report:87"", ""task"": ""gov_report""}",midpoint,1,36,0.9999973398783701,0.0027662327959731524,0.003156429393570248,1.0,9,0.9999969451097149,0.0033552004334111117,True,8.019732342170407,gov_report,gov_report:87,,
sequence,"{""sample_id"": ""gov_report:87"", ""task"": ""gov_report""}",midpoint_k2,2,36,0.9999997336401282,0.0007748094116151491,0.0008971162110957671,1.0,9,0.9999998345095537,0.0008255052762081639,True,8.019732342170407,gov_report,gov_report:87,,
sequence,"{""sample_id"": ""gov_report:87"", ""task"": ""gov_report""}",midpoint_k4,4,36,0.9999999353825686,0.00035320189496742556,0.0002562269763388293,1.0,9,0.9999999902745349,0.00019735717238743882,True,8.019732342170407,gov_report,gov_report:87,,
sequence,"{""sample_id"": ""gov_report:87"", ""task"": ""gov_report""}",midpoint_k8,8,36,0.9999999876580286,0.00015956709100033525,0.00020367556331289156,1.0,9,0.9999999993262104,4.454666885234455e-05,True,8.019732342170407,gov_report,gov_report:87,,
sequence,"{""sample_id"": ""gov_report:87"", ""task"": ""gov_report""}",single_jvp,1,36,0.993535457072354,0.12392793386046605,0.12730630143998248,0.6388888888888888,9,0.9825341731803832,0.18775988174030145,True,8.019732342170407,gov_report,gov_report:87,,
sequence,"{""sample_id"": ""gov_report:87"", ""task"": ""gov_report""}",trapezoidal,2,36,0.9999898380864916,0.005299186537778992,0.005206052885588883,0.9166666666666666,9,0.9999884879900617,0.006704094143284329,True,8.019732342170407,gov_report,gov_report:87,,
sequence,"{""sample_id"": ""synthetic_niah_86"", ""task"": ""niah_single_1""}",midpoint,1,36,0.9999994340687264,0.0013140989792911006,0.0014785227382265347,1.0,3,0.999998207786033,0.002196043058592375,True,8.019732342170407,niah_single_1,synthetic_niah_86,,
sequence,"{""sample_id"": ""synthetic_niah_86"", ""task"": ""niah_single_1""}",midpoint_k2,2,36,0.9999997949060565,0.0006887949162818585,0.0005893656529468952,1.0,3,0.9999999003743731,0.0005097865281349711,True,8.019732342170407,niah_single_1,synthetic_niah_86,,
sequence,"{""sample_id"": ""synthetic_niah_86"", ""task"": ""niah_single_1""}",midpoint_k4,4,36,0.9999999570157816,0.00029779789764152186,0.00032770421770614744,1.0,3,0.999999995898678,0.00010002287598101246,True,8.019732342170407,niah_single_1,synthetic_niah_86,,
sequence,"{""sample_id"": ""synthetic_niah_86"", ""task"": ""niah_single_1""}",midpoint_k8,8,36,0.9999999839066571,0.00018260406152160463,0.00019826462089857856,1.0,3,0.9999999997525341,2.2435636230582193e-05,True,8.019732342170407,niah_single_1,synthetic_niah_86,,
sequence,"{""sample_id"": ""synthetic_niah_86"", ""task"": ""niah_single_1""}",single_jvp,1,36,0.9981484272319769,0.06187322636783771,0.03893334832665893,1.0,3,0.9969546711775625,0.08548278659274192,True,8.019732342170407,niah_single_1,synthetic_niah_86,,
sequence,"{""sample_id"": ""synthetic_niah_86"", ""task"": ""niah_single_1""}",trapezoidal,2,36,0.999997905748591,0.002338923413431747,0.0016770717248880966,1.0,3,0.9999925324679555,0.004463708773638532,True,8.019732342170407,niah_single_1,synthetic_niah_86,,
sequence,"{""sample_id"": ""synthetic_niah_87"", ""task"": ""niah_single_1""}",midpoint,1,36,0.999997234519307,0.0024234310444521834,0.0014659283223514897,0.9166666666666666,12,0.999996270919252,0.0028314130087099794,True,8.019732342170407,niah_single_1,synthetic_niah_87,,
sequence,"{""sample_id"": ""synthetic_niah_87"", ""task"": ""niah_single_1""}",midpoint_k2,2,36,0.9999989884149334,0.0014252148677149595,0.0011356443398422224,1.0,12,0.9999996833005687,0.0007760490914181016,True,8.019732342170407,niah_single_1,synthetic_niah_87,,
sequence,"{""sample_id"": ""synthetic_niah_87"", ""task"": ""niah_single_1""}",midpoint_k4,4,36,0.9999999166211595,0.0005743988299646912,0.0004028625549797532,1.0,12,0.9999999817376564,0.00017726388129588502,True,8.019732342170407,niah_single_1,synthetic_niah_87,,
sequence,"{""sample_id"": ""synthetic_niah_87"", ""task"": ""niah_single_1""}",midpoint_k8,8,36,0.9999999684825828,0.00025424800230008677,0.00019485548488217599,1.0,12,0.9999999990290622,4.701874515606393e-05,True,8.019732342170407,niah_single_1,synthetic_niah_87,,
sequence,"{""sample_id"": ""synthetic_niah_87"", ""task"": ""niah_single_1""}",single_jvp,1,36,0.9971038146226836,0.0760553435083705,0.08914847190523263,0.8055555555555556,12,0.9909489152271879,0.127009730785915,True,8.019732342170407,niah_single_1,synthetic_niah_87,,
sequence,"{""sample_id"": ""synthetic_niah_87"", ""task"": ""niah_single_1""}",trapezoidal,2,36,0.9999955787797526,0.0032084912186521168,0.0031261982899618555,0.9166666666666666,12,0.9999814875809407,0.006112805826499803,True,8.019732342170407,niah_single_1,synthetic_niah_87,,
layer,"{""layer"": 0}",midpoint,1,48,0.9999945397156274,0.0034200190134390193,0.0022243022159996397,1.0,0,,,True,8.019732342170407,,,0.0,
layer,"{""layer"": 0}",midpoint_k2,2,48,0.9999989308514294,0.0014839944676324922,0.001936548130178713,1.0,0,,,True,8.019732342170407,,,0.0,
