task,method,width,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
gov_report,fisher_vjp_innovation_state,2,1,14,0.5595238095238095,0.6760204081632654,0.14285714285714285,0.1823740756248943,-0.1428571428571428,-0.1096938775510204,-0.14285714285714285,-0.14681488060301076
gov_report,fisher_vjp_innovation_state,2,2,14,0.48809523809523814,0.6428571428571429,0.07142857142857142,0.24201851936601076,-0.27380952380952384,-0.14285714285714285,-0.21428571428571427,-0.20645932434412728
gov_report,fisher_vjp_innovation_state,2,4,14,0.4761904761904763,0.6301020408163266,0.14285714285714285,0.3030288463672647,-0.25,-0.15561224489795916,-0.14285714285714285,-0.2674696513453812
gov_report,fisher_vjp_innovation_state,2,8,14,0.41666666666666674,0.5714285714285715,0.0,0.416132921064832,-0.33333333333333337,-0.21428571428571425,-0.2857142857142857,-0.3805737260429485
gov_report,fisher_vjp_innovation_state,4,1,14,0.5714285714285715,0.6938775510204082,0.2857142857142857,0.10998873336799256,-0.19047619047619052,-0.09183673469387754,0.0,-0.07442953834610902
gov_report,fisher_vjp_innovation_state,4,2,14,0.45238095238095244,0.6530612244897959,0.07142857142857142,0.2556782687415858,-0.23809523809523817,-0.1326530612244898,-0.21428571428571427,-0.22011907371970227
gov_report,fisher_vjp_innovation_state,4,4,14,0.5595238095238095,0.6760204081632653,0.2857142857142857,0.1918691225914811,-0.11904761904761907,-0.10969387755102042,0.0,-0.15630992756959755
gov_report,fisher_vjp_innovation_state,4,8,14,0.523809523809524,0.6556122448979591,0.07142857142857142,0.2856229268649972,-0.21428571428571425,-0.1301020408163265,-0.21428571428571427,-0.25006373184311365
gov_report,fisher_vjp_repeated_state,1,1,14,0.40476190476190477,0.5943877551020408,0.2857142857142857,0.34061996083529367,-0.2857142857142857,-0.1913265306122449,0.0,-0.30506076581341013
gov_report,fisher_vjp_repeated_state,1,2,14,0.5357142857142857,0.6071428571428571,0.07142857142857142,0.1902193381240589,-0.27380952380952395,-0.17857142857142855,-0.21428571428571427,-0.15466014310217538
gov_report,fisher_vjp_repeated_state,1,4,14,0.45238095238095244,0.6045918367346939,0.07142857142857142,0.2655043952459645,-0.22619047619047628,-0.18112244897959182,-0.21428571428571427,-0.22994520022408102
gov_report,fisher_vjp_repeated_state,1,8,14,0.4285714285714286,0.5816326530612245,0.07142857142857142,0.285387074365013,-0.4047619047619048,-0.20408163265306123,-0.21428571428571427,-0.24982787934312947
gov_report,fisher_vjp_repeated_state,2,1,14,0.4642857142857144,0.6198979591836734,0.14285714285714285,0.28780544236795685,-0.15476190476190482,-0.16581632653061223,-0.14285714285714285,-0.2522462473460733
gov_report,fisher_vjp_repeated_state,2,2,14,0.4404761904761905,0.6173469387755103,0.14285714285714285,0.22478758431509324,-0.22619047619047625,-0.1683673469387755,-0.14285714285714285,-0.18922838929320976
gov_report,fisher_vjp_repeated_state,2,4,14,0.4285714285714286,0.6071428571428571,0.14285714285714285,0.24992141650637564,-0.23809523809523814,-0.17857142857142855,-0.14285714285714285,-0.21436222148449208
