sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,boundary,candidate_id,candidate_source,current_mask_hash,tau_mask_hash,mask_changed,controlled_exact_kl,action_only_risk,action_u_norm,action_r_norm,candidate_retained_attention_mass,adjacent_method,risk_all_old,risk_update_g,risk_update_f,risk_update_path,risk_update_gf,risk_update_gp,risk_update_fp,risk_full_fresh,risk_path_q1_only,risk_path_q3_only,risk_single_midpoint
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_00_attention_only,attention_only,d04ed48e46e483e0006925fe7e0fc9cac33cd6632dc6c5b54017c93d7ab1d02b,8af8639344695941fb6b1481811aa8bac7a1fefaeeb1e801e00279a5f2ce0574,True,0.0003491100548352632,1.8274161251268853e-08,0.04335607834206817,0.037051768951848495,0.9966525622494877,mx.vjp_of_vjp,9.367899226415101e-06,6.923614988295921e-07,9.205475687964758e-06,-9.258226476664967e-06,5.299379603792486e-07,2.019255788977768e-06,-9.43342307744573e-06,1.8440591881970038e-06,-1.1965383941714847e-08,-4.113874977508962e-08,-9.253474750091391e-06
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_01_aov,aov,943356a559b2f2a67bbeba4ffd2237d4ae1536e67cf0c770ffe1724fdba03c49,fdd6ceea72da810e0e39f3ece21ced4ac18120c0a29a1655f7bb528e692a3796,True,0.0003489270017260869,1.5663973771828854e-08,0.04276079762114825,0.03652872513724361,0.9967493472149698,mx.vjp_of_vjp,9.986021712833926e-06,6.095840855144953e-07,9.832429822115847e-06,-9.415514199911405e-06,4.559921947964163e-07,1.8193848033472646e-06,-9.584256129463845e-06,1.6506428737948247e-06,2.1647337269773572e-07,1.9924157491728024e-07,-9.41266702228422e-06
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_02_aor,aor,d02f700e9ba900562c53de7243f870f8f0004aafffdd952426933b7981299f89,bca8505520f11899790b2542e9a5739123d1cea0ffb6533ef00df5d9bbd875e5,True,0.00034929708055880066,1.7094942351972564e-08,0.04051800112774388,0.03461014370241173,0.9973982128393026,mx.vjp_of_vjp,5.89341298339077e-06,5.705166970290734e-07,5.745750445082422e-06,-2.6113580219837222e-05,4.228541587207259e-07,2.316709227651819e-06,-2.640692131896082e-05,2.0233681285282216e-06,-1.018198192377233e-05,-1.0196643330184558e-05,-2.6114872271607413e-05
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_03_v_ridge,v_ridge,90b487b784a3bf8708bb91d1b01ded2491abb9a4b3f3ef3bf6b6c8444e686c2d,b2c744bfb2c1ad7d60db94ad7d59ffcdf8f225bf2e4f59e373640138167711e6,True,0.0003526427526473544,8.370596197845784e-07,0.22041397325639683,0.18705962867987722,0.9944261265260126,mx.vjp_of_vjp,-1.1864552625978646e-05,1.892009031108505e-05,-1.6860250465084858e-05,-0.00019278377883824336,1.3924392471978838e-05,2.3774832939049662e-05,-0.00021118677232982507,5.371839447467938e-06,-0.00010584286583126306,-0.00010660171680935436,-0.0001927715863027104
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_04_snapkv,snapkv,7bd4b760894dc2dde8de575702c8ee7b63bc68e1d1cc5451cb65398d74c6f106,272512411430176201749d3e21ca7b151f862d1b8ac92f8a0285a790bdbdc345,True,0.000344784646599096,8.440755445542324e-07,0.16447347150737976,0.14718090457934974,0.9967687051028795,mx.vjp_of_vjp,0.00010629532056559754,6.084862890279009e-06,0.0001042127500163889,-0.00018842233661021322,4.0022923410703705e-06,1.860760755365156e-05,-0.00020952075743453747,-2.4908132706726996e-06,-4.801433794541582e-05,-4.8547810804054696e-05,-0.00018841609854040344
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_05_old_stale_core,old_stale_core,200ed7361ef4edbc0c30f0db480af649100783b5e50789b9a48cd1ae5dc4113f,8cb1316ede9098e8f91366572e5449c6b0b7ce8ca5ffe089a4ff540882794d62,True,0.0003483809367514788,1.3490620240224142e-08,0.04692502265826335,0.03975971843293837,0.9971999165510164,mx.vjp_of_vjp,1.0892883805060571e-05,1.0828041595313967e-06,1.0720552398877909e-05,-3.692663971700981e-05,9.104727533487345e-07,1.5453801028294133e-06,-3.7356532303539306e-05,1.1154875162999195e-06,-1.3146643550346298e-05,-1.3175043428881873e-05,-3.6908594070991306e-05
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_06_fresh_core,fresh_core,14ea5bd5daf56fc4ec9f5737986a1635d371f3a515492049cf23101d819c5e7c,35523f66f14077e231cc66601f162cda1d38348bae7f2a5fc0db0e459d10a1a1,True,0.00035075677809740793,3.124770830405657e-07,0.12567672064628913,0.11488049823831263,0.9901943482648763,mx.vjp_of_vjp,-1.975125787946523e-05,1.1963115647419372e-05,-2.116515343307592e-05,-9.916679645308616e-05,1.0549220093808679e-05,8.812380634789499e-06,-0.00010449449114068782,3.4846859471878416e-06,-6.0748219704784634e-05,-6.085616166489958e-05,-9.915621032111721e-05
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,34,2,14,15,selector_07_random_reference,random_reference,f6be551de2f17ffe53587276a5806045b581f32ee1d20bdf3f78cf606316b1d3,c0607c56ffc58e27d3e898252f146a43ac67914da0457126c121b8e86869b966,True,0.000603941775010423,0.00011343758007213843,1.5757284500015203,1.5501565005334517,0.991800084776365,mx.vjp_of_vjp,0.0015990905099219385,0.0003589362874314409,0.0012827123608985117,4.642701668261507e-05,4.2558138408014076e-05,0.0014197423332670473,-0.0011187759295576691,0.000254539387026763,0.00029134203775040284,0.00028431805487880916,4.6940057908482135e-05
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_00_attention_only,attention_only,d999a9a38fa06bda4169bf4a8373a1e461e85ed72899812fa7ab33343fd43d7a,8af8639344695941fb6b1481811aa8bac7a1fefaeeb1e801e00279a5f2ce0574,True,0.011262175137748319,5.135058701896591e-06,0.169642363878122,0.1332449301671506,0.9791683959786,mx.vjp_of_vjp,-4.158357667555653e-05,7.007064727388965e-05,-4.4747426890050494e-05,8.683710965564312e-05,6.690679705939568e-05,0.00018701245157759383,8.570437746805465e-05,0.00018587971939000534,2.1154289940093606e-05,2.101942370541597e-05,8.684242610531876e-05
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_01_aov,aov,d7b8ec503378cf56985042bf470ef7b7f8edb3a36395ea74849d1279fc26afc3,fdd6ceea72da810e0e39f3ece21ced4ac18120c0a29a1655f7bb528e692a3796,True,0.011327494057038038,7.438353303205053e-06,0.18202239516659616,0.1429294747107179,0.9791959574066169,mx.vjp_of_vjp,-9.897453119985323e-05,8.003973091574261e-05,-0.00010264024969507568,0.0001167358791887953,7.637401242052016e-05,0.00025206750857126423,0.00011604078919630422,0.0002513724185787732,6.769754417902244e-06,6.451092723412639e-06,0.00011676013598792922
