sample_id,task,stage,target_anchor,candidate_id,candidate_source,boundary,probe_b18_path_k1_risk,probe_b18_path_k2_risk,probe_b18_path_k4_risk,probe_b18_path_k8_risk
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_attention_84,attention,18,9.550517740680177e-09,9.551370197995933e-09,9.551413370028586e-09,9.551389801911117e-09
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_key_query_41,key_query,18,7.382424571364746e-05,7.382343240396527e-05,7.381804356356401e-05,7.382467381226239e-05
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_random_67,random,18,2.179528140987022e-08,2.1799537086786636e-08,2.1799611973684293e-08,2.1798911611212427e-08
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_v_ridge_74,v_ridge,18,2.4005133308378426e-08,2.4008063910807993e-08,2.400752646675294e-08,2.400615273013179e-08
synthetic_niah_112,niah_single_1,calibration,64,physical_delete_value_norm_24,value_norm,18,2.8949014234444254e-05,2.894726280586288e-05,2.8948165505111347e-05,2.894859953203946e-05
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_age_4,age,18,1.4453510132513264e-06,1.4456452395583816e-06,1.445739307874127e-06,1.4456756103368648e-06
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_aor_87,aor,18,6.461594085060827e-10,6.460112353097545e-10,6.459276478945397e-10,6.459786595677916e-10
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_aov_88,aov,18,4.5380114580657275e-09,4.535951005413589e-09,4.536093502186434e-09,4.536792463515245e-09
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_attention_89,attention,18,5.163354836079008e-08,5.160139194395144e-08,5.161133413868332e-08,5.160592364391789e-08
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_key_query_46,key_query,18,4.137775517335548e-08,4.136921479108691e-08,4.137433311101902e-08,4.137245067453802e-08
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_random_53,random,18,8.237045986752515e-08,8.237566007251074e-08,8.236682165528933e-08,8.237188991544551e-08
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_v_ridge_85,v_ridge,18,9.850850423529932e-10,9.848275240150134e-10,9.851912891040279e-10,9.849691991455707e-10
synthetic_niah_113,niah_single_1,calibration,40,physical_delete_value_norm_24,value_norm,18,3.5169969454295963e-06,3.5170363198184368e-06,3.5186957555113528e-06,3.5178752111640404e-06
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_age_4,age,18,4.5983357363190347e-07,4.598733778882029e-07,4.59899891804767e-07,4.599151117535763e-07
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_aor_84,aor,18,3.5991057958216414e-10,3.5987242829961257e-10,3.598852785576813e-10,3.598963763830386e-10
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_aov_14,aov,18,1.7747956371024737e-09,1.7747161930793635e-09,1.7743777307571786e-09,1.7744922461642233e-09
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_attention_30,attention,18,6.741188246867105e-08,6.741288452447192e-08,6.741275445259329e-08,6.740872617894935e-08
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_key_query_39,key_query,18,1.1153079467317034e-07,1.1151653905719916e-07,1.1152142354647263e-07,1.1152231567432596e-07
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_random_52,random,18,4.701473678068043e-08,4.701497829073437e-08,4.7013034735411994e-08,4.701820485720084e-08
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_v_ridge_85,v_ridge,18,1.213065492872322e-09,1.2131120971718397e-09,1.2130609394266972e-09,1.2128908395704252e-09
synthetic_niah_113,niah_single_1,calibration,64,physical_delete_value_norm_24,value_norm,18,1.8639790747699669e-06,1.8638182280670125e-06,1.8637831402861058e-06,1.8638414532541126e-06
