gamma,task,layer,history_id,candidate_source,row_count,median_cosine,median_relative_l2,median_residual_norm,row_pass_fraction
0.0625,niah_single_1,0,H1,old_stale_core,4,0.9999757021966063,0.00749084046390625,0.004237673894834269,1.0
0.0625,niah_single_1,0,H1,random_reference,4,0.9999512784841087,0.00990357651481209,0.005403213683864801,1.0
0.0625,niah_single_1,0,H1,snapkv,4,0.999978802786081,0.007017942387339611,0.0033463940111267314,1.0
0.0625,niah_single_1,0,H1,v_ridge,4,0.999977309360941,0.0068570787988959875,0.003692233539451691,1.0
0.0625,niah_single_1,0,H2,aor,4,0.9999863394729374,0.005538826593007609,0.0030544215118950375,1.0
0.0625,niah_single_1,0,H2,aov,4,0.999985894045171,0.005725626951283633,0.0031576749233413583,1.0
0.0625,niah_single_1,0,H2,attention_only,4,0.999986539399273,0.005492418772432107,0.002995610667909412,1.0
0.0625,niah_single_1,0,H2,fresh_core,4,0.9999841801006162,0.006175161736289608,0.002586251984366087,1.0
0.0625,niah_single_1,0,H2,old_stale_core,4,0.9999757021966063,0.00749084046390625,0.004237673894834269,1.0
0.0625,niah_single_1,0,H2,random_reference,4,0.9999512784841087,0.00990357651481209,0.005403213683864801,1.0
0.0625,niah_single_1,0,H2,snapkv,4,0.999978802786081,0.007017942387339611,0.0033463940111267314,1.0
0.0625,niah_single_1,0,H2,v_ridge,4,0.999977309360941,0.0068570787988959875,0.003692233539451691,1.0
0.0625,niah_single_1,0,H3,aor,4,0.9999820050611589,0.006556354866259832,0.0034206743856334426,1.0
0.0625,niah_single_1,0,H3,aov,4,0.9999824549358873,0.006602530824997891,0.0034540372112395828,1.0
0.0625,niah_single_1,0,H3,attention_only,4,0.9999855518691227,0.005540090089774451,0.0029062273526572003,1.0
0.0625,niah_single_1,0,H3,fresh_core,4,0.9999788169396533,0.006581050402036662,0.003176249382925625,1.0
0.0625,niah_single_1,0,H3,old_stale_core,4,0.9999655746847126,0.008584057267278495,0.004466294908084747,1.0
0.0625,niah_single_1,0,H3,random_reference,4,0.9999268079683206,0.011911147278895768,0.006191890359532817,1.0
0.0625,niah_single_1,0,H3,snapkv,4,0.9999701147285163,0.00792584130902338,0.0037488754365464618,1.0
