method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
attention_mean_w8,-1,192,0.0767664267660135,0.05507885406832777,0.1995173200313599,0.7480815910707291,0.11469204221864011,0.021045153025487772,0.6927083333333334
attention_mean_w8,0,64,0.05958765221506094,0.0545035058112105,0.15012592831482965,0.16453139663167307,0.1331338252815538,0.00602094326611846,0.921875
attention_mean_w8,14,64,0.08464144283344188,0.04954412079626463,0.2611025504485389,0.7480815910707291,0.039798407063179206,0.02561009969475541,0.4375
attention_mean_w8,27,64,0.0860701852495377,0.066691480619587,0.21290877493525862,0.3697795838972052,0.17114389431118737,0.031504416115589434,0.71875
contribution_ema_w1,-1,192,0.0881001454359696,0.05420799992327746,0.27006715919821894,0.8154752507700755,0.1273851292551159,0.009711434355531673,0.6770833333333334
contribution_ema_w1,0,64,0.056809066028538094,0.05128829657344568,0.15468117937741968,0.17470641626692163,0.13985370862007493,0.008799529452641303,0.9375
contribution_ema_w1,14,64,0.10966077964354365,0.04551288810622396,0.4123046348631963,0.8154752507700755,0.05219286090603363,0.0005907628846536416,0.390625
contribution_ema_w1,27,64,0.09783059063582705,0.07260958508724222,0.3019750592395401,0.45666247188218395,0.1901088182392391,0.019744010729300075,0.703125
contribution_ema_w16,-1,192,0.07259746750024394,0.050376514919035914,0.19050893816793452,0.7518073298482852,0.11779778861609591,0.025214112291257324,0.6927083333333334
contribution_ema_w16,0,64,0.05502997287332781,0.05009392066976208,0.15519288036413056,0.1703053400365032,0.13882187758255415,0.010578622607851588,0.9375
contribution_ema_w16,14,64,0.0874979910506698,0.04797478887390386,0.3425570344238241,0.7518073298482852,0.04142474492290055,0.02275355147752749,0.453125
contribution_ema_w16,27,64,0.07526443857673423,0.055913393941978126,0.19679706593896934,0.33460104436722504,0.17314674334283303,0.042310162788392905,0.6875
contribution_ema_w4,-1,192,0.0724359806312387,0.05045192673245119,0.1900951411817781,0.7500142044117682,0.11804968426686135,0.02537559916026258,0.703125
contribution_ema_w4,0,64,0.05493033359770053,0.04995217998920373,0.15473429062037783,0.16902565495983818,0.1388564167461731,0.010678261883478871,0.9375
contribution_ema_w4,14,64,0.08821315917168784,0.04797478887390386,0.35057220370953524,0.7500142044117682,0.04197037437062133,0.022038383356509438,0.453125
contribution_ema_w4,27,64,0.07416444912432772,0.05567148929355939,0.19655776581795018,0.3345513100388831,0.1733222616837896,0.04341015224079942,0.71875
contribution_ema_w8,-1,192,0.07260701051186484,0.050376514919035914,0.19050893816793452,0.7518073298482852,0.11803272084155148,0.025204569279636425,0.6927083333333334
