sample_id,task,layer,head,future_horizon,method,future_topk_recall,mean_step_spearman,decisions
gov_report:86,gov_report,0,2,32,ema_rho_0.25,0.6856534090909091,0.8113546638290496,32
gov_report:86,gov_report,0,2,32,ema_rho_0.5,0.7022727272727272,0.8280286384814288,32
gov_report:86,gov_report,0,2,32,ema_rho_0.8,0.7186079545454546,0.8314213684976663,32
gov_report:86,gov_report,0,2,32,ema_rho_0.9,0.7056818181818182,0.8036475482829755,32
gov_report:86,gov_report,0,2,32,ema_rho_0.95,0.6724431818181817,0.7503463351491177,32
gov_report:86,gov_report,0,2,32,ema_rho_0.99,0.5998579545454545,0.6368337265694228,32
gov_report:86,gov_report,0,2,32,ema_rho_0.995,0.5866477272727273,0.611393236874539,32
gov_report:86,gov_report,0,2,32,ema_rho_0.999,0.5710227272727273,0.586844998055389,32
gov_report:86,gov_report,0,3,1,ema_rho_0,0.6157287157287157,0.6805257471398279,63
gov_report:86,gov_report,0,3,1,ema_rho_0.25,0.6424242424242425,0.7071754996107353,63
gov_report:86,gov_report,0,3,1,ema_rho_0.5,0.6636363636363636,0.7260374811759402,63
gov_report:86,gov_report,0,3,1,ema_rho_0.8,0.6804473304473306,0.7418224720550569,63
gov_report:86,gov_report,0,3,1,ema_rho_0.9,0.6739538239538241,0.7383654632655767,63
gov_report:86,gov_report,0,3,1,ema_rho_0.95,0.6592352092352091,0.7305602202623247,63
gov_report:86,gov_report,0,3,1,ema_rho_0.99,0.6194805194805195,0.7097697742971888,63
gov_report:86,gov_report,0,3,1,ema_rho_0.995,0.5958152958152959,0.6984139935532155,63
gov_report:86,gov_report,0,3,1,ema_rho_0.999,0.5622655122655121,0.6763402616144643,63
gov_report:86,gov_report,0,3,4,ema_rho_0,0.6653030303030304,0.7247553932522001,60
gov_report:86,gov_report,0,3,4,ema_rho_0.25,0.7084848484848485,0.7745745151747131,60
gov_report:86,gov_report,0,3,4,ema_rho_0.5,0.7418181818181818,0.8018317055580886,60
gov_report:86,gov_report,0,3,4,ema_rho_0.8,0.7733333333333334,0.827526134646877,60
gov_report:86,gov_report,0,3,4,ema_rho_0.9,0.7662121212121211,0.8242002365736262,60
gov_report:86,gov_report,0,3,4,ema_rho_0.95,0.7479545454545454,0.8114834125869979,60
gov_report:86,gov_report,0,3,4,ema_rho_0.99,0.6922727272727273,0.7678665423703677,60
gov_report:86,gov_report,0,3,4,ema_rho_0.995,0.6597727272727273,0.7466559920169096,60
gov_report:86,gov_report,0,3,4,ema_rho_0.999,0.6172727272727272,0.710545838345013,60
gov_report:86,gov_report,0,3,16,ema_rho_0,0.6616477272727272,0.7158772546879515,48
gov_report:86,gov_report,0,3,16,ema_rho_0.25,0.7196969696969697,0.7908029891687786,48
gov_report:86,gov_report,0,3,16,ema_rho_0.5,0.7616477272727273,0.8255502451664002,48
gov_report:86,gov_report,0,3,16,ema_rho_0.8,0.7929924242424242,0.8606443977087488,48
gov_report:86,gov_report,0,3,16,ema_rho_0.9,0.7946969696969696,0.8661412085376589,48
gov_report:86,gov_report,0,3,16,ema_rho_0.95,0.7776515151515152,0.8559479058990346,48
gov_report:86,gov_report,0,3,16,ema_rho_0.99,0.715814393939394,0.8011570800075504,48
gov_report:86,gov_report,0,3,16,ema_rho_0.995,0.6821969696969697,0.7745995317017832,48
gov_report:86,gov_report,0,3,16,ema_rho_0.999,0.6395833333333333,0.7329764258516853,48
gov_report:86,gov_report,0,3,32,ema_rho_0,0.6799715909090909,0.7383728113747074,32
gov_report:86,gov_report,0,3,32,ema_rho_0.25,0.7305397727272728,0.8063656088192975,32
gov_report:86,gov_report,0,3,32,ema_rho_0.5,0.7664772727272728,0.844212623946508,32
gov_report:86,gov_report,0,3,32,ema_rho_0.8,0.7954545454545454,0.8784547327130612,32
gov_report:86,gov_report,0,3,32,ema_rho_0.9,0.7940340909090908,0.8765336575114407,32
gov_report:86,gov_report,0,3,32,ema_rho_0.95,0.7742897727272727,0.8604296996270965,32
gov_report:86,gov_report,0,3,32,ema_rho_0.99,0.7112215909090909,0.7997607721824209,32
gov_report:86,gov_report,0,3,32,ema_rho_0.995,0.6819602272727272,0.7738804025692705,32
gov_report:86,gov_report,0,3,32,ema_rho_0.999,0.649715909090909,0.7376135634820342,32
gov_report:86,gov_report,0,4,1,ema_rho_0,0.8003607503607505,0.9184237488048654,63
gov_report:86,gov_report,0,4,1,ema_rho_0.25,0.805122655122655,0.9246956130762798,63
