sample_id,task,layer,head,future_horizon,method,token_time_choices,choice_fraction
gov_report:87,gov_report,0,3,4,ema_rho_0.5,6792,0.122710027100271
gov_report:87,gov_report,0,3,4,ema_rho_0.9,5919,0.10693766937669377
gov_report:87,gov_report,0,3,4,ema_rho_0.25,5615,0.1014453477868112
gov_report:87,gov_report,0,3,4,ema_rho_0.999,6348,0.11468834688346884
gov_report:87,gov_report,0,3,4,ema_rho_0.995,2659,0.04803974706413731
gov_report:87,gov_report,0,3,4,ema_rho_0.99,4302,0.07772357723577236
gov_report:87,gov_report,0,3,4,ema_rho_0.95,6366,0.11501355013550135
gov_report:87,gov_report,0,3,16,ema_rho_0,7464,0.1696672122204037
gov_report:87,gov_report,0,3,16,ema_rho_0.25,3871,0.0879932715039098
gov_report:87,gov_report,0,3,16,ema_rho_0.8,6360,0.14457174031642117
gov_report:87,gov_report,0,3,16,ema_rho_0.9,5412,0.12302236770321877
gov_report:87,gov_report,0,3,16,ema_rho_0.999,4565,0.1037688670667394
gov_report:87,gov_report,0,3,16,ema_rho_0.995,2085,0.0473949809056192
gov_report:87,gov_report,0,3,16,ema_rho_0.95,5642,0.12825059101654845
gov_report:87,gov_report,0,3,16,ema_rho_0.5,4872,0.11074740861974905
gov_report:87,gov_report,0,3,16,ema_rho_0.99,3721,0.08458356064739044
gov_report:87,gov_report,0,3,32,ema_rho_0,5339,0.18364749587231702
gov_report:87,gov_report,0,3,32,ema_rho_0.25,2505,0.0861653824986241
gov_report:87,gov_report,0,3,32,ema_rho_0.8,4251,0.14622317006053934
gov_report:87,gov_report,0,3,32,ema_rho_0.5,3263,0.11223858007705008
gov_report:87,gov_report,0,3,32,ema_rho_0.999,3394,0.11674463401210787
gov_report:87,gov_report,0,3,32,ema_rho_0.995,1339,0.04605806274078151
gov_report:87,gov_report,0,3,32,ema_rho_0.95,3347,0.11512795817281232
gov_report:87,gov_report,0,3,32,ema_rho_0.9,3416,0.11750137589433131
gov_report:87,gov_report,0,3,32,ema_rho_0.99,2218,0.07629334067143644
gov_report:87,gov_report,0,4,1,ema_rho_0,15133,0.2599635813921528
gov_report:87,gov_report,0,4,1,ema_rho_0.995,1768,0.030371744657458944
gov_report:87,gov_report,0,4,1,ema_rho_0.8,7224,0.1240981240981241
gov_report:87,gov_report,0,4,1,ema_rho_0.99,3494,0.06002198859341717
gov_report:87,gov_report,0,4,1,ema_rho_0.999,5122,0.0879887308458737
gov_report:87,gov_report,0,4,1,ema_rho_0.25,7195,0.12359994502851646
gov_report:87,gov_report,0,4,1,ema_rho_0.9,5203,0.08938019652305366
gov_report:87,gov_report,0,4,1,ema_rho_0.95,5017,0.0861849790421219
gov_report:87,gov_report,0,4,1,ema_rho_0.5,8056,0.13839070981928125
gov_report:87,gov_report,0,4,4,ema_rho_0,12562,0.2269557362240289
gov_report:87,gov_report,0,4,4,ema_rho_0.5,7512,0.13571815718157182
gov_report:87,gov_report,0,4,4,ema_rho_0.995,1787,0.03228545618789521
gov_report:87,gov_report,0,4,4,ema_rho_0.99,3609,0.06520325203252032
gov_report:87,gov_report,0,4,4,ema_rho_0.25,6865,0.12402890695573622
gov_report:87,gov_report,0,4,4,ema_rho_0.999,5191,0.09378500451671183
gov_report:87,gov_report,0,4,4,ema_rho_0.8,7270,0.13134598012646792
gov_report:87,gov_report,0,4,4,ema_rho_0.95,5143,0.09291779584462512
gov_report:87,gov_report,0,4,4,ema_rho_0.9,5411,0.09775971093044264
gov_report:87,gov_report,0,4,16,ema_rho_0,9304,0.21149299872704128
gov_report:87,gov_report,0,4,16,ema_rho_0.25,4552,0.10347335879250773
gov_report:87,gov_report,0,4,16,ema_rho_0.5,5423,0.12327241316603019
gov_report:87,gov_report,0,4,16,ema_rho_0.99,3515,0.07990089107110383
gov_report:87,gov_report,0,4,16,ema_rho_0.999,5007,0.11381614839061648
gov_report:87,gov_report,0,4,16,ema_rho_0.995,1572,0.03573376977632297
gov_report:87,gov_report,0,4,16,ema_rho_0.8,5448,0.12384069830878341
gov_report:87,gov_report,0,4,16,ema_rho_0.95,4827,0.10972449536279323
gov_report:87,gov_report,0,4,16,ema_rho_0.9,4344,0.09874522640480088
gov_report:87,gov_report,0,4,32,ema_rho_0,6069,0.20875756741882223
gov_report:87,gov_report,0,4,32,ema_rho_0.25,2790,0.09596862960924601
gov_report:87,gov_report,0,4,32,ema_rho_0.8,3883,0.1335649422124381
gov_report:87,gov_report,0,4,32,ema_rho_0.5,3223,0.11086268574573473
gov_report:87,gov_report,0,4,32,ema_rho_0.9,2947,0.10136901485965878
gov_report:87,gov_report,0,4,32,ema_rho_0.99,2316,0.07966428178315905
gov_report:87,gov_report,0,4,32,ema_rho_0.999,3917,0.13473445239405613
gov_report:87,gov_report,0,4,32,ema_rho_0.995,1197,0.041173637864612
gov_report:87,gov_report,0,4,32,ema_rho_0.95,2730,0.09390478811227297
gov_report:87,gov_report,0,5,1,ema_rho_0,12855,0.22083075654504225
gov_report:87,gov_report,0,5,1,ema_rho_0.5,7676,0.13186284614856045
gov_report:87,gov_report,0,5,1,ema_rho_0.25,6274,0.10777846492132206
gov_report:87,gov_report,0,5,1,ema_rho_0.995,1707,0.029323850752422182
gov_report:87,gov_report,0,5,1,ema_rho_0.8,8089,0.13895760324331752
gov_report:87,gov_report,0,5,1,ema_rho_0.999,5541,0.09518655947227375
gov_report:87,gov_report,0,5,1,ema_rho_0.95,5909,0.10150828007970865
gov_report:87,gov_report,0,5,1,ema_rho_0.9,6454,0.11087061087061087
gov_report:87,gov_report,0,5,1,ema_rho_0.99,3707,0.06368102796674226
gov_report:87,gov_report,0,5,4,ema_rho_0,10788,0.1949051490514905
gov_report:87,gov_report,0,5,4,ema_rho_0.5,7747,0.13996386630532973
gov_report:87,gov_report,0,5,4,ema_rho_0.25,6174,0.11154471544715447
gov_report:87,gov_report,0,5,4,ema_rho_0.99,3512,0.06345076784101174
gov_report:87,gov_report,0,5,4,ema_rho_0.9,6499,0.11741644083107498
gov_report:87,gov_report,0,5,4,ema_rho_0.8,8451,0.1526829268292683
gov_report:87,gov_report,0,5,4,ema_rho_0.999,4596,0.08303523035230352
gov_report:87,gov_report,0,5,4,ema_rho_0.95,6037,0.10906955736224029
gov_report:87,gov_report,0,5,4,ema_rho_0.995,1546,0.02793134598012647
gov_report:87,gov_report,0,5,16,ema_rho_0,8307,0.18882978723404256
gov_report:87,gov_report,0,5,16,ema_rho_0.95,4664,0.10601927623204219
gov_report:87,gov_report,0,5,16,ema_rho_0.25,4704,0.10692853246044735
gov_report:87,gov_report,0,5,16,ema_rho_0.5,6272,0.1425713766139298
gov_report:87,gov_report,0,5,16,ema_rho_0.99,2681,0.06094289870885616
gov_report:87,gov_report,0,5,16,ema_rho_0.8,6832,0.1553009638116021
gov_report:87,gov_report,0,5,16,ema_rho_0.999,3862,0.08778868885251864
gov_report:87,gov_report,0,5,16,ema_rho_0.9,5443,0.12372704128023276
gov_report:87,gov_report,0,5,16,ema_rho_0.995,1227,0.027891434806328424
gov_report:87,gov_report,0,5,32,ema_rho_0,5607,0.1928659878921299
gov_report:87,gov_report,0,5,32,ema_rho_0.99,1783,0.06133048981838195
gov_report:87,gov_report,0,5,32,ema_rho_0.5,3855,0.13260181618051733
gov_report:87,gov_report,0,5,32,ema_rho_0.25,3086,0.10615024766097964
gov_report:87,gov_report,0,5,32,ema_rho_0.8,4403,0.1514515685195377
gov_report:87,gov_report,0,5,32,ema_rho_0.9,3646,0.1254127682993946
gov_report:87,gov_report,0,5,32,ema_rho_0.999,3020,0.1038800220143093
gov_report:87,gov_report,0,5,32,ema_rho_0.995,867,0.02982250963126032
gov_report:87,gov_report,0,5,32,ema_rho_0.95,2805,0.09648458998348927
gov_report:87,gov_report,0,6,1,ema_rho_0,11068,0.19013261870404727
gov_report:87,gov_report,0,6,1,ema_rho_0.95,6273,0.10776128633271491
gov_report:87,gov_report,0,6,1,ema_rho_0.999,7167,0.12311894454751597
gov_report:87,gov_report,0,6,1,ema_rho_0.99,4536,0.07792207792207792
gov_report:87,gov_report,0,6,1,ema_rho_0.8,8046,0.13821892393320964
gov_report:87,gov_report,0,6,1,ema_rho_0.995,2361,0.040558647701504844
gov_report:87,gov_report,0,6,1,ema_rho_0.5,7079,0.1216072287500859
gov_report:87,gov_report,0,6,1,ema_rho_0.25,5409,0.09291898577612863
gov_report:87,gov_report,0,6,1,ema_rho_0.9,6273,0.10776128633271491
gov_report:87,gov_report,0,6,4,ema_rho_0,8980,0.16224028906955737
gov_report:87,gov_report,0,6,4,ema_rho_0.95,6543,0.11821138211382114
gov_report:87,gov_report,0,6,4,ema_rho_0.5,7585,0.13703703703703704
gov_report:87,gov_report,0,6,4,ema_rho_0.99,3978,0.07186991869918699
gov_report:87,gov_report,0,6,4,ema_rho_0.9,7017,0.1267750677506775
gov_report:87,gov_report,0,6,4,ema_rho_0.995,1995,0.036043360433604336
gov_report:87,gov_report,0,6,4,ema_rho_0.25,5412,0.09777777777777778
gov_report:87,gov_report,0,6,4,ema_rho_0.8,9148,0.1652755194218609
gov_report:87,gov_report,0,6,4,ema_rho_0.999,4692,0.08476964769647696
gov_report:87,gov_report,0,6,16,ema_rho_0,6965,0.15832424077104928
gov_report:87,gov_report,0,6,16,ema_rho_0.95,5245,0.1192262229496272
gov_report:87,gov_report,0,6,16,ema_rho_0.5,5919,0.13454719039825422
gov_report:87,gov_report,0,6,16,ema_rho_0.99,3156,0.07174031642116749
gov_report:87,gov_report,0,6,16,ema_rho_0.25,4223,0.09599472631387525
gov_report:87,gov_report,0,6,16,ema_rho_0.995,1521,0.034574468085106384
gov_report:87,gov_report,0,6,16,ema_rho_0.8,7504,0.1705764684488089
gov_report:87,gov_report,0,6,16,ema_rho_0.999,3556,0.08083287870521913
gov_report:87,gov_report,0,6,16,ema_rho_0.9,5903,0.13418348790689216
gov_report:87,gov_report,0,6,32,ema_rho_0,5226,0.17976059438635114
gov_report:87,gov_report,0,6,32,ema_rho_0.95,2979,0.10246973032471106
gov_report:87,gov_report,0,6,32,ema_rho_0.9,3652,0.12561915244909191
gov_report:87,gov_report,0,6,32,ema_rho_0.99,1879,0.0646326362135388
gov_report:87,gov_report,0,6,32,ema_rho_0.995,951,0.03271188772702256
gov_report:87,gov_report,0,6,32,ema_rho_0.5,3943,0.13562878370941112
gov_report:87,gov_report,0,6,32,ema_rho_0.25,2757,0.09483351678591084
gov_report:87,gov_report,0,6,32,ema_rho_0.8,4761,0.16376582278481014
gov_report:87,gov_report,0,6,32,ema_rho_0.999,2924,0.10057787561915245
gov_report:87,gov_report,0,7,1,ema_rho_0,14130,0.24273345701917132
gov_report:87,gov_report,0,7,1,ema_rho_0.5,8295,0.1424963924963925
gov_report:87,gov_report,0,7,1,ema_rho_0.999,4133,0.07099910671339242
gov_report:87,gov_report,0,7,1,ema_rho_0.25,6318,0.10853432282003711
gov_report:87,gov_report,0,7,1,ema_rho_0.995,1472,0.025286882429739574
gov_report:87,gov_report,0,7,1,ema_rho_0.8,8434,0.14488421631278775
gov_report:87,gov_report,0,7,1,ema_rho_0.9,6316,0.10849996564282278
gov_report:87,gov_report,0,7,1,ema_rho_0.99,3385,0.058149522435236724
gov_report:87,gov_report,0,7,1,ema_rho_0.95,5729,0.09841613413041984
gov_report:87,gov_report,0,7,4,ema_rho_0,11787,0.2129539295392954
gov_report:87,gov_report,0,7,4,ema_rho_0.5,8347,0.15080397470641374
gov_report:87,gov_report,0,7,4,ema_rho_0.25,6146,0.11103884372177054
gov_report:87,gov_report,0,7,4,ema_rho_0.999,3353,0.06057813911472448
gov_report:87,gov_report,0,7,4,ema_rho_0.9,6797,0.1228003613369467
gov_report:87,gov_report,0,7,4,ema_rho_0.99,2947,0.05324299909665763
gov_report:87,gov_report,0,7,4,ema_rho_0.8,9143,0.16518518518518518
gov_report:87,gov_report,0,7,4,ema_rho_0.995,1304,0.023559168925022585
gov_report:87,gov_report,0,7,4,ema_rho_0.95,5526,0.09983739837398374
gov_report:87,gov_report,0,7,16,ema_rho_0,9562,0.2173577014002546
gov_report:87,gov_report,0,7,16,ema_rho_0.5,6848,0.1556646663029642
gov_report:87,gov_report,0,7,16,ema_rho_0.25,4806,0.10924713584288052
gov_report:87,gov_report,0,7,16,ema_rho_0.999,2948,0.06701218403346063
gov_report:87,gov_report,0,7,16,ema_rho_0.9,4990,0.11342971449354428
gov_report:87,gov_report,0,7,16,ema_rho_0.99,2257,0.05130478268776141
gov_report:87,gov_report,0,7,16,ema_rho_0.8,7448,0.16930350972904165
gov_report:87,gov_report,0,7,16,ema_rho_0.995,1043,0.023708856155664666
gov_report:87,gov_report,0,7,16,ema_rho_0.95,4090,0.09297144935442808
gov_report:87,gov_report,0,7,32,ema_rho_0,7194,0.24745459548706658
gov_report:87,gov_report,0,7,32,ema_rho_0.5,4082,0.14041001651073198
gov_report:87,gov_report,0,7,32,ema_rho_0.25,3035,0.10439598238855256
gov_report:87,gov_report,0,7,32,ema_rho_0.999,2459,0.08458310401761145
gov_report:87,gov_report,0,7,32,ema_rho_0.9,3089,0.10625343973582829
gov_report:87,gov_report,0,7,32,ema_rho_0.99,1481,0.05094248761695102
gov_report:87,gov_report,0,7,32,ema_rho_0.8,4624,0.15905338470005503
gov_report:87,gov_report,0,7,32,ema_rho_0.95,2412,0.0829664281783159
gov_report:87,gov_report,0,7,32,ema_rho_0.995,696,0.023940561364887175
gov_report:87,gov_report,7,0,1,ema_rho_0,13775,0.2366350580636295
gov_report:87,gov_report,7,0,1,ema_rho_0.5,6932,0.11908197622483337
gov_report:87,gov_report,7,0,1,ema_rho_0.95,5345,0.09181955610527039
gov_report:87,gov_report,7,0,1,ema_rho_0.99,4177,0.07175496461210747
gov_report:87,gov_report,7,0,1,ema_rho_0.9,4722,0.08111729540300969
gov_report:87,gov_report,7,0,1,ema_rho_0.995,3462,0.059472273757988046
gov_report:87,gov_report,7,0,1,ema_rho_0.8,6672,0.11461554318697176
gov_report:87,gov_report,7,0,1,ema_rho_0.999,7523,0.12923452209166494
gov_report:87,gov_report,7,0,1,ema_rho_0.25,5604,0.09626881055452484
gov_report:87,gov_report,7,0,4,ema_rho_0,11446,0.20679313459801266
gov_report:87,gov_report,7,0,4,ema_rho_0.5,6537,0.1181029810298103
gov_report:87,gov_report,7,0,4,ema_rho_0.95,6031,0.10896115627822944
gov_report:87,gov_report,7,0,4,ema_rho_0.9,5331,0.09631436314363144
gov_report:87,gov_report,7,0,4,ema_rho_0.8,6866,0.12404697380307136
gov_report:87,gov_report,7,0,4,ema_rho_0.995,3345,0.06043360433604336
gov_report:87,gov_report,7,0,4,ema_rho_0.99,4131,0.07463414634146341
gov_report:87,gov_report,7,0,4,ema_rho_0.999,6502,0.1174706413730804
gov_report:87,gov_report,7,0,4,ema_rho_0.25,5161,0.09324299909665763
gov_report:87,gov_report,7,0,16,ema_rho_0,8429,0.1916030187306783
gov_report:87,gov_report,7,0,16,ema_rho_0.5,5073,0.115316421167485
gov_report:87,gov_report,7,0,16,ema_rho_0.95,5086,0.11561192944171668
gov_report:87,gov_report,7,0,16,ema_rho_0.99,3394,0.07715039098017822
gov_report:87,gov_report,7,0,16,ema_rho_0.995,2544,0.05782869612656847
gov_report:87,gov_report,7,0,16,ema_rho_0.9,4901,0.11140661938534278
gov_report:87,gov_report,7,0,16,ema_rho_0.8,5955,0.13536552100381888
gov_report:87,gov_report,7,0,16,ema_rho_0.25,3683,0.08371976723040553
gov_report:87,gov_report,7,0,16,ema_rho_0.999,4927,0.11199763593380614
gov_report:87,gov_report,7,0,32,ema_rho_0,6038,0.20769124931205282
gov_report:87,gov_report,7,0,32,ema_rho_0.5,3148,0.10828288387451844
gov_report:87,gov_report,7,0,32,ema_rho_0.95,3534,0.12156026417171162
gov_report:87,gov_report,7,0,32,ema_rho_0.99,2162,0.07436708860759493
