sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,attention_temporal_volatility_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:47,gov_report,16,1,0.013606801629066467,0.07561608403921127,False,False,-0.062009282410144806,non_tail,unchanged
gov_report:50,gov_report,32,9,0.5840243697166443,0.645847499370575,False,False,-0.061823129653930664,non_tail,unchanged
gov_report:47,gov_report,32,11,0.34632623195648193,0.40619760751724243,False,False,-0.0598713755607605,non_tail,unchanged
gov_report:45,gov_report,16,11,2.5771946907043457,2.636976480484009,False,False,-0.059781789779663086,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,10,0.10612241923809052,0.16521024703979492,False,False,-0.05908782780170441,non_tail,unchanged
synthetic_niah_48,niah_single_1,48,12,0.02341262623667717,0.07360496371984482,False,False,-0.05019233748316765,non_tail,unchanged
gov_report:48,gov_report,32,14,0.16312317550182343,0.2120181769132614,False,False,-0.04889500141143799,non_tail,unchanged
gov_report:50,gov_report,16,13,0.04918593540787697,0.09388874471187592,False,False,-0.04470280930399895,non_tail,unchanged
gov_report:46,gov_report,48,10,4.07523775100708,4.11850118637085,True,True,-0.04326343536376953,shared_tail,unchanged
gov_report:45,gov_report,32,5,0.03203336149454117,0.07357204705476761,False,False,-0.04153868556022644,non_tail,unchanged
synthetic_niah_48,niah_single_1,32,8,0.0533243864774704,0.09448397159576416,False,False,-0.04115958511829376,non_tail,unchanged
gov_report:46,gov_report,48,8,0.4825195074081421,0.52347332239151,False,False,-0.04095381498336792,non_tail,unchanged
gov_report:47,gov_report,32,2,0.05190203711390495,0.09079243987798691,False,False,-0.038890402764081955,non_tail,unchanged
gov_report:48,gov_report,16,15,0.11351931095123291,0.1506042778491974,False,False,-0.03708496689796448,non_tail,unchanged
gov_report:49,gov_report,16,1,0.03093971684575081,0.06779579073190689,False,False,-0.03685607388615608,non_tail,unchanged
gov_report:50,gov_report,48,9,0.058371979743242264,0.09249815344810486,False,False,-0.034126173704862595,non_tail,unchanged
gov_report:49,gov_report,48,16,0.24248719215393066,0.2760295271873474,False,False,-0.03354233503341675,non_tail,unchanged
synthetic_niah_48,niah_single_1,32,16,0.07231710106134415,0.10543204098939896,False,False,-0.03311493992805481,non_tail,unchanged
synthetic_niah_48,niah_single_1,32,9,0.02760675549507141,0.059828195720911026,False,False,-0.032221440225839615,non_tail,unchanged
synthetic_niah_45,niah_single_1,32,1,0.10059782862663269,0.1320023089647293,False,False,-0.03140448033809662,non_tail,unchanged
synthetic_niah_47,niah_single_1,48,15,0.13929301500320435,0.1688224822282791,False,False,-0.029529467225074768,non_tail,unchanged
gov_report:50,gov_report,16,15,0.2952074110507965,0.3242276608943939,False,False,-0.029020249843597412,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,6,0.037149157375097275,0.06514070928096771,False,False,-0.027991551905870438,non_tail,unchanged
gov_report:46,gov_report,32,16,0.3050481081008911,0.3329920172691345,False,False,-0.027943909168243408,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,15,0.07762303948402405,0.10352984815835953,False,False,-0.02590680867433548,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,5,0.06782521307468414,0.09319637715816498,False,False,-0.025371164083480835,non_tail,unchanged
gov_report:46,gov_report,48,6,0.2952010929584503,0.3204125463962555,False,False,-0.025211453437805176,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,7,0.05695421248674393,0.08045344799757004,False,False,-0.02349923551082611,non_tail,unchanged
gov_report:49,gov_report,16,6,0.022139843553304672,0.04453706741333008,False,False,-0.022397223860025406,non_tail,unchanged
gov_report:47,gov_report,32,15,0.014769790694117546,0.036987774074077606,False,False,-0.02221798337996006,non_tail,unchanged
synthetic_niah_47,niah_single_1,16,15,0.07570856809616089,0.09751734882593155,False,False,-0.02180878072977066,non_tail,unchanged
synthetic_niah_50,niah_single_1,16,16,0.02841929905116558,0.04972190782427788,False,False,-0.021302608773112297,non_tail,unchanged
synthetic_niah_48,niah_single_1,32,12,0.058820940554142,0.0789722427725792,False,False,-0.020151302218437195,non_tail,unchanged
gov_report:46,gov_report,48,14,0.037693217396736145,0.0573834590613842,False,False,-0.019690241664648056,non_tail,unchanged
gov_report:45,gov_report,16,5,0.18980588018894196,0.20763777196407318,False,False,-0.017831891775131226,non_tail,unchanged
gov_report:48,gov_report,48,9,0.3061473071575165,0.32381829619407654,False,False,-0.01767098903656006,non_tail,unchanged
gov_report:45,gov_report,16,2,0.033316560089588165,0.05081185698509216,False,False,-0.017495296895503998,non_tail,unchanged
synthetic_niah_48,niah_single_1,32,7,0.02884368598461151,0.046210646629333496,False,False,-0.017366960644721985,non_tail,unchanged
gov_report:49,gov_report,48,4,0.008464513346552849,0.02533528581261635,False,False,-0.0168707724660635,non_tail,unchanged
gov_report:48,gov_report,32,4,0.015250963158905506,0.03144974261522293,False,False,-0.016198779456317425,non_tail,unchanged
gov_report:46,gov_report,48,2,0.019380569458007812,0.033469606190919876,False,False,-0.014089036732912064,non_tail,unchanged
gov_report:49,gov_report,32,10,0.02383711189031601,0.037585873156785965,False,False,-0.013748761266469955,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,11,0.07967346906661987,0.09249197691679001,False,False,-0.012818507850170135,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,13,0.01527503039687872,0.027619529515504837,False,False,-0.012344499118626118,non_tail,unchanged
gov_report:50,gov_report,48,8,0.016930872574448586,0.02918156422674656,False,False,-0.012250691652297974,non_tail,unchanged
gov_report:49,gov_report,48,8,0.007723427843302488,0.019634952768683434,False,False,-0.011911524925380945,non_tail,unchanged
synthetic_niah_49,niah_single_1,32,16,0.1013142541050911,0.11311667412519455,False,False,-0.011802420020103455,non_tail,unchanged
gov_report:50,gov_report,16,12,0.00710159121081233,0.018381204456090927,False,False,-0.011279613245278597,non_tail,unchanged
synthetic_niah_47,niah_single_1,32,14,0.048056021332740784,0.059063561260700226,False,False,-0.011007539927959442,non_tail,unchanged
