method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
attention_max_w1,27,32,0.12717574263492853,0.09770770905459489,0.4034234054188835,0.4707439755296576,0.2310726660151801,0.0,0.0
attention_max_w16,-1,96,0.13499434724888756,0.06159221382126091,0.6874497660429764,0.872940026391214,0.15604130749830572,-0.029798539689443664,0.2708333333333333
attention_max_w16,0,32,0.06701649161576295,0.06152582464725516,0.12646652129511635,0.17294761548330737,0.13325643499030645,-0.004787857983276292,0.15625
attention_max_w16,14,32,0.2525787548308891,0.09392453433891809,0.8550912529096717,0.872940026391214,0.12209978644625828,-0.12639570841997264,0.15625
attention_max_w16,27,32,0.0853877953000106,0.049782086891546895,0.21401245442348904,0.24541423540223284,0.21276770105835247,0.041787947334917926,0.5
attention_max_w4,-1,96,0.11351108175784437,0.05721191335969985,0.3166389415345395,0.8626983021041661,0.13971785189036653,-0.008315274198400486,0.375
attention_max_w4,0,32,0.0654259732575948,0.058428820111600915,0.12670614380207706,0.15960213666442305,0.13121356072302018,-0.003197339625108149,0.125
attention_max_w4,14,32,0.18752119092240443,0.08086100573817558,0.7805367751951191,0.8626983021041661,0.09334557865983398,-0.06133814451148792,0.28125
attention_max_w4,27,32,0.08758608109353391,0.04926625180596193,0.23350230641992636,0.29898226795507266,0.19459441628824545,0.039589661541394615,0.71875
attention_max_w8,-1,96,0.13651883794817532,0.05991875796230155,0.695988574829096,0.9040839402411737,0.15579349513202514,-0.03132303038873143,0.2916666666666667
attention_max_w8,0,32,0.06633196931478527,0.06050497137829315,0.12440240878796868,0.16201131441136865,0.13347145235707636,-0.004103335682298622,0.1875
attention_max_w8,14,32,0.2531495374964076,0.13193408918368532,0.8473899760942064,0.9040839402411737,0.1291585765337449,-0.12696649108549113,0.125
attention_max_w8,27,32,0.09007500703333307,0.05232782639483335,0.2307826350367205,0.3076447092249419,0.2047504565052542,0.03710073560159545,0.5625
attention_mean_w1,-1,96,0.10519580755944387,0.06140285134237105,0.3094672947448005,0.8480157359413139,0.1414490431276152,0.0,0.0
attention_mean_w1,0,32,0.06222863363248666,0.05640165432525551,0.1250327740060441,0.1610768557693072,0.12877411637569047,0.0,0.0
attention_mean_w1,14,32,0.1261830464109165,0.07894881102531053,0.3155127461875353,0.8480157359413139,0.06450034699197507,0.0,0.0
attention_mean_w1,27,32,0.12717574263492853,0.09770770905459489,0.4034234054188835,0.4707439755296576,0.2310726660151801,0.0,0.0
attention_mean_w16,-1,96,0.11503200204794273,0.05828072970267277,0.3612888233219146,0.8640125472755357,0.13963309708973193,-0.009836194488498854,0.46875
attention_mean_w16,0,32,0.06062537067161168,0.05712036045816508,0.12210029969001851,0.16947748055876233,0.12422848320195339,0.001603262960874978,0.65625
attention_mean_w16,14,32,0.20091954204094606,0.08806774336150772,0.8198356611151218,0.8640125472755357,0.09829030472270127,-0.07473649563002957,0.15625
attention_mean_w16,27,32,0.08355109343127048,0.05405125120881045,0.19751912259838358,0.22634444919416308,0.19638050334454113,0.04362464920365803,0.59375
attention_mean_w4,-1,96,0.10523010758541078,0.05855888421757059,0.25938176144118197,0.8592948070019804,0.13400760938156606,-3.4300025966874904e-05,0.4270833333333333
attention_mean_w4,0,32,0.06301920336627351,0.05855888421757059,0.12585028941327553,0.16070811784203998,0.12624893350507685,-0.0007905697337868413,0.1875
attention_mean_w4,14,32,0.1593688873093957,0.08232213659910093,0.7269627712078159,0.8592948070019804,0.0806431841200436,-0.03318584089847919,0.34375
attention_mean_w4,27,32,0.09330223208056312,0.05753425604399544,0.2337430925647817,0.2997128392652557,0.19513071051957775,0.0338735105543654,0.75
attention_mean_w8,-1,96,0.122136615680508,0.057527460676816154,0.4479840789233982,0.8655635381236593,0.1469448504999295,-0.01694080812106413,0.4479166666666667
attention_mean_w8,0,32,0.06075191870045284,0.052739408236538984,0.12233001698515625,0.16675793965428143,0.12693232101412347,0.0014767149320338278,0.5625
attention_mean_w8,14,32,0.20563540512353287,0.08342597679871637,0.8043359792984915,0.8655635381236593,0.10547778860752866,-0.07945235871261638,0.21875
attention_mean_w8,27,32,0.10002252321753835,0.06799330348177726,0.2347404680683154,0.31004969012417405,0.20842444187813636,0.027153219417390184,0.5625
contribution_ema_w1,-1,96,0.0957257139053123,0.05355650090237161,0.2609625011920967,0.8480655383997399,0.14225254659640177,0.009470093654131565,0.71875
