task,method,width,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
gov_report,fisher_rademacher_vjp_innovation_state,16,1,14,0.7142857142857144,0.7295918367346939,0.21428571428571427,0.11035148670325111,-0.1428571428571428,-0.056122448979591844,-0.07142857142857142,-0.07479229168136757
gov_report,fisher_rademacher_vjp_innovation_state,16,2,14,0.6309523809523809,0.7270408163265306,0.21428571428571427,0.060590854220052545,-0.16666666666666666,-0.058673469387755084,-0.07142857142857142,-0.025031659198169017
gov_report,fisher_rademacher_vjp_innovation_state,16,4,14,0.5833333333333334,0.6964285714285714,0.21428571428571427,0.09746325410512902,-0.16666666666666666,-0.08928571428571429,-0.07142857142857142,-0.061904059083245484
gov_report,fisher_rademacher_vjp_innovation_state,16,8,14,0.6547619047619049,0.7397959183673468,0.07142857142857142,0.17387596986798398,-0.03571428571428564,-0.04591836734693878,-0.21428571428571427,-0.13831677484610047
gov_report,fisher_rademacher_vjp_repeated_state,4,1,14,0.6071428571428572,0.691326530612245,0.21428571428571427,0.14587636791053157,-0.25,-0.0943877551020408,-0.07142857142857142,-0.11031717288864808
gov_report,fisher_rademacher_vjp_repeated_state,4,2,14,0.7261904761904763,0.747448979591837,0.2857142857142857,0.13436576495147046,-0.059523809523809534,-0.038265306122448974,0.0,-0.09880656992958693
gov_report,fisher_rademacher_vjp_repeated_state,4,4,14,0.6785714285714287,0.7244897959183673,0.14285714285714285,0.19500807278379997,-0.0833333333333334,-0.061224489795918366,-0.14285714285714285,-0.15944887776191644
gov_report,fisher_rademacher_vjp_repeated_state,4,8,14,0.6309523809523812,0.7193877551020409,0.0,0.22010369362583396,-0.09523809523809518,-0.0663265306122449,-0.2857142857142857,-0.18454449860395042
gov_report,fisher_rademacher_vjp_repeated_state,8,1,14,0.642857142857143,0.7295918367346941,0.21428571428571427,0.1692777508822787,-0.1071428571428571,-0.05612244897959183,-0.07142857142857142,-0.13371855586039516
gov_report,fisher_rademacher_vjp_repeated_state,8,2,14,0.6904761904761906,0.7551020408163265,0.35714285714285715,0.0593768048200094,-0.10714285714285715,-0.030612244897959173,0.07142857142857142,-0.023817609798125864
gov_report,fisher_rademacher_vjp_repeated_state,8,4,14,0.6904761904761906,0.7346938775510203,0.21428571428571427,0.07081023041551557,-0.05952380952380948,-0.05102040816326531,-0.07142857142857142,-0.03525103539363203
gov_report,fisher_rademacher_vjp_repeated_state,8,8,14,0.7142857142857144,0.7525510204081634,0.21428571428571427,0.21541164545668848,-0.023809523809523753,-0.033163265306122465,-0.07142857142857142,-0.1798524504348049
gov_report,fisher_rademacher_vjp_repeated_state,16,1,14,0.7500000000000001,0.7423469387755103,0.2857142857142857,0.11699857289889416,-0.08333333333333326,-0.04336734693877552,0.0,-0.08143937787701065
gov_report,fisher_rademacher_vjp_repeated_state,16,2,14,0.6309523809523809,0.7372448979591837,0.21428571428571427,0.06346867149067581,-0.02380952380952378,-0.04846938775510203,-0.07142857142857142,-0.027909476468792282
gov_report,fisher_rademacher_vjp_repeated_state,16,4,14,0.6190476190476191,0.701530612244898,0.14285714285714285,0.07489396211230319,-0.1428571428571429,-0.08418367346938774,-0.14285714285714285,-0.03933476709041967
gov_report,fisher_rademacher_vjp_repeated_state,16,8,14,0.6666666666666667,0.7500000000000001,0.21428571428571427,0.1964701380268337,-0.023809523809523753,-0.03571428571428572,-0.07142857142857142,-0.16091094300495015
gov_report,hidden_l2_action,4,1,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,4,2,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,4,4,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,4,8,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,8,1,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,8,2,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,8,4,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,8,8,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,16,1,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,16,2,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,16,4,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,16,8,14,0.8095238095238096,0.7857142857142857,0.2857142857142857,0.035559195021883525,0.0,0.0,0.0,0.0
gov_report,margin_vjp_action,4,1,14,0.630952380952381,0.7423469387755102,0.2857142857142857,0.03579508846819832,-0.04761904761904761,-0.04336734693877551,0.0,-0.000235893446314798
