sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,exact_top_index,fresh_top_index,reused_top_index,top1_stale,exact_optimum_stale,harmful_stale,reuse_normalized_regret,fresh_normalized_regret,refresh_benefit,fresh_reused_spearman,fresh_exact_spearman,reused_exact_spearman,fresh_pairwise_accuracy,reused_pairwise_accuracy,pairwise_degradation,fresh_margin,reused_margin,retained_overlap,core_turnover,token_age_mean,token_age_std,recent_window_exits,retained_attention_mass,cache_occupancy,selector_score_drift,selected_core_score_margin,compressed_residual_norm_drift,compressed_sketch_l2,query_norm_drift,key_query_alignment_mean,key_query_alignment_std,attention_entropy,attention_concentration,sink_attention_mass,recent_attention_mass,core_attention_mass,layer_attention_summary_drift,action_norm_median,action_norm_spread,action_to_compressed_state_ratio,action_only_margin,cheap_rank_disagreement,top_reused_one_midpoint_shift,harmful_stale_eps_0p01,harmful_stale_eps_0p02,harmful_stale_eps_0p05,harmful_stale_eps_0p1,controlled_physical_spearman,scalar_physical_spearman,action_only_physical_spearman,fresh_physical_normalized_regret,action_only_physical_normalized_regret
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,40,8,26,0,0,0,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10321372122674913,0.10321372122674913,0.8823529411764706,0.0,722.0,408.62941646435587,0.25,0.8961908374246109,1.0,0.9023485303303176,0.4485660249294632,0.10548537263014875,165.22875182538414,0.14426220396612116,-0.012387473722601619,0.02471219103273494,2.61623052942688,0.4905385654928344,0.49410786230799975,0.27602951022185596,0.22986262747014455,0.9023485303303176,15.724665389919785,15.137324521055225,0.06344012424851579,7.937780932160566e-05,1.0234431900426744,0.0,False,False,False,False,0.8333333333333335,0.8333333333333335,0.4761904761904762,0.0,0.06718824230994157
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,48,16,26,5,5,5,False,False,False,0.0,0.0,0.0,1.0,0.8095238095238096,0.8095238095238096,0.8571428571428571,0.8571428571428571,0.0,0.014855997907781446,0.014855997907781446,0.7777777777777778,0.0,728.0,412.08736937693203,0.5,0.8273346617722076,1.0,1.3051901684938114,0.7015530405536392,0.039955964320104766,184.9328810293245,0.16795633282544037,-0.08843874610908704,0.04020109368378682,1.4136836221101021,0.7414624846932034,0.7501578318279374,0.18755856466961768,0.06228360350244495,1.3051901684938114,9.46312632312147,22.6111337190299,0.03283898658970742,1.3445598762009064e-07,0.9010604332199513,0.0,False,False,False,False,0.1666666666666667,0.1666666666666667,0.3333333333333334,1.0,0.03395305506580524
gov_report:108,gov_report,physical_replication,fixed_tau_old_core,32,64,32,26,0,0,0,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.03261561566726037,0.03261561566726037,0.6,0.0,740.0,419.00357993697384,1.0,0.7858609840443632,1.0,1.1912862046645678,0.44507813731259427,0.006437529785489946,131.3101784838779,0.019974843692696014,-0.0005499059630670915,0.014174314494299326,2.4845948635315276,0.5218083556614768,0.5387175495076557,0.21413901595563703,0.24714343453670728,1.1912862046645678,22.310910248235935,16.157365710455174,0.08103864473608584,1.503362619090405e-05,1.2653323547726907,0.0,False,False,False,False,-0.4761904761904762,-0.4761904761904762,-0.14285714285714288,1.0,0.9196850091960119
gov_report:109,gov_report,physical_replication,fixed_tau_old_core,32,32,0,0,2,2,2,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.300129475143356e-06,7.300129475143356e-06,1.0,0.0,689.0,389.61262813209737,0.0,1.0,1.0,0.0,0.4311189631909756,0.0,0.0,0.0,0.08414519164726243,0.20149295052733188,2.089214742435437,0.5324784162612013,0.0011337659367439685,0.988126197112305,0.010740036950951137,0.0,1.1855661482031827,0.32795658783246007,0.0615833409668607,4.530163441650661e-07,1.5657945473740855,0.0,False,False,False,False,0.9047619047619048,0.9047619047619048,0.9285714285714287,0.004696701367242706,0.0
gov_report:109,gov_report,physical_replication,fixed_tau_old_core,32,33,1,0,0,0,0,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.374697333953223e-05,1.374697333953223e-05,0.9844961240310077,0.0,689.75,390.044789094791,0.03125,0.5856512934297355,1.0,0.8386954013423935,0.11563665464891387,0.12865183190000115,26.413032790573677,0.15489879902084186,-0.05212682492294996,0.2915554995137804,1.989450646634225,0.4143487065702644,0.0002836389071597216,0.9954744133650811,0.004241947727759175,0.8386954013423935,0.8041229704332807,0.39523997406081934,0.03700836795015206,2.6404428112976666e-07,1.3668463896277188,0.0,False,False,False,False,0.0,0.0,0.04761904761904763,0.1095088529323556,0.1095088529323556
gov_report:109,gov_report,physical_replication,fixed_tau_old_core,32,34,2,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.3192592696350563e-06,3.3192592696350563e-06,0.9692307692307692,0.0,690.5,390.47695194466985,0.0625,0.3813106984650448,1.0,1.3648157569760078,0.30545473060099837,0.12635359278585892,27.498336028203234,0.07207049226031433,0.16170165823819652,0.18091074702475693,2.1316373087256757,0.4620720160679768,0.0005021621008373611,0.9932229713365515,0.006274866562610991,1.3648157569760078,0.8672097645497103,0.520936532391556,0.039993265519826154,2.7843623186463076e-06,1.532064692570853,0.0,False,False,False,False,-0.14285714285714288,-0.14285714285714288,-0.14285714285714288,0.3593841903289061,0.3593841903289061
gov_report:109,gov_report,physical_replication,fixed_tau_old_core,32,36,4,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5906744666030614e-05,1.5906744666030614e-05,0.9393939393939394,0.0,692.0,391.3412832809746,0.125,0.2695142329077699,1.0,1.5417326276453012,0.3904332189128705,0.20671786017918103,26.184252427897157,0.17285839993441146,0.17836297105563084,0.17056966230872048,2.0107834334882577,0.542686317810072,0.0004547840353071218,0.9915215218992438,0.008023694065448887,1.5417326276453012,1.6676284918224527,0.8783193048421861,0.07178455654341313,2.6131950813577216e-06,1.5320646925708528,0.0,False,False,False,False,0.0,0.0,0.0,0.4971165166006349,0.4971165166006349
gov_report:109,gov_report,physical_replication,fixed_tau_old_core,32,40,8,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00043826863150146306,0.00043826863150146306,0.8823529411764706,0.0,695.0,393.06996832625106,0.25,0.1914579119100944,1.0,1.703045027008859,0.19805244693487783,0.11868965140508422,23.907965793247776,0.1478252217893288,0.1860179141172624,0.20654042316826415,2.0486152024465714,0.4467019874726746,0.0008900442752668811,0.9898132824814067,0.009296673243326507,1.703045027008859,1.5842860918681545,0.7996207931213803,0.07356334095403123,0.00010053332056267391,1.7983982075602247,0.0,False,False,False,False,-0.19047619047619052,-0.19047619047619052,-0.28571428571428575,0.14091454956786242,0.14091454956786242
gov_report:109,gov_report,physical_replication,fixed_tau_old_core,32,48,16,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.6798305567948433e-09,2.6798305567948433e-09,0.7777777777777778,0.0,701.0,396.5274265419733,0.5,0.09387229534747751,1.0,1.8142638914627787,0.20161582671212613,0.1175097314094449,25.16137409943351,0.15535569467867807,0.213396124453495,0.17584219496601694,2.0157821998759076,0.45368069276994744,0.00039759867026228045,0.9935828193150712,0.0060195820146665266,1.8142638914627787,0.8720239327017848,0.5097263642921186,0.04053354111599815,1.2025332530236373e-09,1.570115953488676,0.0,False,False,False,False,0.07142857142857144,0.07142857142857144,0.09523809523809526,0.2920132186527972,0.2920132186527972
gov_report:109,gov_report,physical_replication,fixed_tau_old_core,32,64,32,0,6,6,6,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.8797497236242783e-05,2.8797497236242783e-05,0.6,0.0,713.0,403.44268490084187,1.0,0.008565377198002556,1.0,1.986679651656386,0.25705591385712256,0.13097183515642238,24.490920725311188,0.11368665366103153,0.21286444564690807,0.18090534341716386,2.055610031609924,0.47023520356868953,0.00046627629624355704,0.9914346228019975,0.008099100901758995,1.986679651656386,1.344378337442188,0.6693667550667398,0.06174576448141641,1.26601310110432e-05,1.473139127471974,0.0,False,False,False,False,0.4523809523809524,0.4523809523809524,0.4523809523809524,0.2277924435591839,0.2277924435591839
