sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,boundary,candidate_id,candidate_source,current_mask_hash,tau_mask_hash,mask_changed,controlled_exact_kl,action_only_risk,action_u_norm,action_r_norm,candidate_retained_attention_mass,adjacent_method,risk_all_old,risk_update_g,risk_update_f,risk_update_path,risk_update_gf,risk_update_gp,risk_update_fp,risk_full_fresh,risk_path_q1_only,risk_path_q3_only,risk_single_midpoint,physical_exact_kl,physical_boundary_effect_norm,physical_position_overlap
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,48,16,0,1,selector_06_fresh_core,fresh_core,45ae39c105f62bc28ce3dc49bc5bed8a06eb2d836f35250e59f3c3f9b63641f8,35523f66f14077e231cc66601f162cda1d38348bae7f2a5fc0db0e459d10a1a1,True,0.0003165620065977907,0.00013046016099286896,1.255969613918668,1.776132945685787,0.967464322232445,mx.vjp_of_vjp,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.0001397974152886698,0.8024317385419726,1.3051825149737812,0.16363636363636364
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,48,16,0,1,selector_07_random_reference,random_reference,6e466ff5c5189ae3dbb5c3d9a9e90b3f6a67361c9718049b9835139e42fdf8b7,6e10e30630032fee2099bb51ec33cbb03da5d7b56c19b6c72d9496378feba641,True,0.0002572380069906354,8.91159379381986e-05,1.4983112305480855,2.0742340008069533,0.9704520139390516,mx.vjp_of_vjp,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,8.084325207153106e-05,1.1819520869453202,0.6564980763069618,0.19626168224299065
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_00_attention_only,attention_only,188cd25784c27b4253b6178a5a1398c1ddb33227af29d32082c27efb9e41c826,398022b52fd7cb30d4ea575c37928fb0a731a25a55f91e3ac5a904cd2b80594b,True,0.003191169354323004,0.00018388784604889014,1.2405814099561279,1.8962254663357934,0.9833983715661071,mx.vjp_of_vjp,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.0017137696215297673,0.06740634919184756,0.521150562323729,0.2549019607843137
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_01_aov,aov,c6f697dcf6250d5833db6523ef356a0e1c6488624c30d37a4f8c2b53352a9d67,be15521c0a115b27d4268db36074748b157e0800a58b3b50ca48aeb709dffa60,True,0.0031932744256483667,0.00018413034503988196,1.2435114178064834,1.9019590124032408,0.9845232957676394,mx.vjp_of_vjp,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.001716483378184588,0.06798138854852975,0.5247815914008774,0.26108374384236455
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_02_aor,aor,7d97ac33a3bb03677740303ceeccdc11d484181e7260e03b00e6800947b84d78,8ea9fc25daeea49323331eafed8a07d7d270a58178fe292f6510dd7b41ace78d,True,0.003264204101599633,0.00019036456634604552,1.2454375938766626,1.909540865575773,0.9845232957676394,mx.vjp_of_vjp,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.0017852932062205624,0.2493803589704225,0.16696410266375553,0.17972350230414746
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_03_v_ridge,v_ridge,7ea19610c286b68f1113ddda7866887224ceea61d4ab3ed16ed200d80fd4504d,1842d3ff6a1feb37e8a34eb9ce72a9fb99c76f3ced0d399a90b3e13b33720fd0,True,0.003552806763863941,0.00022887660007297163,1.2871731842771506,1.9663097741969338,0.9848151169552156,mx.vjp_of_vjp,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.0020801005402559278,0.05235179555672677,0.5743168581361203,0.2736318407960199
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_04_snapkv,snapkv,db2d7f1d95770181b54bae66e54eb2df45817cac02ea8d0676cad695ac1b15ef,8e25930544a0ddbaeb216792677299f56ec1fac604fb53f2941b4e8a0734d16b,True,0.0035193318295829445,0.000222871774340464,1.2601802487619376,1.9196780030185863,0.9861849220908029,mx.vjp_of_vjp,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.0020417008276649258,0.09116650797800054,0.5862832801524368,0.3333333333333333
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_05_old_stale_core,old_stale_core,bd21c2ee2031a7b86ff0b5d5af389b844588d3c578afefee7580298b1412cdef,8cb1316ede9098e8f91366572e5449c6b0b7ce8ca5ffe089a4ff540882794d62,True,0.004700712141945489,0.000396776469510451,1.2516058111731676,2.003507489052628,0.9836763737120382,mx.vjp_of_vjp,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.0032035287226067233,0.2720942695329072,0.0,1.0
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_06_fresh_core,fresh_core,1c880138cf06106265c8c2bfcf4b304e7639509425cf6411028ba6fff82e1466,35523f66f14077e231cc66601f162cda1d38348bae7f2a5fc0db0e459d10a1a1,True,0.003376417708382465,0.00021056742024798,1.2472040753423295,1.9063779379312775,0.9828896319939322,mx.vjp_of_vjp,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.0018965077197997066,0.08050206049757691,0.5267637389351896,0.16363636363636364
synthetic_niah_109,niah_single_1,physical_replication,fixed_tau_old_core,32,64,32,0,1,selector_07_random_reference,random_reference,b3fbbf5cad5af1c5e733010ba6fde76a6513e90df6ec3c4dd445ccf62355a7e1,6e10e30630032fee2099bb51ec33cbb03da5d7b56c19b6c72d9496378feba641,True,0.006130980774489897,0.0008442302882383688,1.143771393457289,1.8600343085478352,0.9839763326273919,mx.vjp_of_vjp,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.004606925084609076,0.1293487933788963,0.23239148072061694,0.19626168224299065
