sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,protected_attention_rescue_m8_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:19,gov_report,16,16,0.12755568325519562,0.13122965395450592,False,False,-0.0036739706993103027,non_tail,unchanged
gov_report:18,gov_report,16,7,0.00035758386366069317,0.003886749502271414,False,False,-0.0035291656386107206,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,6,0.005156303755939007,0.008615939877927303,False,False,-0.0034596361219882965,non_tail,unchanged
gov_report:18,gov_report,32,7,1.0808409452438354,1.0838032960891724,False,False,-0.002962350845336914,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,12,0.014981101267039776,0.01788886822760105,False,False,-0.0029077669605612755,non_tail,unchanged
gov_report:18,gov_report,16,3,0.09573529660701752,0.09851875901222229,False,False,-0.002783462405204773,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,8,0.0044226376339793205,0.007055073510855436,False,False,-0.002632435876876116,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,14,0.12740270793437958,0.12998394668102264,False,False,-0.0025812387466430664,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,16,0.022396303713321686,0.024848295375704765,False,False,-0.0024519916623830795,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,3,0.02418491616845131,0.026455864310264587,False,False,-0.002270948141813278,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,11,0.0057530393823981285,0.00780839566141367,False,False,-0.002055356279015541,non_tail,unchanged
gov_report:20,gov_report,48,16,0.012926465831696987,0.014924375340342522,False,False,-0.0019979095086455345,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,7,0.0012268777936697006,0.003183747176080942,False,False,-0.0019568693824112415,non_tail,unchanged
gov_report:18,gov_report,32,5,0.013529650866985321,0.015430344268679619,False,False,-0.0019006934016942978,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,8,0.007416685577481985,0.009199811145663261,False,False,-0.0017831255681812763,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,2,0.0035417687613517046,0.0052904910407960415,False,False,-0.0017487222794443369,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,12,0.030434105545282364,0.032055873423814774,False,False,-0.0016217678785324097,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,1,0.0026776990853250027,0.004214852582663298,False,False,-0.001537153497338295,non_tail,unchanged
gov_report:19,gov_report,32,5,0.008460828103125095,0.009961373172700405,False,False,-0.0015005450695753098,non_tail,unchanged
synthetic_niah_19,niah_single_1,48,11,0.09622405469417572,0.09752852469682693,False,False,-0.0013044700026512146,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,9,0.0022236364893615246,0.0034498346503823996,False,False,-0.001226198161020875,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,12,0.023177292197942734,0.024389298632740974,False,False,-0.0012120064347982407,non_tail,unchanged
gov_report:19,gov_report,48,15,0.058036934584379196,0.05921623483300209,False,False,-0.0011793002486228943,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,8,0.0028864264022558928,0.003803722793236375,False,False,-0.0009172963909804821,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,6,0.003476060228422284,0.0043023815378546715,False,False,-0.0008263213094323874,non_tail,unchanged
gov_report:20,gov_report,48,5,0.13651299476623535,0.1373346447944641,False,False,-0.0008216500282287598,non_tail,unchanged
gov_report:19,gov_report,32,2,0.004396187141537666,0.00521113770082593,False,False,-0.0008149505592882633,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,16,0.020769914612174034,0.02157832682132721,False,False,-0.0008084122091531754,non_tail,unchanged
gov_report:20,gov_report,32,8,0.0029757467564195395,0.0035194361116737127,False,False,-0.0005436893552541733,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,11,0.012414364144206047,0.01274558063596487,False,False,-0.0003312164917588234,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,15,0.0006015354301780462,0.0009027851046994328,False,False,-0.0003012496745213866,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,2,0.00042508289334364235,0.0007226131274364889,False,False,-0.0002975302340928465,non_tail,unchanged
gov_report:20,gov_report,48,13,0.005191546864807606,0.005455811973661184,False,False,-0.00026426510885357857,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,7,0.000534182705450803,0.0007876424351707101,False,False,-0.00025345972971990705,non_tail,unchanged
gov_report:19,gov_report,32,12,1.157345741376048e-05,0.0002588349743746221,False,False,-0.0002472615169608616,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,5,0.0028503297362476587,0.003095455002039671,False,False,-0.0002451252657920122,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,4,0.001014583045616746,0.0012219465570524335,False,False,-0.00020736351143568754,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,3,0.0015040781581774354,0.0016977478517219424,False,False,-0.00019366969354450703,non_tail,unchanged
gov_report:20,gov_report,16,2,0.0042219203896820545,0.004410807508975267,False,False,-0.0001888871192932129,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,12,0.004606970585882664,0.004786341451108456,False,False,-0.00017937086522579193,non_tail,unchanged
synthetic_niah_19,niah_single_1,32,1,0.0012618901673704386,0.0014385347021743655,False,False,-0.00017664453480392694,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,1,0.000752204388845712,0.0009202289511449635,False,False,-0.00016802456229925156,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,10,0.0006339083192870021,0.0007919574272818863,False,False,-0.00015804910799488425,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,6,0.0001494046882726252,0.00029168216860853136,False,False,-0.00014227748033590615,non_tail,unchanged
gov_report:19,gov_report,16,13,0.008792879059910774,0.008927631191909313,False,False,-0.00013475213199853897,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,8,1.8960776287713088e-05,0.00013867866073269397,False,False,-0.00011971788444498088,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,10,0.00022895146685186774,0.00034553284058347344,False,False,-0.00011658137373160571,non_tail,unchanged
gov_report:20,gov_report,16,16,1.9780147340497933e-05,0.00012329677701927722,False,False,-0.00010351662967877928,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,16,0.00042084907181560993,0.0005160982836969197,False,False,-9.524921188130975e-05,non_tail,unchanged
gov_report:20,gov_report,16,15,1.8046818013317534e-06,9.67185478657484e-05,False,False,-9.491386606441665e-05,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,3,0.0001327568752458319,0.00022187273134477437,False,False,-8.911585609894246e-05,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,5,5.4181400628294796e-05,0.00012763190898112953,False,False,-7.345050835283473e-05,non_tail,unchanged
gov_report:20,gov_report,16,8,1.838419166233507e-06,6.821501301601529e-05,False,False,-6.637659384978178e-05,non_tail,unchanged
gov_report:18,gov_report,16,14,6.441579171223566e-05,0.00012709182919934392,False,False,-6.267603748710826e-05,non_tail,unchanged
gov_report:20,gov_report,16,7,0.00015448583872057498,0.00019263608555775136,False,False,-3.815024683717638e-05,non_tail,unchanged
gov_report:19,gov_report,16,9,0.001595633919350803,0.001625283621251583,False,False,-2.96497019007802e-05,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,2,5.0006743549602106e-05,7.726891635684296e-05,False,False,-2.726217280724086e-05,non_tail,unchanged
gov_report:20,gov_report,32,2,0.00010833241685759276,0.000130858548800461,False,False,-2.2526131942868233e-05,non_tail,unchanged
gov_report:19,gov_report,32,10,3.185954119544476e-05,4.88750338263344e-05,False,False,-1.701549263088964e-05,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,2,0.001720293308608234,0.0017370276618748903,False,False,-1.67343532666564e-05,non_tail,unchanged
gov_report:19,gov_report,32,14,5.6738466810202226e-05,7.32546832296066e-05,False,False,-1.6516216419404373e-05,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,4,3.975609797635116e-05,5.3448897233465686e-05,False,False,-1.369279925711453e-05,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,1,1.6354195395251736e-05,2.5628214643802494e-05,False,False,-9.274019248550758e-06,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,6,0.005411322694271803,0.00542044872418046,False,False,-9.126029908657074e-06,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,1,4.006925792054972e-06,8.727343811187893e-06,False,False,-4.7204180191329215e-06,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,6,2.86540898741805e-06,4.583696863846853e-06,False,False,-1.7182878764288034e-06,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,3,2.565366685303161e-06,3.7894276374572655e-06,False,False,-1.2240609521541046e-06,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,2,1.6917659877435653e-06,2.844131131496397e-06,False,False,-1.1523651437528315e-06,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,9,2.6455043666828715e-07,1.1293070656392956e-06,False,False,-8.647566289710085e-07,non_tail,unchanged
gov_report:19,gov_report,32,6,1.8801476926455507e-06,2.5036686110979645e-06,False,False,-6.235209184524138e-07,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,5,3.742387661986868e-06,4.283267116989009e-06,False,False,-5.408794550021412e-07,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,15,4.040481144329533e-06,4.565097242448246e-06,False,False,-5.246160981187131e-07,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,11,1.462383778516596e-07,6.128794893811573e-07,False,False,-4.666411115294977e-07,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,10,4.124423469420435e-07,8.192344580493227e-07,False,False,-4.067921111072792e-07,non_tail,unchanged
gov_report:19,gov_report,32,9,4.718545824289322e-05,4.756934868055396e-05,False,False,-3.838904376607388e-07,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,5,6.143828272797691e-07,9.662090860729222e-07,False,False,-3.518262587931531e-07,non_tail,unchanged
