sample_id,task,ri_fraction_a,ri_count_a,type_i_a,type_ii_a,entries_a,ri_fraction_b,ri_count_b,type_i_b,type_ii_b,entries_b
synthetic_niah_200,niah_single_1,0.0,0,0,0,318,0.11320754716981132,36,0,36,318
synthetic_niah_201,niah_single_1,0.0,0,0,0,321,0.1277258566978193,41,0,41,321
synthetic_niah_202,niah_single_1,0.0,0,0,0,332,0.1355421686746988,45,0,45,332
synthetic_niah_203,niah_single_1,0.0,0,0,0,302,0.1291390728476821,39,0,39,302
synthetic_niah_204,niah_single_1,0.0,0,0,0,325,0.12307692307692308,40,0,40,325
synthetic_niah_205,niah_single_1,0.0,0,0,0,327,0.12232415902140673,40,0,40,327
synthetic_niah_206,niah_single_1,0.0,0,0,0,306,0.13071895424836602,40,0,40,306
synthetic_niah_207,niah_single_1,0.0,0,0,0,359,0.1392757660167131,50,0,50,359
synthetic_niah_208,niah_single_1,0.0,0,0,0,331,0.09365558912386707,31,0,31,331
synthetic_niah_209,niah_single_1,0.0,0,0,0,323,0.13003095975232198,42,0,42,323
synthetic_niah_210,niah_single_1,0.0,0,0,0,304,0.10526315789473684,32,0,32,304
