method,method_family,causal,learned,rollout,counterfactual,future_horizon,future_recall,oracle_gap_recovery,recovery_ci_low,recovery_ci_high,spearman,pairwise_accuracy,ndcg,sequence_win_rate,closed_loop_kl,task_score,runtime_multiplier,peak_memory,test_split
feature_ridge_D_qk_geometry,feature_ablation,True,True,False,False,16,0.7083051497113997,-0.06013631708660473,-0.08028586275038346,-0.03909495061522437,0.7828030908395638,0.8047020012852963,0.8125124265630094,0.14285714285714285,,,1.0099634863124831,,validation
feature_ridge_F_current_state,feature_ablation,True,True,False,False,16,0.7061744678932178,-0.06141992660814449,-0.08150483206901846,-0.04048888689077542,0.7796525473196874,0.8027924240445841,0.8122630466068828,0.14285714285714285,,,1.0093583488896274,,validation
feature_ridge_H_query_trajectory,feature_ablation,True,True,False,False,16,0.7063018578643578,-0.06175004773838414,-0.08190384154154252,-0.040597541303381675,0.7799088422876873,0.8028719325639171,0.8123227650327882,0.09523809523809523,,,1.0100661057370068,,validation
ridge,classical_predictor,True,True,False,False,16,0.7059016504329004,-0.06727511321621334,-0.08785640514806424,-0.04572657235209479,0.7791789692834586,0.802348003626262,0.812116445497376,0.047619047619047616,,,1.007011790946794,,validation
feature_ridge_I_global_full,feature_ablation,True,True,False,False,16,0.7057765151515151,-0.0675291505026072,-0.08834565386843553,-0.04597745519255795,0.779142978182441,0.802332669089633,0.812078575303059,0.047619047619047616,,,1.0098951507652814,,validation
feature_ridge_C_token_key,feature_ablation,True,True,False,False,16,0.704985119047619,-0.08064241389832569,-0.10518432973525545,-0.055944047551496213,0.7784194854320419,0.8022978816173488,0.8107558831917151,0.047619047619047616,,,1.0109020812288032,,validation
temporal_gru_utility,temporal_predictor,True,True,False,False,16,0.6671807359307359,-0.08602672998964017,-0.12410323803982631,-0.04920675758175692,0.7677693918806876,0.7973102376346339,0.7872920367308951,0.14285714285714285,,,1.2075454141902633,,validation
history_logistic,classical_predictor,True,True,False,False,16,0.7066907918470418,-0.08831938244412722,-0.11142664191404565,-0.06482157174136347,0.7831942512845602,0.8051300886664502,0.7786370134304686,0.09523809523809523,,,1.009092172660515,,validation
CAUSAL_EXPENSIVE_ROLLOUT_R1_FULL_SHADOW,rollout,True,False,True,False,32,0.9599724927849929,0.9435152124840175,0.9004877629320847,0.9793008651510765,0.9879305250598277,0.9736656505295402,0.9881182286573249,1.0,,,32.87446191846058,6369910200.0,validation
CAUSAL_EXPENSIVE_ROLLOUT_R2_PREFIX_RECOMPUTE,rollout,True,False,True,False,32,0.9550978535353535,0.9371992176335934,0.8959464755222603,0.9728198891541576,0.9854778872886372,0.9698743420119992,0.9866666054591052,1.0,,,74.2750082615024,7392910960.0,validation
feature_gbdt_I_global_full,feature_ablation,True,True,False,False,32,0.7258477633477634,0.1901381575053052,0.14774706959802592,0.23345783104399898,0.7897106924805085,0.8063443630491637,0.7039498389539707,1.0,,,1.02849576301586,,validation
hist_gbdt,classical_predictor,True,True,False,False,32,0.7258477633477634,0.1901381575053052,0.14774706959802592,0.23345783104399898,0.7897106895421169,0.8063443630491637,0.7039493469058037,1.0,,,3.870713552185772,,validation
feature_gbdt_F_current_state,feature_ablation,True,True,False,False,32,0.7232627615440116,0.16676639287374162,0.12740655357432548,0.20693093951899494,0.7887309328052746,0.8056374182456322,0.7067540702994777,0.9523809523809523,,,1.0293993301623414,,validation
feature_gbdt_H_query_trajectory,feature_ablation,True,True,False,False,32,0.7221613455988456,0.16618811894620017,0.12771296109476157,0.20603882658051248,0.7873777244450011,0.8049795089172322,0.7049043840649339,0.9523809523809523,,,1.028833038526692,,validation
feature_gbdt_E_value_state,feature_ablation,True,True,False,False,32,0.7213327471139971,0.16202595272925988,0.12036853956861017,0.20527742157826467,0.7850745871368299,0.803460952465963,0.7187518683216185,0.9523809523809523,,,1.0309086224396742,,validation
feature_gbdt_D_qk_geometry,feature_ablation,True,True,False,False,32,0.7210847312409813,0.1473251150483918,0.10822477743119428,0.18748491774114256,0.7848293722669583,0.8035997387146443,0.7242629140601142,0.9523809523809523,,,1.0630019190215048,,validation
feature_gbdt_C_token_key,feature_ablation,True,True,False,False,32,0.7196744227994228,0.1320910234219947,0.09475491432165453,0.1709225357380593,0.7814614519351908,0.8015786995791465,0.7073761293745435,1.0,,,1.098336329889172,,validation
rollout_distilled_mlp,rollout_distillation,True,True,False,False,32,0.7110141594516594,0.11337247841227002,0.08023100629900852,0.14704716579713628,0.7721175335862576,0.7973118148395557,0.8020582867052801,1.0,,,1.0166457217139035,,validation
temporal_gru,temporal_predictor,True,True,False,False,32,0.7088147095959595,0.08599938514487009,0.05152488666612013,0.11939018651596603,0.7701358002241143,0.7965474715746104,0.7608639107410748,0.8571428571428571,,,1.2075373690079638,,validation
deepsets,set_predictor,True,True,False,False,32,0.7089894480519481,0.08517242021508035,0.05319803435270447,0.11497522418424819,0.7735396569518906,0.7991150510981699,0.8176202116110949,0.8571428571428571,,,1.0957631366500378,,validation
query_conditioned_mlp,tokenwise_neural,True,True,False,False,32,0.7076614357864358,0.0843960508865777,0.04951832366269982,0.12060373223766696,0.7704028560436849,0.7965319104012101,0.7949836518862328,0.8571428571428571,,,1.0791648111878256,,validation
rollout_distilled_mlp_utility,rollout_distillation,True,True,False,False,32,0.6952302038239538,0.04383319150102262,0.024791970019855863,0.06311190419655294,0.7343736070382635,0.778880792218578,0.8126775413669092,0.8571428571428571,,,1.0166457217139035,,validation
deepsets_utility,set_predictor,True,True,False,False,32,0.694462481962482,0.02948513819339534,0.0017055401417263329,0.0552970035743965,0.7580447395982253,0.7919662349415426,0.8083448060287339,0.7142857142857143,,,1.0957720467999723,,validation
best_per_head_fixed_ema,fixed,True,False,False,False,32,0.6973710317460319,0.0,0.0,0.0,0.7678692712478337,0.7970828831362347,0.8052966342947478,0.0,,,1.0,,validation
query_conditioned_mlp_utility,tokenwise_neural,True,True,False,False,32,0.6888528138528138,-0.002434601759429077,-0.022526021457128446,0.017730047198921614,0.7554393794690866,0.790026667642028,0.8059894467586249,0.5238095238095238,,,1.0791724825204851,,validation
