comparison,split,task,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
recursive_vs_action,evaluation,gov_report,16,42,1.0,372,4,-0.026086956521739146,-0.00927224559763129,-0.026881720430107527,-0.03658489010480767
recursive_vs_action,evaluation,gov_report,32,42,0.5,372,4,-0.010870794351669849,-0.006496415770609322,0.002688172043010753,-0.001485012142500004
recursive_vs_action,evaluation,gov_report,32,42,0.8,372,4,-0.010434782608695653,-0.00647693626305127,0.005376344086021506,-0.010376876306948174
recursive_vs_action,evaluation,gov_report,32,42,0.95,372,4,-0.019130434782608702,-0.00970079476390837,0.002688172043010753,-0.02896289711095174
recursive_vs_action,evaluation,gov_report,32,42,1.0,372,4,-0.020869565217391292,-0.009408602150537633,-0.008064516129032258,-0.02358765815870646
recursive_vs_action,evaluation,gov_report,64,42,0.5,372,4,-0.012610113884033727,-0.004110176094748323,-0.010752688172043012,-0.016577634821441378
recursive_vs_action,evaluation,gov_report,64,42,0.8,372,4,-0.012173913043478202,-0.0053958235935795545,-0.005376344086021506,-0.0018297562889510093
recursive_vs_action,evaluation,gov_report,64,42,0.95,372,4,-0.014349338867607036,-0.008132694405485431,-0.010752688172043012,-0.017159755549491167
recursive_vs_action,evaluation,gov_report,64,42,1.0,372,4,-0.020000000000000004,-0.008736559139784944,-0.002688172043010753,-0.016224781879141212
recursive_vs_action,evaluation,gov_report,128,42,0.5,372,4,-0.009131380270515268,-0.0029121863799283134,-0.021505376344086023,-0.0064502768830354456
recursive_vs_action,evaluation,gov_report,128,42,0.8,372,4,-0.013046314724589309,-0.004772479351721987,-0.016129032258064516,-0.005870781903869359
recursive_vs_action,evaluation,gov_report,128,42,0.95,372,4,-0.020434782608695634,-0.009281985351410314,-0.026881720430107527,-0.010763597380760773
recursive_vs_action,evaluation,gov_report,128,42,1.0,372,4,-0.024347826086956514,-0.009846891070593732,-0.02956989247311828,-0.008842139689680461
recursive_vs_action,evaluation,niah_single_1,16,42,0.5,372,4,-0.010437051779671427,-0.008853436185133243,-0.016129032258064516,-0.02891727919230803
recursive_vs_action,evaluation,niah_single_1,16,42,0.8,372,4,-0.019132514856003202,-0.016362786348761104,-0.016129032258064516,-0.019764079486864407
recursive_vs_action,evaluation,niah_single_1,16,42,0.95,372,4,-0.03130434782608693,-0.024612357799594833,-0.024193548387096774,-0.03893416725626272
recursive_vs_action,evaluation,niah_single_1,16,42,1.0,372,4,-0.03652173913043484,-0.029053685522829983,-0.024193548387096774,-0.05421842029233887
recursive_vs_action,evaluation,niah_single_1,32,42,0.5,372,4,-0.014349338867607087,-0.011171497584541059,-0.002688172043010753,-0.009887143087483318
recursive_vs_action,evaluation,niah_single_1,32,42,0.8,372,4,-0.02260869565217393,-0.017122487143525007,-0.002688172043010753,-0.01586949411045193
recursive_vs_action,evaluation,niah_single_1,32,42,0.95,372,4,-0.028708144841570964,-0.02617071840423874,-0.021505376344086023,-0.03968805761270368
recursive_vs_action,evaluation,niah_single_1,32,42,1.0,372,4,-0.03261219395742826,-0.03044647031323048,-0.03763440860215054,-0.04712982054118573
recursive_vs_action,evaluation,niah_single_1,64,42,0.5,372,4,-0.0065217391304348005,-0.006632772323515659,-0.010752688172043012,-0.010601501765124123
recursive_vs_action,evaluation,niah_single_1,64,42,0.8,372,4,-0.0056527412057874316,-0.009915069347046904,-0.024193548387096774,-0.01599099736259892
recursive_vs_action,evaluation,niah_single_1,64,42,0.95,372,4,-0.018260869565217455,-0.01669393797724793,-0.03494623655913978,-0.02847414338188366
recursive_vs_action,evaluation,niah_single_1,64,42,1.0,372,4,-0.02217391304347832,-0.021174224715599186,-0.03494623655913978,-0.036014875920101316
recursive_vs_action,evaluation,niah_single_1,128,42,0.5,372,4,-0.00608761836327381,-0.005386083839800527,-0.002688172043010753,-0.00491753550717866
recursive_vs_action,evaluation,niah_single_1,128,42,0.8,372,4,-0.01652173913043477,-0.009369643135421534,-0.013440860215053764,-0.005914682873664199
recursive_vs_action,evaluation,niah_single_1,128,42,0.95,372,4,-0.02086956521739125,-0.016674458469689884,-0.024193548387096774,-0.026421230693532825
recursive_vs_action,evaluation,niah_single_1,128,42,1.0,372,4,-0.023478260869565185,-0.01941132928159576,-0.024193548387096774,-0.03559911083345546
recursive_vs_action,replication,all,16,42,0.5,744,8,-0.0134839393548642,-0.008785257908680068,-0.012096774193548387,-0.024145725231085387
recursive_vs_action,replication,all,16,42,0.8,744,8,-0.0269594527516408,-0.01394245753467352,-0.01881720430107527,-0.03325246923576781
recursive_vs_action,replication,all,16,42,0.95,744,8,-0.033931494942873994,-0.02073593579554309,-0.01881720430107527,-0.03860525300207239
recursive_vs_action,replication,all,16,42,1.0,744,8,-0.04175730158773956,-0.024665926445379464,-0.024193548387096774,-0.04485696531246229
recursive_vs_action,replication,all,32,42,0.5,744,8,-0.009565217391304337,-0.00879012778556958,-0.021505376344086023,-0.013311894702026737
recursive_vs_action,replication,all,32,42,0.8,744,8,-0.013054835231467665,-0.011765622565061555,-0.020161290322580645,-0.023650194577422633
recursive_vs_action,replication,all,32,42,0.95,744,8,-0.029565217391304327,-0.018612669471715755,-0.01881720430107527,-0.01688644075481548
recursive_vs_action,replication,all,32,42,1.0,744,8,-0.0395694720868839,-0.022552399875331156,-0.021505376344086023,-0.02205279459187934
