name,family,specification,auroc,auprc,order,feature_count,harmful_recall,refresh_coverage,missed_normalized_regret,missed_event_count,harmful_event_count,task_recall
token_age_mean_lt_674.45,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 674.45}",0.4115144639818491,0.4333694456699145,0,1,0.07317073170731707,0.10714285714285714,0.6302651217945145,38,41,"{""gov_report"": 0.16666666666666666, ""niah_single_1"": 0.0}"
token_age_mean_lt_678.5,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 678.5}",0.4115144639818491,0.4333694456699145,0,1,0.0975609756097561,0.14285714285714285,0.6255656454121831,37,41,"{""gov_report"": 0.2222222222222222, ""niah_single_1"": 0.0}"
token_age_mean_lt_684.5,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 684.5}",0.4115144639818491,0.4333694456699145,0,1,0.14634146341463414,0.17857142857142858,0.5952256330221551,35,41,"{""gov_report"": 0.3333333333333333, ""niah_single_1"": 0.0}"
token_age_mean_lt_706.625,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 706.625}",0.4115144639818491,0.4333694456699145,0,1,0.24390243902439024,0.25,0.5187262220324037,31,41,"{""gov_report"": 0.5555555555555556, ""niah_single_1"": 0.0}"
token_age_mean_lt_710.75,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 710.75}",0.4115144639818491,0.4333694456699145,0,1,0.24390243902439024,0.2857142857142857,0.5187262220324037,31,41,"{""gov_report"": 0.5555555555555556, ""niah_single_1"": 0.0}"
token_age_mean_lt_711.575,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 711.575}",0.4115144639818491,0.4333694456699145,0,1,0.2926829268292683,0.35714285714285715,0.4760747039353965,29,41,"{""gov_report"": 0.6666666666666666, ""niah_single_1"": 0.0}"
token_age_mean_lt_716,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 716.0}",0.4115144639818491,0.4333694456699145,0,1,0.2926829268292683,0.39285714285714285,0.4760747039353965,29,41,"{""gov_report"": 0.6666666666666666, ""niah_single_1"": 0.0}"
token_age_mean_lt_722,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 722.0}",0.4115144639818491,0.4333694456699145,0,1,0.34146341463414637,0.42857142857142855,0.44987751965703004,27,41,"{""gov_report"": 0.7777777777777778, ""niah_single_1"": 0.0}"
token_age_mean_lt_836,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 835.9999999999985}",0.4115144639818491,0.4333694456699145,0,1,0.43902439024390244,0.5,0.38736335417755957,23,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.0}"
token_age_mean_lt_938.75,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 938.75}",0.4115144639818491,0.4333694456699145,0,1,0.43902439024390244,0.5357142857142857,0.38736335417755957,23,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.0}"
token_age_mean_lt_939.5,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 939.5}",0.4115144639818491,0.4333694456699145,0,1,0.5121951219512195,0.5714285714285714,0.3498985687600138,20,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.13043478260869565}"
token_age_mean_lt_940.2125,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 940.2125}",0.4115144639818491,0.4333694456699145,0,1,0.5609756097560976,0.6428571428571429,0.316496975818312,18,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.21739130434782608}"
token_age_mean_lt_941,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 941.0}",0.4115144639818491,0.4333694456699145,0,1,0.6341463414634146,0.6785714285714286,0.287593470491033,15,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.34782608695652173}"
token_age_mean_lt_941.375,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 941.375}",0.4115144639818491,0.4333694456699145,0,1,0.7073170731707317,0.75,0.24166734152790448,12,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.4782608695652174}"
token_age_mean_lt_944,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 944.0}",0.4115144639818491,0.4333694456699145,0,1,0.7560975609756098,0.7857142857142857,0.20478122911403265,10,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.5652173913043478}"
token_age_mean_lt_945.5,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 945.5}",0.4115144639818491,0.4333694456699145,0,1,0.8048780487804879,0.8214285714285714,0.15610095726364293,8,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.6521739130434783}"
token_age_mean_lt_951.05,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 951.05}",0.4115144639818491,0.4333694456699145,0,1,0.8536585365853658,0.8928571428571429,0.11375587484000346,6,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.7391304347826086}"
