stage,score,overall_spearman,gov_report_spearman,niah_spearman,pairwise_accuracy,positive_sequence_fraction,top1_accuracy,normalized_regret,gov_report_regret,niah_regret
scope_budget,probe_b18_path_k1_risk,0.9345238095238095,0.9404761904761905,0.9285714285714286,0.9196428571428571,1.0,0.75,3.934933943100602e-05,0.0,7.869867886201204e-05
scope_budget,probe_b27_risk,0.9821428571428572,0.9761904761904763,0.9880952380952381,0.9732142857142857,1.0,1.0,0.0,0.0,0.0
scope_budget,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
scope_history_anchor,action_only_risk,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9553571428571428,1.0,0.5,3.3266382858905994e-07,6.653276571781199e-07,0.0
scope_history_anchor,adjacent_only_risk,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9553571428571428,1.0,0.5,3.3266382858905994e-07,6.653276571781199e-07,0.0
scope_history_anchor,probe_b18_path_k1_risk,0.9583333333333334,0.9404761904761905,0.9761904761904763,0.9464285714285714,1.0,0.75,1.6326739941416088e-07,3.2653479882832176e-07,0.0
scope_history_anchor,probe_b27_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
scope_history_anchor,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
scope_candidate_pool,action_only_risk,0.898809523809524,0.8333333333333335,0.9642857142857144,0.8928571428571428,1.0,0.75,8.138025802782798e-05,0.00016276051605565597,0.0
scope_candidate_pool,adjacent_only_risk,0.898809523809524,0.8333333333333335,0.9642857142857144,0.8928571428571428,1.0,0.75,8.138025802782798e-05,0.00016276051605565597,0.0
scope_candidate_pool,probe_b18_path_k1_risk,0.8928571428571429,0.8690476190476191,0.9166666666666667,0.9017857142857143,1.0,1.0,0.0,0.0,0.0
scope_candidate_pool,probe_b27_risk,0.9821428571428572,0.9642857142857144,1.0,0.9821428571428572,1.0,1.0,0.0,0.0,0.0
scope_candidate_pool,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
disagreement_calibration,action_only_risk,0.16666666666666669,-0.1428571428571429,0.4761904761904763,0.5625,0.75,0.0,0.6161941593654094,0.9880715263139002,0.2443167924169188
disagreement_calibration,adjacent_only_risk,0.29166666666666674,-0.09523809523809523,0.6785714285714287,0.6071428571428571,0.75,0.5,0.25244009000846435,0.5,0.004880180016928693
disagreement_calibration,probe_b27_path_k1_risk,0.9702380952380953,0.9523809523809526,0.9880952380952381,0.9642857142857143,1.0,0.75,0.00419567304415213,0.00839134608830426,0.0
disagreement_calibration,probe_b27_risk,0.9702380952380953,0.9523809523809526,0.9880952380952381,0.9642857142857143,1.0,0.75,0.00419567304415213,0.00839134608830426,0.0
disagreement_calibration,multi_all_endpoint_risk,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.0,0.0
disagreement_formal,action_only_risk,0.7142857142857143,0.5595238095238095,0.8690476190476191,0.8035714285714286,1.0,0.0,0.24688729180614205,0.38928567154935756,0.10448891206292651
disagreement_formal,adjacent_only_risk,0.6904761904761905,0.5595238095238095,0.8214285714285715,0.7857142857142857,1.0,0.0,0.28984353305618227,0.38928567154935756,0.190401394563007
disagreement_formal,probe_b27_path_k1_risk,0.9821428571428572,0.9642857142857144,1.0,0.9821428571428572,1.0,1.0,0.0,0.0,0.0
disagreement_formal,probe_b27_risk,0.9821428571428572,0.9642857142857144,1.0,0.9821428571428572,1.0,1.0,0.0,0.0,0.0
disagreement_formal,multi_all_endpoint_risk,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
disagreement_replication,action_only_risk,0.630952380952381,0.6666666666666667,0.5952380952380953,0.732142857142857,1.0,0.0,0.13279686773971694,0.13082327222498757,0.1347704632544463
disagreement_replication,adjacent_only_risk,0.5892857142857144,0.6666666666666667,0.511904761904762,0.7232142857142857,1.0,0.25,0.1134765851717246,0.13082327222498757,0.09612989811846163
disagreement_replication,probe_b27_path_k1_risk,0.9880952380952381,0.9761904761904763,1.0,0.9821428571428572,1.0,1.0,0.0,0.0,0.0
disagreement_replication,probe_b27_risk,0.9880952380952381,0.9761904761904763,1.0,0.9821428571428572,1.0,1.0,0.0,0.0,0.0
disagreement_replication,multi_all_endpoint_risk,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.0,0.0
