scope_type,scope_value,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,pairwise_gain_vs_action,top1_gain_vs_action,normalized_regret_gain_vs_action,normalized_regret_degradation_vs_full
task,gov_report,fisher_updated_only,0.5892857142857143,0.7946428571428571,1.0,0.75,0.0,0.4891342574224068,-0.13095238095238104,-0.0892857142857143,0.3750000000000001,0.0357142857142857,1.0,0.04650147257932936,0.0
task,gov_report,full_state_local,0.9642857142857144,0.9642857142857143,1.0,1.0,0.0,0.366882482406917,0.24404761904761907,0.2857142857142858,0.0,0.2053571428571429,1.0,0.04650147257932936,0.0
task,gov_report,gradient_fisher_updated,0.9523809523809523,0.9464285714285714,1.0,0.75,0.0,0.4362034569214096,0.23214285714285698,0.2738095238095237,0.011904761904762085,0.1875,1.0,0.04650147257932936,0.0
task,gov_report,gradient_jacobian_updated,0.9642857142857144,0.9642857142857143,1.0,1.0,0.0,0.5565159583876815,0.24404761904761907,0.2857142857142858,0.0,0.2053571428571429,1.0,0.04650147257932936,0.0
task,gov_report,gradient_updated_only,0.9285714285714286,0.9285714285714286,1.0,0.75,0.0,0.4670592536090575,0.20833333333333326,0.25,0.03571428571428581,0.1696428571428572,1.0,0.04650147257932936,0.0
task,gov_report,jacobian_fisher_updated,0.7202380952380953,0.8303571428571428,1.0,0.75,0.0,0.3564777123045507,0.0,0.04166666666666674,0.24404761904761907,0.0714285714285714,1.0,0.04650147257932936,0.0
task,gov_report,jacobian_updated_only,0.9464285714285714,0.9464285714285714,1.0,0.75,0.0,0.5096056972570329,0.22619047619047605,0.2678571428571428,0.017857142857143016,0.1875,1.0,0.04650147257932936,0.0
task,gov_report,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.4949808886085398,0.27976190476190466,0.3214285714285714,-0.03571428571428559,0.2410714285714286,1.0,0.04650147257932936,0.0
task,gov_report,p1_reference_state_fisher,0.6785714285714286,0.8214285714285714,1.0,0.75,0.0,0.43574848486142076,-0.04166666666666674,0.0,0.2857142857142858,0.0625,1.0,0.04650147257932936,0.0
task,gov_report,reference_action_fisher,0.7202380952380953,0.7589285714285714,0.0,0.375,0.04650147257932936,0.10631723593010693,0.0,0.04166666666666674,0.24404761904761907,0.0,0.0,0.0,0.04650147257932936
task,niah_single_1,fisher_updated_only,0.9285714285714286,0.9196428571428572,1.0,1.0,0.0,0.19842214499436733,0.12499999999999989,0.011904761904761862,0.0714285714285714,0.09821428571428581,1.0,0.026128154440446756,0.0
task,niah_single_1,full_state_local,1.0,1.0,1.0,1.0,0.0,0.20267474256510848,0.19642857142857129,0.08333333333333326,0.0,0.1785714285714286,1.0,0.026128154440446756,0.0
task,niah_single_1,gradient_fisher_updated,0.9583333333333335,0.9464285714285714,1.0,1.0,0.0,0.18499967499152337,0.15476190476190477,0.04166666666666674,0.04166666666666652,0.125,1.0,0.026128154440446756,0.0
task,niah_single_1,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.2036592683371728,0.19642857142857129,0.08333333333333326,0.0,0.1785714285714286,1.0,0.026128154440446756,0.0
task,niah_single_1,gradient_updated_only,0.9583333333333335,0.9464285714285714,1.0,1.0,0.0,0.18933893043609526,0.15476190476190477,0.04166666666666674,0.04166666666666652,0.125,1.0,0.026128154440446756,0.0
task,niah_single_1,jacobian_fisher_updated,0.9642857142857144,0.9464285714285714,1.0,1.0,0.0,0.20363020174349838,0.1607142857142857,0.04761904761904767,0.03571428571428559,0.125,1.0,0.026128154440446756,0.0
task,niah_single_1,jacobian_updated_only,0.9583333333333335,0.9464285714285714,1.0,1.0,0.0,0.20932963565590862,0.15476190476190477,0.04166666666666674,0.04166666666666652,0.125,1.0,0.026128154440446756,0.0
task,niah_single_1,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.20327091451516272,0.19642857142857129,0.08333333333333326,0.0,0.1785714285714286,1.0,0.026128154440446756,0.0
task,niah_single_1,p1_reference_state_fisher,0.9166666666666667,0.9107142857142858,1.0,1.0,0.0,0.20235670481233214,0.11309523809523803,0.0,0.08333333333333326,0.08928571428571441,1.0,0.026128154440446756,0.0
task,niah_single_1,reference_action_fisher,0.8035714285714287,0.8214285714285714,0.0,0.5,0.026128154440446756,0.07557505548965218,0.0,-0.11309523809523803,0.19642857142857129,0.0,0.0,0.0,0.026128154440446756
sequence,gov_report:84,fisher_updated_only,0.1785714285714286,0.5892857142857142,1.0,0.5,0.0,0.4539945943549558,-0.5000000000000001,-0.20238095238095244,0.7500000000000001,-0.14285714285714302,1.0,0.05131113565829984,0.0
