stratum_type,stratum_json,task,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,layer,history_id
layer,"{""layer"": 0}",,full_state_local,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.8313320153867173,0.08333333333333337,0.05952380952380942,0.0,0.0,
layer,"{""layer"": 0}",,gradient_fisher_updated,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.8961539538823083,0.023809523809523947,0.0,0.05952380952380942,0.0,
layer,"{""layer"": 0}",,gradient_jacobian_updated,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.8288629433347756,0.08333333333333337,0.05952380952380942,0.0,0.0,
layer,"{""layer"": 0}",,gradient_updated_only,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.8961432828093687,0.023809523809523947,0.0,0.05952380952380942,0.0,
layer,"{""layer"": 0}",,jacobian_fisher_updated,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.8361284476997137,0.023809523809523947,0.0,0.05952380952380942,0.0,
layer,"{""layer"": 0}",,jacobian_updated_only,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.8358380744824884,0.023809523809523947,0.0,0.05952380952380942,0.0,
layer,"{""layer"": 0}",,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.8064090674713366,0.09523809523809523,0.07142857142857129,-0.011904761904761862,0.0,
layer,"{""layer"": 0}",,p1_reference_state_fisher,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.9068125669593265,0.023809523809523947,0.0,0.05952380952380942,0.0,
layer,"{""layer"": 0}",,reference_action_fisher,0.9047619047619048,0.8928571428571429,1.0,1.0,0.0,0.4269284127625329,0.0,-0.023809523809523947,0.08333333333333337,0.0,
layer,"{""layer"": 14}",,fisher_updated_only,0.6666666666666667,0.7857142857142857,1.0,0.5,0.0,0.17978797346502046,0.44047619047619047,0.0,0.33333333333333326,14.0,
layer,"{""layer"": 14}",,full_state_local,1.0,1.0,1.0,1.0,0.0,0.1757311716647905,0.7738095238095237,0.33333333333333326,0.0,14.0,
layer,"{""layer"": 14}",,gradient_fisher_updated,0.8452380952380953,0.8392857142857142,1.0,0.5,0.0,0.19044204922928282,0.6190476190476191,0.1785714285714286,0.15476190476190466,14.0,
layer,"{""layer"": 14}",,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.17764210132005354,0.7738095238095237,0.33333333333333326,0.0,14.0,
layer,"{""layer"": 14}",,gradient_updated_only,0.8452380952380953,0.8392857142857142,1.0,0.5,0.0,0.1841890709074578,0.6190476190476191,0.1785714285714286,0.15476190476190466,14.0,
layer,"{""layer"": 14}",,jacobian_fisher_updated,0.9047619047619049,0.9107142857142858,1.0,1.0,0.0,0.17571852877562075,0.6785714285714286,0.23809523809523814,0.09523809523809512,14.0,
layer,"{""layer"": 14}",,jacobian_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.1915923434981603,0.75,0.30952380952380953,0.023809523809523725,14.0,
layer,"{""layer"": 14}",,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.22207803567679255,0.7738095238095237,0.33333333333333326,0.0,14.0,
layer,"{""layer"": 14}",,p1_reference_state_fisher,0.6666666666666667,0.7857142857142857,1.0,0.5,0.0,0.1792198232231879,0.44047619047619047,0.0,0.33333333333333326,14.0,
layer,"{""layer"": 14}",,reference_action_fisher,0.22619047619047625,0.5357142857142857,0.0,0.0,0.26510065276705397,0.048513385693263196,0.0,-0.44047619047619047,0.7738095238095237,14.0,
layer,"{""layer"": 26}",,fisher_updated_only,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.0733444115130443,0.19047619047619047,0.011904761904761862,0.05952380952380942,26.0,
layer,"{""layer"": 26}",,full_state_local,1.0,1.0,1.0,1.0,0.0,0.0855348346239926,0.2499999999999999,0.07142857142857129,0.0,26.0,
layer,"{""layer"": 26}",,gradient_fisher_updated,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.08192363381255718,0.23809523809523803,0.05952380952380942,0.011904761904761862,26.0,
layer,"{""layer"": 26}",,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.07796592909156595,0.2499999999999999,0.07142857142857129,0.0,26.0,
layer,"{""layer"": 26}",,gradient_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.08054197121484705,0.22619047619047616,0.04761904761904756,0.023809523809523725,26.0,
layer,"{""layer"": 26}",,jacobian_fisher_updated,0.9166666666666667,0.9107142857142858,1.0,1.0,0.0,0.07562396170412447,0.16666666666666663,-0.011904761904761973,0.08333333333333326,26.0,
layer,"{""layer"": 26}",,jacobian_updated_only,0.8928571428571429,0.8928571428571429,1.0,1.0,0.0,0.05555471401812396,0.1428571428571428,-0.03571428571428581,0.1071428571428571,26.0,
layer,"{""layer"": 26}",,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.09281544687287407,0.2499999999999999,0.07142857142857129,0.0,26.0,
