stage,score,stratum_type,stratum,sequence_count,spearman,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high,pairwise_accuracy,top1_accuracy,positive_sequence_fraction,normalized_regret,median_exact_range
calibration,relative_penultimate_exact_map_risk,model_task,qwen25_05b|vt,2,0.9642857142857144,0.9523809523809524,0.9761904761904763,0.9464285714285714,0.5,1.0,0.0010615648435727217,0.0002174658817280698
calibration,relative_penultimate_path_k1_risk,overall,all,8,0.9583333333333334,0.9226190476190477,0.9880952380952381,0.9553571428571428,0.75,1.0,0.0002757856454433196,1.0455127654607832e-05
calibration,relative_penultimate_path_k1_risk,model,llama32_1b,4,0.9583333333333334,0.8928571428571429,1.0,0.9642857142857143,1.0,1.0,0.0,2.9521194656765297e-07
calibration,relative_penultimate_path_k1_risk,model,qwen25_05b,4,0.9583333333333334,0.9226190476190476,0.9880952380952381,0.9464285714285714,0.5,1.0,0.0005515712908866392,7.521538450006815e-05
calibration,relative_penultimate_path_k1_risk,task,qmsum,4,0.9345238095238095,0.8809523809523809,0.9880952380952381,0.9375,0.75,1.0,2.078886910027823e-05,4.898126658717614e-05
calibration,relative_penultimate_path_k1_risk,task,vt,4,0.9821428571428572,0.9642857142857143,1.0,0.9732142857142858,0.75,1.0,0.0005307824217863609,9.007782274380177e-07
calibration,relative_penultimate_path_k1_risk,model_task,llama32_1b|qmsum,2,0.9166666666666667,0.8571428571428572,0.9761904761904763,0.9285714285714286,1.0,1.0,0.0,3.9194955419317084e-05
calibration,relative_penultimate_path_k1_risk,model_task,llama32_1b|vt,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.9521194656765297e-07
calibration,relative_penultimate_path_k1_risk,model_task,qwen25_05b|qmsum,2,0.9523809523809523,0.9047619047619048,1.0,0.9464285714285714,0.5,1.0,4.157773820055646e-05,7.521538450006815e-05
calibration,relative_penultimate_path_k1_risk,model_task,qwen25_05b|vt,2,0.9642857142857144,0.9523809523809524,0.9761904761904763,0.9464285714285714,0.5,1.0,0.0010615648435727217,0.0002174658817280698
formal,action_only_risk,overall,all,8,0.29166666666666674,0.10416666666666669,0.4672619047619048,0.6428571428571429,0.0,0.875,0.7322853411866025,7.715681922956213e-06
formal,action_only_risk,model,llama32_1b,4,0.28571428571428575,-0.05952380952380953,0.630952380952381,0.6160714285714285,0.0,0.75,0.56575511811056,1.7505494879836128e-06
formal,action_only_risk,model,qwen25_05b,4,0.29761904761904767,0.261904761904762,0.3511904761904763,0.6696428571428572,0.0,1.0,0.898815564262645,5.4373693013069134e-05
formal,action_only_risk,task,qmsum,4,0.4523809523809525,0.27380952380952384,0.630952380952381,0.7142857142857144,0.0,1.0,0.6103070501630313,7.3299627944123454e-06
formal,action_only_risk,task,vt,4,0.130952380952381,-0.11309523809523808,0.3214285714285715,0.5714285714285714,0.0,0.75,0.8542636322101737,4.87942797066404e-05
formal,action_only_risk,model_task,llama32_1b|qmsum,2,0.630952380952381,0.5476190476190477,0.7142857142857144,0.75,0.0,1.0,0.2206141003260626,0.00011691507321760528
formal,action_only_risk,model_task,llama32_1b|vt,2,-0.05952380952380953,-0.2380952380952381,0.11904761904761905,0.4821428571428571,0.0,0.5,0.9108961358950574,1.0695428468688719e-06
formal,action_only_risk,model_task,qwen25_05b|qmsum,2,0.27380952380952384,0.261904761904762,0.28571428571428575,0.6785714285714286,0.0,1.0,1.0,6.649317704416717e-06
formal,action_only_risk,model_task,qwen25_05b|vt,2,0.3214285714285715,0.261904761904762,0.38095238095238104,0.6607142857142858,0.0,1.0,0.79763112852529,0.00010596327713094372
formal,dense_all_layer_mechanistic_risk,overall,all,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.715681922956213e-06
formal,dense_all_layer_mechanistic_risk,model,llama32_1b,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.7505494879836128e-06
formal,dense_all_layer_mechanistic_risk,model,qwen25_05b,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.4373693013069134e-05
formal,dense_all_layer_mechanistic_risk,task,qmsum,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.3299627944123454e-06
formal,dense_all_layer_mechanistic_risk,task,vt,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.87942797066404e-05
formal,dense_all_layer_mechanistic_risk,model_task,llama32_1b|qmsum,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00011691507321760528
formal,dense_all_layer_mechanistic_risk,model_task,llama32_1b|vt,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0695428468688719e-06
formal,dense_all_layer_mechanistic_risk,model_task,qwen25_05b|qmsum,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.649317704416717e-06
formal,dense_all_layer_mechanistic_risk,model_task,qwen25_05b|vt,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00010596327713094372
formal,relative_penultimate_exact_map_risk,overall,all,8,0.8005952380952381,0.6547619047619049,0.9166666666666667,0.8616071428571428,0.25,1.0,0.07099542247195686,7.715681922956213e-06
formal,relative_penultimate_exact_map_risk,model,llama32_1b,4,0.7619047619047621,0.5714285714285715,0.9523809523809524,0.8303571428571429,0.25,1.0,0.10573807167464261,1.7505494879836128e-06
formal,relative_penultimate_exact_map_risk,model,qwen25_05b,4,0.8392857142857144,0.6130952380952381,0.9642857142857144,0.8928571428571428,0.25,1.0,0.036252773269271135,5.4373693013069134e-05
formal,relative_penultimate_exact_map_risk,task,qmsum,4,0.7440476190476192,0.5476190476190477,0.9404761904761906,0.8392857142857143,0.0,1.0,0.1311052858669825,7.3299627944123454e-06
formal,relative_penultimate_exact_map_risk,task,vt,4,0.8571428571428572,0.6488095238095238,0.9702380952380953,0.8839285714285714,0.5,1.0,0.010885559076931225,4.87942797066404e-05
formal,relative_penultimate_exact_map_risk,model_task,llama32_1b|qmsum,2,0.773809523809524,0.5952380952380953,0.9523809523809524,0.8392857142857143,0.0,1.0,0.19394442448173227,0.00011691507321760528
formal,relative_penultimate_exact_map_risk,model_task,llama32_1b|vt,2,0.75,0.5476190476190477,0.9523809523809524,0.8214285714285714,0.5,1.0,0.017531718867552937,1.0695428468688719e-06
formal,relative_penultimate_exact_map_risk,model_task,qwen25_05b|qmsum,2,0.7142857142857144,0.5000000000000001,0.9285714285714287,0.8392857142857143,0.0,1.0,0.06826614725223276,6.649317704416717e-06
formal,relative_penultimate_exact_map_risk,model_task,qwen25_05b|vt,2,0.9642857142857144,0.9523809523809524,0.9761904761904763,0.9464285714285714,0.5,1.0,0.004239399286309513,0.00010596327713094372
