sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
gov_report:37,gov_report,48,8,8.664486085763201e-05,2.4280543584609404e-05,False,False,6.236431727302261e-05,non_tail,unchanged
gov_report:36,gov_report,48,3,0.00208552205003798,0.002020013751462102,False,False,6.550829857587814e-05,non_tail,unchanged
gov_report:38,gov_report,16,8,0.0036893868818879128,0.0036098253913223743,False,False,7.95614905655384e-05,non_tail,unchanged
gov_report:36,gov_report,32,3,0.010367555543780327,0.010280052199959755,False,False,8.75033438205719e-05,non_tail,unchanged
gov_report:38,gov_report,16,2,0.001017017406411469,0.0009264438995160162,False,False,9.057350689545274e-05,non_tail,unchanged
synthetic_niah_40,niah_single_1,16,15,0.012730776332318783,0.01263726968318224,False,False,9.350664913654327e-05,non_tail,unchanged
gov_report:36,gov_report,32,5,0.001136756269261241,0.0010262227151542902,False,False,0.00011053355410695076,non_tail,unchanged
synthetic_niah_38,niah_single_1,32,2,0.006104636006057262,0.0059917825274169445,False,False,0.00011285347864031792,non_tail,unchanged
synthetic_niah_38,niah_single_1,32,3,0.0015500914305448532,0.0014237785944715142,False,False,0.00012631283607333899,non_tail,unchanged
synthetic_niah_36,niah_single_1,32,13,0.002992712426930666,0.002851539058610797,False,False,0.00014117336831986904,non_tail,unchanged
synthetic_niah_36,niah_single_1,32,4,0.008400775492191315,0.008233590982854366,False,False,0.0001671845093369484,non_tail,unchanged
gov_report:40,gov_report,16,9,0.0009997853776440024,0.0008319079061038792,False,False,0.00016787747154012322,non_tail,unchanged
synthetic_niah_36,niah_single_1,48,11,0.01865382492542267,0.018482202664017677,False,False,0.00017162226140499115,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,6,0.002224971307441592,0.0020489648450165987,False,False,0.00017600646242499352,non_tail,unchanged
gov_report:37,gov_report,48,7,0.000308666261844337,0.0001077799461199902,False,False,0.0002008863157243468,non_tail,unchanged
synthetic_niah_40,niah_single_1,16,10,0.0017615179531276226,0.0015584719367325306,False,False,0.000203046016395092,non_tail,unchanged
gov_report:38,gov_report,16,9,0.0025211749598383904,0.0023151650093495846,False,False,0.00020600995048880577,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,13,0.0061890254728496075,0.005969497840851545,False,False,0.00021952763199806213,non_tail,unchanged
synthetic_niah_36,niah_single_1,32,3,0.004230900201946497,0.004009368363767862,False,False,0.00022153183817863464,non_tail,unchanged
synthetic_niah_37,niah_single_1,48,4,0.0010355579433962703,0.0008043192210607231,False,False,0.0002312387223355472,non_tail,unchanged
synthetic_niah_38,niah_single_1,16,14,0.016880935057997704,0.016646841540932655,False,False,0.00023409351706504822,non_tail,unchanged
synthetic_niah_38,niah_single_1,48,16,0.0034111025743186474,0.0031743785366415977,False,False,0.00023672403767704964,non_tail,unchanged
