task,method,rank,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
all,pullback_randomized_16_action,4,4,14,0.6190476190476191,0.7040816326530612,0.14285714285714285,0.32309788951151963,0.0,-0.03316326530612244,-0.07142857142857142,-0.10066084573430259
all,pullback_randomized_16_action,4,8,14,0.7023809523809526,0.7423469387755102,0.21428571428571427,0.26513574959984354,0.011904761904761862,0.005102040816326536,0.0,-0.042698705822626526
all,pullback_randomized_16_ema,2,1,14,0.6190476190476191,0.7193877551020407,0.21428571428571427,0.25455473126404876,-0.0357142857142857,-0.017857142857142856,0.0,-0.032117687486831754
all,pullback_randomized_16_ema,2,2,14,0.6428571428571429,0.7372448979591837,0.21428571428571427,0.2541405309610369,-0.02380952380952378,7.93016446160826e-18,0.0,-0.03170348718381987
all,pullback_randomized_16_ema,2,4,14,0.5714285714285715,0.7168367346938777,0.21428571428571427,0.2654748547642826,-0.07142857142857142,-0.020408163265306114,0.0,-0.04303781098706562
all,pullback_randomized_16_ema,2,8,14,0.5714285714285715,0.7142857142857143,0.07142857142857142,0.3077495154126548,-0.04761904761904756,-0.02295918367346938,-0.14285714285714285,-0.08531247163543779
all,pullback_randomized_16_ema,4,1,14,0.6666666666666667,0.7346938775510204,0.2857142857142857,0.22271319671965534,0.0,-0.0025510204081632564,0.07142857142857142,-0.00027615294243830274
all,pullback_randomized_16_ema,4,2,14,0.7023809523809526,0.7397959183673469,0.14285714285714285,0.26629291854660514,0.011904761904761862,0.00255102040816328,-0.07142857142857142,-0.04385587476938816
all,pullback_randomized_16_ema,4,4,14,0.6309523809523809,0.711734693877551,0.21428571428571427,0.2656479223018771,0.0,-0.025510204081632633,0.0,-0.04321087852466007
all,pullback_randomized_16_ema,4,8,14,0.7023809523809526,0.7321428571428571,0.14285714285714285,0.2653849069882003,0.011904761904761862,-0.0051020408163265285,-0.07142857142857142,-0.04294786321098323
all,pullback_randomized_16_innovation,2,1,14,0.6309523809523809,0.721938775510204,0.14285714285714285,0.266253739064528,-0.0357142857142857,-0.015306122448979609,-0.07142857142857142,-0.04381669528731095
all,pullback_randomized_16_innovation,2,2,14,0.6428571428571429,0.7270408163265306,0.14285714285714285,0.2658395387615161,0.0,-0.010204081632653064,-0.07142857142857142,-0.043402494984299066
all,pullback_randomized_16_innovation,2,4,14,0.511904761904762,0.6709183673469388,0.21428571428571427,0.2720942528372637,-0.011904761904761918,-0.0663265306122449,0.0,-0.049657209060046635
all,pullback_randomized_16_innovation,2,8,14,0.6190476190476191,0.7066326530612244,0.07142857142857142,0.3108914305793992,0.0,-0.030612244897959186,-0.14285714285714285,-0.08845438680218222
all,pullback_randomized_16_innovation,4,1,14,0.6666666666666667,0.7270408163265305,0.21428571428571427,0.2664058794262258,0.0,-0.010204081632653057,0.0,-0.04396883564900878
all,pullback_randomized_16_innovation,4,2,14,0.7023809523809526,0.7372448979591836,0.14285714285714285,0.26600273082433373,0.011904761904761862,1.1895246692412391e-17,-0.07142857142857142,-0.04356568704711674
all,pullback_randomized_16_innovation,4,4,14,0.6190476190476191,0.6964285714285715,0.21428571428571427,0.2656479223018771,-0.011904761904761918,-0.04081632653061224,0.0,-0.04321087852466007
all,pullback_randomized_16_innovation,4,8,14,0.7142857142857144,0.7397959183673469,0.14285714285714285,0.2657795869465864,0.011904761904761862,0.0025510204081632564,-0.07142857142857142,-0.04334254316936936
all,pullback_randomized_16_repeated,2,1,14,0.6428571428571429,0.711734693877551,0.14285714285714285,0.2659635513422566,-0.04761904761904756,-0.025510204081632664,-0.07142857142857142,-0.04352650756503953
all,pullback_randomized_16_repeated,2,2,14,0.6428571428571429,0.7244897959183673,0.14285714285714285,0.2658395387615161,0.0,-0.012755102040816329,-0.07142857142857142,-0.043402494984299066
all,pullback_randomized_16_repeated,2,4,14,0.5119047619047621,0.6989795918367346,0.14285714285714285,0.2658395387615161,-0.09523809523809526,-0.03826530612244898,-0.07142857142857142,-0.043402494984299066
all,pullback_randomized_16_repeated,2,8,14,0.6071428571428572,0.7193877551020408,0.07142857142857142,0.3077495154126548,-0.0357142857142857,-0.017857142857142842,-0.14285714285714285,-0.08531247163543779
all,pullback_randomized_16_repeated,4,1,14,0.6428571428571429,0.7270408163265305,0.21428571428571427,0.2664058794262258,0.0,-0.010204081632653041,0.0,-0.04396883564900878
all,pullback_randomized_16_repeated,4,2,14,0.6666666666666667,0.7346938775510203,0.14285714285714285,0.26600273082433373,0.0,-0.0025510204081632443,-0.07142857142857142,-0.04356568704711674
all,pullback_randomized_16_repeated,4,4,14,0.6309523809523809,0.7091836734693876,0.21428571428571427,0.26605704220048426,0.0,-0.0280612244897959,0.0,-0.0436199984232672
all,pullback_randomized_16_repeated,4,8,14,0.6904761904761907,0.7321428571428571,0.14285714285714285,0.2661887068451935,0.011904761904761973,-0.005102040816326544,-0.07142857142857142,-0.0437516630679765
all,pullback_randomized_32_action,2,1,14,0.6428571428571429,0.7091836734693878,0.21428571428571427,0.25455473126404876,-0.02380952380952378,-0.028061224489795915,0.0,-0.032117687486831754
all,pullback_randomized_32_action,2,2,14,0.6904761904761906,0.7397959183673468,0.2857142857142857,0.2539489145013979,0.011904761904761862,0.002551020408163272,0.07142857142857142,-0.03151187072418088
all,pullback_randomized_32_action,2,4,14,0.5595238095238096,0.691326530612245,0.2857142857142857,0.2652832383046437,-0.04761904761904756,-0.04591836734693877,0.07142857142857142,-0.04284619452742663
all,pullback_randomized_32_action,2,8,14,0.5714285714285715,0.7066326530612246,0.14285714285714285,0.3070247664736682,-0.0357142857142857,-0.03061224489795918,-0.07142857142857142,-0.08458772269645119
all,pullback_randomized_32_action,4,1,14,0.6309523809523809,0.7040816326530611,0.14285714285714285,0.23096533339359432,0.0,-0.03316326530612245,-0.07142857142857142,-0.008528289616377293
all,pullback_randomized_32_action,4,2,14,0.6309523809523809,0.711734693877551,0.14285714285714285,0.2743423870597853,0.0,-0.025510204081632643,-0.07142857142857142,-0.05190534328256831
all,pullback_randomized_32_action,4,4,14,0.6071428571428572,0.7066326530612245,0.21428571428571427,0.2656479223018771,0.0,-0.03061224489795918,0.0,-0.04321087852466007
all,pullback_randomized_32_action,4,8,14,0.6666666666666667,0.7270408163265306,0.21428571428571427,0.2656479223018771,0.0,-0.010204081632653064,0.0,-0.04321087852466007
all,pullback_randomized_32_ema,2,1,14,0.6428571428571429,0.7066326530612244,0.21428571428571427,0.25426454354177735,-0.02380952380952378,-0.03061224489795918,0.0,-0.03182749976456034
all,pullback_randomized_32_ema,2,2,14,0.6904761904761906,0.7448979591836734,0.2857142857142857,0.2539489145013979,0.023809523809523767,0.007653061224489809,0.07142857142857142,-0.03151187072418088
all,pullback_randomized_32_ema,2,4,14,0.6190476190476191,0.6989795918367347,0.2857142857142857,0.2652832383046437,-0.023809523809523836,-0.038265306122448974,0.07142857142857142,-0.04284619452742663
all,pullback_randomized_32_ema,2,8,14,0.6071428571428572,0.7040816326530611,0.14285714285714285,0.3070247664736682,-0.011904761904761918,-0.03316326530612244,-0.07142857142857142,-0.08458772269645119
all,pullback_randomized_32_ema,4,1,14,0.6309523809523809,0.711734693877551,0.21428571428571427,0.22272424842077515,0.0,-0.025510204081632657,0.0,-0.0002872046435581375
all,pullback_randomized_32_ema,4,2,14,0.6309523809523809,0.7066326530612245,0.14285714285714285,0.26629291854660514,0.0,-0.03061224489795917,-0.07142857142857142,-0.04385587476938816
all,pullback_randomized_32_ema,4,4,14,0.5476190476190477,0.701530612244898,0.21428571428571427,0.2656479223018771,0.0,-0.0357142857142857,0.0,-0.04321087852466007
all,pullback_randomized_32_ema,4,8,14,0.642857142857143,0.7244897959183673,0.21428571428571427,0.2656479223018771,-0.011904761904761904,-0.012755102040816322,0.0,-0.04321087852466007
all,pullback_randomized_32_innovation,2,1,14,0.6428571428571429,0.7091836734693878,0.14285714285714285,0.25427559524289717,-0.02380952380952378,-0.028061224489795915,-0.07142857142857142,-0.031838551465680175
all,pullback_randomized_32_innovation,2,2,14,0.7380952380952381,0.7448979591836734,0.2857142857142857,0.2539489145013979,0.011904761904761862,0.007653061224489809,0.07142857142857142,-0.03151187072418088
all,pullback_randomized_32_innovation,2,4,14,0.5119047619047621,0.6913265306122449,0.2857142857142857,0.2652832383046437,-0.10714285714285715,-0.04591836734693876,0.07142857142857142,-0.04284619452742663
all,pullback_randomized_32_innovation,2,8,14,0.6071428571428572,0.7219387755102041,0.14285714285714285,0.3071487790544087,-0.011904761904761807,-0.015306122448979578,-0.07142857142857142,-0.08471173527719165
all,pullback_randomized_32_innovation,4,1,14,0.6309523809523809,0.711734693877551,0.21428571428571427,0.22272424842077515,0.0,-0.025510204081632657,0.0,-0.0002872046435581375
all,pullback_randomized_32_innovation,4,2,14,0.6309523809523809,0.7193877551020407,0.14285714285714285,0.26600273082433373,0.0,-0.017857142857142842,-0.07142857142857142,-0.04356568704711674
all,pullback_randomized_32_innovation,4,4,14,0.5952380952380953,0.7091836734693876,0.21428571428571427,0.2656479223018771,0.0,-0.028061224489795904,0.0,-0.04321087852466007
all,pullback_randomized_32_innovation,4,8,14,0.6785714285714286,0.7295918367346939,0.21428571428571427,0.2656479223018771,0.0,-0.0076530612244898,0.0,-0.04321087852466007
all,pullback_randomized_32_repeated,2,1,14,0.6428571428571429,0.6964285714285713,0.07142857142857142,0.2659746030433764,-0.02380952380952378,-0.04081632653061224,-0.14285714285714285,-0.04353755926615937
all,pullback_randomized_32_repeated,2,2,14,0.7380952380952381,0.7474489795918366,0.21428571428571427,0.2656479223018771,0.023809523809523794,0.010204081632653064,0.0,-0.04321087852466007
all,pullback_randomized_32_repeated,2,4,14,0.5357142857142858,0.7066326530612246,0.21428571428571427,0.2656479223018771,-0.02380952380952389,-0.030612244897959162,0.0,-0.04321087852466007
all,pullback_randomized_32_repeated,2,8,14,0.6309523809523809,0.7270408163265306,0.14285714285714285,0.3070247664736682,-0.011904761904761918,-0.010204081632653041,-0.07142857142857142,-0.08458772269645119
all,pullback_randomized_32_repeated,4,1,14,0.6071428571428572,0.7142857142857142,0.14285714285714285,0.2664169311273456,0.0,-0.02295918367346938,-0.07142857142857142,-0.04397988735012862
all,pullback_randomized_32_repeated,4,2,14,0.6309523809523809,0.7091836734693876,0.14285714285714285,0.26600273082433373,0.0,-0.0280612244897959,-0.07142857142857142,-0.04356568704711674
all,pullback_randomized_32_repeated,4,4,14,0.6309523809523809,0.7040816326530611,0.21428571428571427,0.2656479223018771,0.0,-0.03316326530612244,0.0,-0.04321087852466007
all,pullback_randomized_32_repeated,4,8,14,0.6904761904761907,0.7372448979591837,0.21428571428571427,0.2656479223018771,0.02380952380952389,-7.93016446160826e-18,0.0,-0.04321087852466007
gov_report,hidden_l2_action,2,1,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,2,2,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,2,4,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,2,8,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,4,1,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,4,2,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,4,4,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,hidden_l2_action,4,8,7,0.8095238095238096,0.7806122448979591,0.2857142857142857,0.025462422862362784,0.0,0.0,0.0,0.0
gov_report,output_fisher_oracle,2,1,7,1.0,0.9846938775510204,1.0,0.0,0.11904761904761907,0.20408163265306126,0.7142857142857143,0.025462422862362784
gov_report,output_fisher_oracle,2,2,7,1.0,0.9846938775510204,1.0,0.0,0.11904761904761907,0.20408163265306126,0.7142857142857143,0.025462422862362784
gov_report,output_fisher_oracle,2,4,7,1.0,0.9846938775510204,1.0,0.0,0.11904761904761907,0.20408163265306126,0.7142857142857143,0.025462422862362784
gov_report,output_fisher_oracle,2,8,7,1.0,0.9846938775510204,1.0,0.0,0.11904761904761907,0.20408163265306126,0.7142857142857143,0.025462422862362784
